Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,50.39,50.66,49.48,50.97,0.0,0.0,149992
07/15/2019,51.29,50.37,50.37,51.39,0.0,0.0,118311
07/12/2019,49.94,51.24,49.94,51.69,0.0,0.0,153740
07/11/2019,50.98,49.85,49.68,51.14,0.0,0.0,83682
07/10/2019,50.3,51.03,50.18,51.33,0.0,0.0,127132
07/09/2019,49.73,50.14,49.48,50.2,0.0,0.0,77636
07/08/2019,49.35,49.98,49.26,50.49,0.0,0.0,78856
07/05/2019,48.88,49.71,48.2985,49.71,0.0,0.0,63319
07/03/2019,50.25,49.27,49.02,50.25,0.0,0.0,83397
07/02/2019,49.75,50.12,49.44,50.145,0.0,0.0,103443
07/01/2019,50.57,49.73,48.56,50.985,0.0,0.0,180255
06/28/2019,49.53,50.18,49.53,51.16,0.0,0.0,333954
06/27/2019,48.49,49.52,48.47,49.81,0.0,0.0,141153
06/26/2019,47.8,48.48,47.51,49,0.0,0.0,90275
06/25/2019,48.4,47.74,47.72,48.78,0.0,0.0,122962
06/24/2019,48.15,48.49,47.9,49,0.0,0.0,116566
06/21/2019,49.04,48.11,47.83,49.2943,0.0,0.0,210345
06/20/2019,48.87,49.4,48.32,49.57,0.0,0.0,132334
06/19/2019,48.62,48.27,47.45,48.72,0.0,0.0,81979
06/18/2019,48.31,48.59,48.31,49.16,0.0,0.0,79491
06/17/2019,48.2,48.03,47.804,48.62,0.0,0.0,102260
06/14/2019,48.81,48.14,48.12,49.33,0.0,0.0,72966
06/13/2019,47.99,48.98,47.99,49.04,0.0,0.0,93178
06/12/2019,47.88,47.81,47.74,48.58,0.0,0.0,68483
06/11/2019,49.04,47.97,47.7,49.335,0.0,0.0,97665
06/10/2019,49.09,48.64,47.775,49.81,0.0,0.0,91382
06/07/2019,48.37,48.85,48.37,49.46,0.0,0.0,102570
06/06/2019,48,48.18,47.558,48.355,0.0,0.0,183617
06/05/2019,48.04,48.08,47.36,48.395,0.0,0.0,158437
06/04/2019,46.34,47.8,46.25,47.83,0.0,0.0,75153
06/03/2019,45.27,45.86,45.24,46,0.0,0.0,177417
05/31/2019,45.58,45.39,45.23,45.8942,0.0,0.0,142291
05/30/2019,46.47,46.41,45.99,47.1575,0.0,0.0,118222
05/29/2019,46.12,46.23,45.7063,47.21,0.0,0.0,218183
05/28/2019,46.86,46.29,46.24,47.97,0.0,0.0,139271
05/24/2019,46.35,46.65,46.0391,46.89,0.0,0.0,119051
05/23/2019,45.82,46.04,45.13,46.32,0.0,0.0,137284
05/22/2019,47.6,46.37,46.26,47.85,0.0,0.0,112778
05/21/2019,47.08,47.92,46.9996,48.1,0.0,0.0,99090
05/20/2019,45.49,46.74,44.58,46.905,0.0,0.0,87485
05/17/2019,45.85,45.91,45.64,46.58,0.0,0.0,115310
05/16/2019,46.71,46.31,45.87,47.045,0.0,0.0,195866
05/15/2019,46.12,46.64,45.71,46.76,0.0,0.0,137193
05/14/2019,46.7,46.57,46.3,47.19,0.0,0.0,121204
05/13/2019,47.13,46.56,45.87,47.45,0.0,0.0,151898
05/10/2019,47.18,48.4,46.83,48.51,0.0,0.0,129174
05/09/2019,46.86,47.47,46.7,47.97,0.0,0.0,112682
05/08/2019,47.51,47.35,47.15,48.16,0.0,0.0,168476
05/07/2019,48.58,47.38,46.72,48.8195,0.0,0.0,291194
05/06/2019,49.72,49.35,48.5,50.19,0.0,0.0,351896
05/03/2019,49.58,51.81,49.3053,52.5048,0.0,0.0,153097
05/02/2019,49.87,49.52,48.64,50.48,0.0,0.0,145226
05/01/2019,50.34,49.87,49.68,50.78,0.0,0.0,305507
04/30/2019,50.11,50.21,49.76,50.425,0.0,0.0,163948
04/29/2019,49.51,50.09,49.51,50.5452,0.0,0.0,113103
04/26/2019,48.67,49.78,48.08,50,0.0,0.0,128015
04/25/2019,48.85,48.7,47.7,49.0679,0.0,0.0,121685
04/24/2019,48.99,49.18,48.3,49.45,0.0,0.0,122355
04/23/2019,47.79,48.83,47.39,49.14,0.0,0.0,135777
04/22/2019,47.29,47.79,46.91,47.82,0.0,0.0,95426
04/18/2019,47.43,47.59,47.15,47.93,0.0,0.0,120160
04/17/2019,48.61,47.46,47.17,48.7071,0.0,0.0,129334
04/16/2019,47.85,48.4,47.85,48.97,0.0,0.0,133511
