Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,85.28,83.92,83.055,85.44,0.0,0.0,5667227
07/11/2019,85.65,85.77,85.185,85.99,0.0,0.0,3653628
07/10/2019,85.68,85.38,85.15,85.88,0.0,0.0,4315910
07/09/2019,84.96,85.27,84.82,85.3699,0.0,0.0,3126024
07/08/2019,85.28,85.09,84.69,85.28,0.0,0.0,3591105
07/05/2019,85.16,85.42,84.64,85.5,0.0,0.0,3784656
07/03/2019,85.05,85.64,84.92,85.65,0.0,0.0,2437460
07/02/2019,84.75,84.95,84.15,84.96,0.0,0.0,4023290
07/01/2019,84.74,84.49,83.75,84.98,0.0,0.0,4533799
06/28/2019,83.82,84.1,83.12,84.26,0.0,0.0,16436950
06/27/2019,83.39,83.69,83.07,83.975,0.0,0.0,4111620
06/26/2019,84.05,82.96,82.63,84.3681,0.0,0.0,5731370
06/25/2019,84.94,84.24,84.24,85.45,0.0,0.0,4915464
06/24/2019,84.78,84.71,84.64,85.33,0.0,0.0,4531625
06/21/2019,85.36,85,84.405,85.36,0.0,0.0,8855471
06/20/2019,84.84,84.94,84.3186,85.32,0.0,0.0,6436372
06/19/2019,83.4,84.33,83.05,84.495,0.0,0.0,4113451
06/18/2019,82.45,83.42,81.9227,83.59,0.0,0.0,6252980
06/17/2019,82.39,82.05,81.67,82.58,0.0,0.0,4095932
06/14/2019,82.17,82.22,82.02,82.855,0.0,0.0,4771105
06/13/2019,81.98,82.29,81.75,82.33,0.0,0.0,5220434
06/12/2019,81.29,81.95,81.255,81.97,0.0,0.0,3332562
06/11/2019,81.79,81.12,80.63,82,0.0,0.0,3905452
06/10/2019,81,81.27,80.44,81.495,0.0,0.0,3927050
06/07/2019,80.49,80.74,80.3,81.16,0.0,0.0,5136407
06/06/2019,78.85,80.09,78.64,80.43,0.0,0.0,5966650
06/05/2019,77.84,78.69,77.83,78.85,0.0,0.0,5286485
06/04/2019,76.25,77.46,76.155,77.61,0.0,0.0,5836169
06/03/2019,76.25,75.71,75.44,76.79,0.0,0.0,6286485
05/31/2019,75.97,76.13,75.6,76.52,0.0,0.0,6571012
05/30/2019,76.01,76.52,75.8747,76.59,0.0,0.0,3600295
05/29/2019,75.37,75.67,74.94,75.97,0.0,0.0,4013124
05/28/2019,77.03,75.71,75.68,77.98,0.0,0.0,5418558
05/24/2019,76.02,76.98,75.96,77.075,0.0,0.0,4866347
05/23/2019,76.14,75.63,75.3189,76.14,0.0,0.0,5506958
05/22/2019,76.14,76.26,75.85,76.59,0.0,0.0,3062654
05/21/2019,76.56,76.03,76.02,76.82,0.0,0.0,3819675
05/20/2019,75.6,75.77,75.2,75.96,0.0,0.0,4493099
05/17/2019,76.29,75.97,75.96,77.21,0.0,0.0,5169349
05/16/2019,76.52,76.6,76.17,77.37,0.0,0.0,6098066
05/15/2019,75.5,76.51,75.22,77.02,0.0,0.0,4385516
05/14/2019,75.64,76.03,75.63,76.77,0.0,0.0,5319291
05/13/2019,75.17,75.5,74.96,75.785,0.0,0.0,5166977
05/10/2019,76.21,76.45,74.535,76.66,0.0,0.0,3993531
05/09/2019,75.66,76.42,74.88,76.48,0.0,0.0,3736727
05/08/2019,76.93,76.22,76.14,76.97,0.0,0.0,4362822
05/07/2019,78.5,76.91,76.2,78.87,0.0,0.0,5322549
05/06/2019,77.42,79.07,77.35,79.17,0.0,0.0,4006749
05/03/2019,78.83,78.69,78.26,79.13,0.0,0.0,5452725
05/02/2019,78.42,78.78,77.91,78.87,0.0,0.0,5112210
05/01/2019,79.35,78.74,78.29,79.47,0.0,0.0,6702454
04/30/2019,78.27,79.56,77.93,79.69,0.0,0.0,5514026
04/29/2019,78.56,78.27,77.58,78.6261,0.0,0.0,4354759
04/26/2019,78.46,78.56,77.53,78.57,0.0,0.0,4286473
04/25/2019,76.62,78.11,76.37,78.175,0.0,0.0,5821538
04/24/2019,76.05,76.75,75.67,76.87,0.0,0.0,6238152
04/23/2019,74.63,76.1,74.43,76.41,0.0,0.0,6823488
04/22/2019,73.13,74.51,73,74.6,0.0,0.0,5604495
04/18/2019,73.64,73.92,72.75,74.9,0.0,0.0,9582707
04/17/2019,76.18,72.88,72.36,76.29,0.0,0.0,11211770
04/16/2019,77.94,76.38,76.06,78.7,0.0,0.0,6224876
04/15/2019,78.11,77.5,77.46,78.455,0.0,0.0,6095093
04/12/2019,78.37,78.01,77.82,78.85,0.0,0.0,5466481
