Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,64.5,64.64,64.31,64.72,0.0,0.0,1516877
07/15/2019,64.65,64.56,64.07,64.92,0.0,0.0,1341400
07/12/2019,65.21,64.4,64.36,65.28,0.0,0.0,1032689
07/11/2019,65.7,65.02,64.245,65.745,0.0,0.0,3206608
07/10/2019,65.02,65.56,64.91,65.84,0.0,0.0,5332881
07/09/2019,65.575,64.91,64.51,66.24,0.0,0.0,13188370
07/08/2019,47.73,48.06,47.51,48.41,0.0,0.0,510871
07/05/2019,49.01,48.14,47.89,49.37,0.0,0.0,451184
07/03/2019,49.46,49.59,48.24,49.75,0.0,0.0,346003
07/02/2019,50.43,49.22,49.02,50.575,0.0,0.0,834206
07/01/2019,50.71,50.44,50.05,54.66,0.0,0.0,1855551
06/28/2019,46.79,47.16,45.6,47.265,0.0,0.0,2685087
06/27/2019,46.3,46.58,46.04,46.99,0.0,0.0,470479
06/26/2019,45.79,45.93,45.61,47.95,0.0,0.0,581307
06/25/2019,45.97,44.95,44.85,46.93,0.0,0.0,651399
06/24/2019,46.19,46.06,45.2644,46.4738,0.0,0.0,713042
06/21/2019,47.13,46.19,46.01,47.16,0.0,0.0,831365
06/20/2019,47.58,47.38,47.015,47.96,0.0,0.0,915410
06/19/2019,46.77,46.72,46.14,46.93,0.0,0.0,433703
06/18/2019,45.04,46.53,44.795,47,0.0,0.0,619571
06/17/2019,45.09,44.79,44.38,45.52,0.0,0.0,869828
06/14/2019,46.34,44.94,44.82,46.34,0.0,0.0,609079
06/13/2019,47.15,46.59,46.0405,47.53,0.0,0.0,888479
06/12/2019,47.72,46.9,46.8901,48.33,0.0,0.0,782912
06/11/2019,47.86,47.74,47.4001,48.4,0.0,0.0,832207
06/10/2019,47.57,47.27,47.24,48.64,0.0,0.0,948149
06/07/2019,47.85,47.15,46.655,48.46,0.0,0.0,763724
06/06/2019,48.57,47.42,46.91,49.485,0.0,0.0,619024
06/05/2019,47.75,47.99,46.91,48.29,0.0,0.0,1052488
06/04/2019,47.21,47.48,46.16,47.6,0.0,0.0,1069511
06/03/2019,46.29,46.5,45.91,47.25,0.0,0.0,666091
05/31/2019,47.52,46.6,46.45,48.01,0.0,0.0,492829
05/30/2019,47.59,48.23,47.31,48.35,0.0,0.0,524987
05/29/2019,46.95,47.23,46.5525,47.66,0.0,0.0,650531
05/28/2019,47.56,47.3,46.7965,48.07,0.0,0.0,621521
05/24/2019,47.5,47.31,47.15,48.02,0.0,0.0,653061
05/23/2019,47.58,47.21,46.51,47.98,0.0,0.0,860885
05/22/2019,47.78,48.22,47.56,48.4,0.0,0.0,923162
05/21/2019,49.12,47.95,47.82,50.01,0.0,0.0,908753
05/20/2019,47.77,48.47,47.65,49.2,0.0,0.0,1055595
05/17/2019,49.46,49.02,48.555,51.36,0.0,0.0,1596413
05/16/2019,51.95,49.87,49.5,52.18,0.0,0.0,1694656
05/15/2019,52.62,52.95,51.63,53.25,0.0,0.0,692790
05/14/2019,51.8,52.99,51.8,53.47,0.0,0.0,517866
05/13/2019,52.35,51.71,51.38,53.72,0.0,0.0,1338403
05/10/2019,54.74,55.53,54.1,55.688,0.0,0.0,621580
05/09/2019,53.94,55,53.07,55.01,0.0,0.0,847518
05/08/2019,54.29,54.98,53.69,55.42,0.0,0.0,648096
05/07/2019,55,54.27,52.55,55,0.0,0.0,1013755
05/06/2019,58.12,55.78,55.65,58.12,0.0,0.0,1151396
05/03/2019,59.65,59,57.18,59.65,0.0,0.0,1442184
05/02/2019,60.16,60.55,59.41,61.9,0.0,0.0,881221
05/01/2019,58.53,60.45,58.3,61.105,0.0,0.0,1237014
04/30/2019,58.41,57.88,56.97,58.45,0.0,0.0,895994
04/29/2019,58.71,58.44,57.94,59.095,0.0,0.0,827641
04/26/2019,59.46,58.62,58.475,59.79,0.0,0.0,386704
04/25/2019,60.05,59.51,57.76,60.12,0.0,0.0,331447
04/24/2019,59.5,60.25,58.63,60.62,0.0,0.0,368919
04/23/2019,58.46,59.2,58.4,59.8,0.0,0.0,373320
04/22/2019,57.8,58.15,57.11,58.43,0.0,0.0,318569
04/18/2019,58.62,58.02,56.58,58.8,0.0,0.0,707324
04/17/2019,61,58.77,58.34,61.3625,0.0,0.0,604153
04/16/2019,61.57,60.59,60.33,62.18,0.0,0.0,599461
