Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,195,196.21,193.8179,196.23,0.0,0.0,2059365
07/11/2019,192.49,194.67,192.245,194.67,0.0,0.0,1922228
07/10/2019,191.51,191.71,190.98,192.09,0.0,0.0,1584398
07/09/2019,189.07,191.09,189.07,191.15,0.0,0.0,1732512
07/08/2019,191.06,190.31,189.86,191.14,0.0,0.0,1877198
07/05/2019,189.92,191.39,188.25,191.74,0.0,0.0,2111254
07/03/2019,189.33,190.97,188.1,190.97,0.0,0.0,1106937
07/02/2019,186.91,188.6,186.24,188.74,0.0,0.0,2123522
07/01/2019,184.83,186.87,184.43,186.9615,0.0,0.0,2404744
06/28/2019,184.23,184.77,182.87,185.5,0.0,0.0,2937898
06/27/2019,178.8,183,177.99,183.11,0.0,0.0,3434646
06/26/2019,185.63,183.31,183.31,185.93,0.0,0.0,2395277
06/25/2019,186.52,184.9,184.48,186.66,0.0,0.0,1863549
06/24/2019,186.07,186.11,185.58,187.15,0.0,0.0,1703151
06/21/2019,187.1,185.56,185.19,187.309,0.0,0.0,3306585
06/20/2019,184.79,186.52,184.48,186.96,0.0,0.0,2121985
06/19/2019,184.73,183.95,183.51,185.38,0.0,0.0,2023532
06/18/2019,184.99,184.5,184.29,185.6679,0.0,0.0,1972568
06/17/2019,185,183.9,183.78,185.33,0.0,0.0,1177874
06/14/2019,184.66,184.97,184.14,185.83,0.0,0.0,1864791
06/13/2019,185.87,184.95,184.24,186.1,0.0,0.0,1323687
06/12/2019,183.62,184.59,183.22,185.07,0.0,0.0,1402136
06/11/2019,185.76,183.37,183.07,186.6755,0.0,0.0,1423354
06/10/2019,184.33,184.44,183.73,185.27,0.0,0.0,1524978
06/07/2019,181.63,182.92,181.27,184.23,0.0,0.0,1965930
06/06/2019,180,180.4,179.33,180.98,0.0,0.0,1737729
06/05/2019,179.42,179.56,178.39,180.35,0.0,0.0,1492153
06/04/2019,177.27,177.97,175.77,178.02,0.0,0.0,2269684
06/03/2019,177.87,175.16,174.23,178.36,0.0,0.0,1774584
05/31/2019,177.47,178.07,176.4866,178.63,0.0,0.0,1799587
05/30/2019,177.66,178.82,177.66,179.46,0.0,0.0,1047890
05/29/2019,177.64,177.61,176.61,178.7,0.0,0.0,1547740
05/28/2019,179.26,178.39,177.8,180.11,0.0,0.0,2336466
05/24/2019,179.56,178.81,178.64,180.33,0.0,0.0,1288052
05/23/2019,178.94,178.27,176.44,178.94,0.0,0.0,1250242
05/22/2019,179.32,180.39,179.19,181.38,0.0,0.0,1212257
05/21/2019,179.61,179.57,178.81,180,0.0,0.0,1224851
05/20/2019,176.98,178.54,176.4442,179.47,0.0,0.0,1566035
05/17/2019,176.39,178.33,176.39,179.19,0.0,0.0,1551054
05/16/2019,176.27,178.17,176.11,179.75,0.0,0.0,2232076
05/15/2019,172.21,175.4,172.175,176.14,0.0,0.0,2060834
05/14/2019,171.91,173.61,171.91,174.77,0.0,0.0,2181155
05/13/2019,171.39,171.02,170.3477,172,0.0,0.0,1853848
05/10/2019,173.72,174.3,170.67,174.975,0.0,0.0,2139599
05/09/2019,172.1,174.46,171.39,174.58,0.0,0.0,2044771
05/08/2019,174.07,173.82,173.16,175.25,0.0,0.0,1984874
05/07/2019,174.92,173.94,172.36,175.15,0.0,0.0,2308518
05/06/2019,173.83,176.26,172.89,176.87,0.0,0.0,1630188
05/03/2019,177.03,176.98,176.5167,177.96,0.0,0.0,2680151
05/02/2019,181,179.39,178.49,182.33,0.0,0.0,1889915
05/01/2019,183.2,181.31,181.29,183.35,0.0,0.0,1242440
04/30/2019,181.58,182.67,181.17,182.83,0.0,0.0,1535810
04/29/2019,180.78,181.21,180.64,181.7241,0.0,0.0,999471
04/26/2019,180.12,180.83,179.09,180.85,0.0,0.0,933434
04/25/2019,180.58,179.95,178.61,180.58,0.0,0.0,1003789
04/24/2019,180.86,180.81,180.27,181.41,0.0,0.0,1463569
04/23/2019,178.2,180.48,177.955,180.55,0.0,0.0,1714646
04/22/2019,177.25,178.07,177.02,178.25,0.0,0.0,1393852
04/18/2019,178.72,178.61,177.39,179,0.0,0.0,1300302
04/17/2019,179.58,178.95,178.9,180,0.0,0.0,1597494
04/16/2019,179.8,179.06,178.26,179.9,0.0,0.0,1618099
04/15/2019,178.41,179.3,177.945,179.635,0.0,0.0,1496502
04/12/2019,178.5,178.64,177.8,179.36,0.0,0.0,2444603
