Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,40.77,40.62,40.5012,40.8,0.0,0.0,1605
07/15/2019,40.67,40.715,40.6283,40.7286,0.0,0.0,2553
07/12/2019,40.41,40.43,40.3169,40.48,0.0,0.0,9305
07/11/2019,40.2863,40.17,40.07,40.2863,0.0,0.0,4826
07/10/2019,40.37,40.15,40.14,40.4406,0.0,0.0,4553
07/09/2019,39.56,39.9,39.56,39.9264,0.0,0.0,2134
07/08/2019,40.17,39.915,39.9,40.17,0.0,0.0,3392
07/05/2019,40.24,40.4303,40.24,40.4303,0.0,0.0,2142
07/03/2019,40.53,40.53,40.38,40.53,0.0,0.0,4032
07/02/2019,40.79,40.54,40.5,40.79,0.0,0.0,3838
07/01/2019,40.79,40.69,40.631,41,0.0,0.0,9776
06/28/2019,40.15,39.9,39.845,40.15,0.0,0.0,10972
06/27/2019,40.02,40.0658,39.8694,40.095,0.0,0.0,2535
06/26/2019,39.9028,39.84,39.84,39.9061,0.0,0.0,3278
06/25/2019,39.96,39.36,39.36,40,0.0,0.0,4268
06/24/2019,40.05,40.03,40,40.08,0.0,0.0,2341
06/21/2019,40.16,40.11,40.072,40.16,0.0,0.0,897
06/20/2019,40.22,40.25,40.0761,40.385,0.0,0.0,9470
06/19/2019,39.63,39.5462,39.375,39.63,0.0,0.0,3510
06/18/2019,38.94,39.44,38.94,39.5844,0.0,0.0,2880
06/17/2019,38.39,38.44,38.39,38.5343,0.0,0.0,1474
06/14/2019,38.66,38.38,38.38,38.66,0.0,0.0,968
06/13/2019,39.11,38.869,38.82,39.1556,0.0,0.0,3128
06/12/2019,39.27,38.8599,38.8599,39.27,0.0,0.0,4144
06/11/2019,39.35,39.3319,39.29,39.4295,0.0,0.0,3084
06/10/2019,38.67,38.77,38.67,39.01,0.0,0.0,5789
06/07/2019,38.07,38.4552,38.07,38.4965,0.0,0.0,3156
06/06/2019,37.82,37.992,37.8,37.992,0.0,0.0,3738
06/05/2019,37.745,37.835,37.7255,37.835,0.0,0.0,1318
06/04/2019,38.3086,38.3366,38.2145,38.3424,0.0,0.0,3095
06/03/2019,37.88,37.93,37.85,37.955,0.0,0.0,6506
05/31/2019,37.38,37.5548,37.38,37.67,0.0,0.0,3577
05/30/2019,37.66,37.8919,37.66,37.8919,0.0,0.0,1595
05/29/2019,37.45,37.552,37.2718,37.5799,0.0,0.0,12078
05/28/2019,37.85,37.64,37.58,37.85,0.0,0.0,6330
05/24/2019,37.87,37.7447,37.57,37.87,0.0,0.0,3012
05/23/2019,37.3,37.3646,37.14,37.49,0.0,0.0,1912
05/22/2019,38.41,38.172,38.11,38.41,0.0,0.0,1168
05/21/2019,38.1103,38.47,38.06,38.5099,0.0,0.0,4981
05/20/2019,38.16,37.9349,37.7,38.16,0.0,0.0,6557
05/17/2019,38.76,38.2516,38.2516,38.8,0.0,0.0,4709
05/16/2019,39.6,39.54,39.46,39.76,0.0,0.0,7501
05/15/2019,39.2589,39.7402,39.2589,39.7402,0.0,0.0,1123
05/14/2019,39.258,39.5,39.2261,39.59,0.0,0.0,6830
05/13/2019,38.98,38.9001,38.78,39.1079,0.0,0.0,6388
05/10/2019,39.97,40.124,39.7377,40.1799,0.0,0.0,897
05/09/2019,39.78,40.2,39.55,40.2,0.0,0.0,3617
05/08/2019,40.61,40.7399,40.4992,40.7399,0.0,0.0,4495
05/07/2019,40.95,40.365,40.36,40.95,0.0,0.0,2913
05/06/2019,41.1,41.367,41.036,41.367,0.0,0.0,4425
05/03/2019,42.01,42.14,42.01,42.2412,0.0,0.0,7704
05/02/2019,41.6,41.7357,41.4933,41.82,0.0,0.0,2816
05/01/2019,41.76,41.78,41.76,42,0.0,0.0,2829
04/30/2019,41.81,41.62,41.4728,41.81,0.0,0.0,6075
04/29/2019,41.84,41.8394,41.691,41.84,0.0,0.0,5344
04/26/2019,41.5085,41.6927,41.5085,41.7579,0.0,0.0,1834
04/25/2019,41.22,41.7925,41.1801,42.0613,0.0,0.0,4789
04/24/2019,41.87,41.6611,41.594,41.87,0.0,0.0,6873
04/23/2019,41.8401,42.1446,41.8401,42.1446,0.0,0.0,7304
04/22/2019,41.77,41.98,41.69,41.98,0.0,0.0,2440
04/18/2019,41.8,42,41.8,42,0.0,0.0,4305
04/17/2019,42.04,41.9168,41.695,42.04,0.0,0.0,8776
04/16/2019,41.65,41.833,41.542,41.833,0.0,0.0,5735
