Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,76.35,76.36,75.685,76.76,0.0,0.0,82627
07/15/2019,77.4,76.16,76,77.7,0.0,0.0,63720
07/12/2019,77.06,77.08,75.93,77.27,0.0,0.0,108931
07/11/2019,78.25,77.07,76.61,78.98,0.0,0.0,115260
07/10/2019,78.37,77.55,77.45,79.17,0.0,0.0,83778
07/09/2019,77.34,78.08,76.32,78.3,0.0,0.0,98175
07/08/2019,76.96,77.69,76.28,77.72,0.0,0.0,41506
07/05/2019,76.87,77.26,76.01,77.41,0.0,0.0,67885
07/03/2019,76.61,77.39,76.26,77.97,0.0,0.0,39939
07/02/2019,76.06,76.56,74.7,76.63,0.0,0.0,52941
07/01/2019,75.75,76.08,75.27,76.29,0.0,0.0,116660
06/28/2019,74.26,74.95,73.97,75.68,0.0,0.0,235225
06/27/2019,73.68,74.33,72.75,75.13,0.0,0.0,94990
06/26/2019,75.38,74.07,73.565,75.85,0.0,0.0,69934
06/25/2019,74.43,74.81,73.57,75.51,0.0,0.0,91641
06/24/2019,74.37,74.54,73.91,75.43,0.0,0.0,97452
06/21/2019,74.95,74.63,73.93,75.72,0.0,0.0,160646
06/20/2019,76.75,74.91,74.07,76.75,0.0,0.0,102721
06/19/2019,73.13,75.89,72.1,75.93,0.0,0.0,106664
06/18/2019,73.18,72.92,72.49,74.16,0.0,0.0,52696
06/17/2019,72.5,72.56,71.94,73.34,0.0,0.0,77900
06/14/2019,72.52,72.05,71.94,73.04,0.0,0.0,76177
06/13/2019,71.25,72.22,71,73.64,0.0,0.0,141780
06/12/2019,70.01,70.05,68.23,70.495,0.0,0.0,110516
06/11/2019,71.985,69.99,69.1,71.985,0.0,0.0,143367
06/10/2019,73.59,74.08,73.54,74.67,0.0,0.0,101100
06/07/2019,72.86,73.3,72.01,73.75,0.0,0.0,76467
06/06/2019,72.84,72.63,71.62,72.91,0.0,0.0,70877
06/05/2019,71.57,72.62,70.795,72.845,0.0,0.0,89704
06/04/2019,69.45,72.06,69,72.38,0.0,0.0,132918
06/03/2019,68.39,68.74,68.11,69.5,0.0,0.0,60853
05/31/2019,68.62,68.38,67.46,69.32,0.0,0.0,68750
05/30/2019,69.31,69.27,68.5,69.92,0.0,0.0,48687
05/29/2019,69.14,68.98,68.18,69.32,0.0,0.0,59944
05/28/2019,69.71,69.43,68.88,70.37,0.0,0.0,108797
05/24/2019,68.71,69.55,68.18,70.04,0.0,0.0,46810
05/23/2019,70.73,68.49,67.7,71.56,0.0,0.0,108753
05/22/2019,71.72,71.13,69.77,72,0.0,0.0,70318
05/21/2019,71.49,71.85,71.39,74.34,0.0,0.0,123459
05/20/2019,69.71,71.06,68.68,71.45,0.0,0.0,83443
05/17/2019,69.71,69.93,69.39,71.19,0.0,0.0,120276
05/16/2019,68.26,70.12,68.26,70.27,0.0,0.0,90313
05/15/2019,70.08,68.07,67.94,70.6,0.0,0.0,111700
05/14/2019,70.85,70.41,70.24,72.49,0.0,0.0,147266
05/13/2019,67.27,70.35,67.05,70.45,0.0,0.0,145606
05/10/2019,67.96,68.76,67.57,69.2534,0.0,0.0,105614
05/09/2019,67.39,68.26,66.11,68.465,0.0,0.0,116711
05/08/2019,69.15,67.81,67.66,69.15,0.0,0.0,157179
05/07/2019,67.04,69.15,66.5799,70.93,0.0,0.0,221045
05/06/2019,65.63,67.26,65.63,68.1,0.0,0.0,176390
05/03/2019,67.87,66.76,66.12,67.95,0.0,0.0,218125
05/02/2019,67.34,67.62,66.595,68.75,0.0,0.0,95049
05/01/2019,68.1,67.69,67,68.22,0.0,0.0,103774
04/30/2019,69.16,67.9,67.21,69.2027,0.0,0.0,55717
04/29/2019,69.51,68.89,68.61,69.97,0.0,0.0,92079
04/26/2019,67.45,69.24,67.14,69.35,0.0,0.0,49505
04/25/2019,66.77,67.44,66.45,67.67,0.0,0.0,51186
04/24/2019,65.17,66.75,64.1,66.93,0.0,0.0,47062
04/23/2019,62.74,65.02,61.86,65.71,0.0,0.0,84940
04/22/2019,63.07,62.24,61.51,63.67,0.0,0.0,99171
04/18/2019,61.5,63.13,60.41,63.24,0.0,0.0,98788
04/17/2019,63.93,61.51,59.58,63.93,0.0,0.0,175418
04/16/2019,65.92,63.59,63.0277,66.68,0.0,0.0,182732
