Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,16.98,17.08,16.845,17.09,0.0,0.0,2862984
07/11/2019,17,16.96,16.78,17.03,0.0,0.0,3450373
07/10/2019,17.09,16.99,16.97,17.145,0.0,0.0,3433944
07/09/2019,17.11,17.06,16.96,17.19,0.0,0.0,3769410
07/08/2019,17.05,17.15,17.03,17.21,0.0,0.0,3363088
07/05/2019,17.17,17.12,16.905,17.18,0.0,0.0,3812234
07/03/2019,17.05,17.28,17.03,17.43,0.0,0.0,5265118
07/02/2019,16.84,16.95,16.77,17.12,0.0,0.0,5548067
07/01/2019,16.82,16.77,16.66,16.88,0.0,0.0,3896860
06/28/2019,16.55,16.76,16.53,16.79,0.0,0.0,6924602
06/27/2019,16.3,16.54,16.28,16.54,0.0,0.0,4797029
06/26/2019,16.64,16.32,16.28,16.64,0.0,0.0,4009849
06/25/2019,16.67,16.65,16.525,16.745,0.0,0.0,4843561
06/24/2019,16.84,16.63,16.49,16.87,0.0,0.0,3864164
06/21/2019,16.92,16.76,16.66,16.92,0.0,0.0,5048024
06/20/2019,16.74,16.93,16.6,17,0.0,0.0,6072056
06/19/2019,16.76,16.57,16.27,16.84,0.0,0.0,7216962
06/18/2019,17.01,16.84,16.75,17.03,0.0,0.0,4057109
06/17/2019,17.09,16.83,16.69,17.15,0.0,0.0,4251898
06/14/2019,16.87,17.09,16.87,17.2,0.0,0.0,3837544
06/13/2019,16.81,16.86,16.74,16.925,0.0,0.0,3035823
06/12/2019,16.38,16.76,16.38,16.78,0.0,0.0,3860052
06/11/2019,16.47,16.38,16.24,16.61,0.0,0.0,6020556
06/10/2019,16.69,16.43,16.34,16.69,0.0,0.0,3534517
06/07/2019,17.06,16.7,16.68,17.11,0.0,0.0,3810196
06/06/2019,16.48,16.96,16.41,16.99,0.0,0.0,9597152
06/05/2019,16.18,16.49,16.18,16.5,0.0,0.0,7267198
06/04/2019,15.94,16.08,15.77,16.12,0.0,0.0,7018845
06/03/2019,15.87,15.93,15.76,15.94,0.0,0.0,5563796
05/31/2019,15.82,15.8,15.71,15.94,0.0,0.0,5239575
05/30/2019,16.07,15.89,15.83,16.16,0.0,0.0,3985080
05/29/2019,16.28,16.06,16.05,16.32,0.0,0.0,7667320
05/28/2019,16.5,16.34,16.34,16.64,0.0,0.0,8771755
05/24/2019,16.85,16.5,16.475,16.87,0.0,0.0,5520951
05/23/2019,16.45,16.79,16.42,16.83,0.0,0.0,7848504
05/22/2019,16.5,16.55,16.44,16.6,0.0,0.0,6908837
05/21/2019,16.28,16.37,16.26,16.53,0.0,0.0,7310777
05/20/2019,16.23,16.24,16.21,16.42,0.0,0.0,6653437
05/17/2019,16.23,16.34,16.22,16.355,0.0,0.0,6037812
05/16/2019,16.18,16.35,16.135,16.45,0.0,0.0,7046233
05/15/2019,15.98,16.22,15.9001,16.26,0.0,0.0,6849433
05/14/2019,16.33,16.08,16.065,16.395,0.0,0.0,6664268
05/13/2019,16.09,16.11,15.88,16.15,0.0,0.0,5597585
05/10/2019,16.1,16.25,15.915,16.29,0.0,0.0,6019396
05/09/2019,15.95,16.12,15.87,16.27,0.0,0.0,12445730
05/08/2019,16.58,15.98,15.95,16.64,0.0,0.0,9000214
05/07/2019,16.71,16.53,16.3,16.92,0.0,0.0,8430412
05/06/2019,16.82,16.81,16.65,16.88,0.0,0.0,7146249
05/03/2019,17.12,16.93,16.93,17.25,0.0,0.0,7534308
05/02/2019,16.86,17.05,16.72,17.165,0.0,0.0,12720700
05/01/2019,17.11,16.9,16.9,17.24,0.0,0.0,6113805
04/30/2019,17.08,17.12,16.89,17.18,0.0,0.0,10822900
04/29/2019,17.47,17.22,17.18,17.51,0.0,0.0,5803910
04/26/2019,17.68,17.46,17.37,17.81,0.0,0.0,7674688
04/25/2019,17.63,17.59,17.51,17.735,0.0,0.0,4836060
04/24/2019,17.77,17.73,17.655,17.865,0.0,0.0,4443237
04/23/2019,17.72,17.75,17.62,17.91,0.0,0.0,6152089
04/22/2019,17.67,17.69,17.61,17.79,0.0,0.0,3261836
04/18/2019,17.65,17.72,17.53,17.79,0.0,0.0,4256567
04/17/2019,17.88,17.7,17.62,17.9,0.0,0.0,3458161
04/16/2019,18.04,17.83,17.8,18.17,0.0,0.0,4352984
04/15/2019,18.06,18.09,17.96,18.12,0.0,0.0,3426206
04/12/2019,18.07,18.02,17.92,18.11,0.0,0.0,2570696
