Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,13.51,13.53,13.4966,13.54,0.0,0.0,21070
07/11/2019,13.51,13.49,13.47,13.51,0.0,0.0,23919
07/10/2019,13.55,13.55,13.42,13.55,0.0,0.0,127395
07/09/2019,13.46,13.47,13.45,13.49,0.0,0.0,27111
07/08/2019,13.45,13.47,13.45,13.49,0.0,0.0,36988
07/05/2019,13.49,13.49,13.43,13.5,0.0,0.0,33195
07/03/2019,13.44,13.5,13.44,13.5064,0.0,0.0,23117
07/02/2019,13.45,13.48,13.43,13.48,0.0,0.0,31330
07/01/2019,13.46,13.44,13.42,13.465,0.0,0.0,42306
06/28/2019,13.48,13.45,13.4,13.48,0.0,0.0,31903
06/27/2019,13.44,13.47,13.39,13.48,0.0,0.0,48008
06/26/2019,13.39,13.42,13.36,13.43,0.0,0.0,50230
06/25/2019,13.41,13.37,13.37,13.41,0.0,0.0,42120
06/24/2019,13.42,13.42,13.39,13.42,0.0,0.0,39638
06/21/2019,13.43,13.4,13.37,13.43,0.0,0.0,161618
06/20/2019,13.39,13.39,13.3865,13.403,0.0,0.0,30230
06/19/2019,13.37,13.4,13.37,13.41,0.0,0.0,37720
06/18/2019,13.4,13.38,13.38,13.42,0.0,0.0,90804
06/17/2019,13.39,13.4,13.37,13.43,0.0,0.0,63883
06/14/2019,13.33,13.39,13.33,13.4,0.0,0.0,72484
06/13/2019,13.26,13.33,13.24,13.38,0.0,0.0,84987
06/12/2019,13.25,13.27,13.17,13.28,0.0,0.0,50765
06/11/2019,13.24,13.25,13.225,13.29,0.0,0.0,41580
06/10/2019,13.25,13.24,13.222,13.2518,0.0,0.0,39305
06/07/2019,13.21,13.24,13.2075,13.25,0.0,0.0,37955
06/06/2019,13.17,13.16,13.14,13.1912,0.0,0.0,41445
06/05/2019,13.2,13.2,13.19,13.3,0.0,0.0,61093
06/04/2019,13.25,13.2,13.2,13.2599,0.0,0.0,42645
06/03/2019,13.22,13.24,13.2,13.27,0.0,0.0,98695
05/31/2019,13.22,13.2,13.2,13.27,0.0,0.0,59667
05/30/2019,13.19,13.2,13.18,13.22,0.0,0.0,26170
05/29/2019,13.19,13.18,13.15,13.28,0.0,0.0,79774
05/28/2019,13.17,13.16,13.14,13.2047,0.0,0.0,66930
05/24/2019,13.2,13.17,13.15,13.21,0.0,0.0,24696
05/23/2019,13.13,13.17,13.13,13.18,0.0,0.0,42489
05/22/2019,13.12,13.11,13.09,13.1991,0.0,0.0,49807
05/21/2019,13.1,13.12,13.08,13.12,0.0,0.0,43806
05/20/2019,13.06,13.09,13.06,13.13,0.0,0.0,52339
05/17/2019,13.13,13.06,13.04,13.18,0.0,0.0,113975
05/16/2019,13.1,13.12,13.06,13.12,0.0,0.0,64958
05/15/2019,13.09,13.09,13.08,13.15,0.0,0.0,45920
05/14/2019,13.1,13.08,13.01,13.13,0.0,0.0,86202
05/13/2019,13.03,13.11,13.01,13.11,0.0,0.0,37926
05/10/2019,13.01,13.02,12.99,13.04,0.0,0.0,52565
05/09/2019,13.01,13.01,12.97,13.0299,0.0,0.0,53923
05/08/2019,13,13.02,12.98,13.02,0.0,0.0,26517
05/07/2019,13,13,12.98,13.0079,0.0,0.0,43220
05/06/2019,12.99,12.99,12.92,12.99,0.0,0.0,34655
05/03/2019,12.97,12.96,12.93,12.97,0.0,0.0,44485
05/02/2019,12.94,12.93,12.9,12.95,0.0,0.0,62048
05/01/2019,12.97,12.98,12.91,12.9979,0.0,0.0,109577
04/30/2019,12.95,12.98,12.91,12.99,0.0,0.0,117609
04/29/2019,12.91,12.93,12.9,12.93,0.0,0.0,60052
04/26/2019,12.95,12.92,12.9,12.9543,0.0,0.0,102528
04/25/2019,12.94,12.92,12.89,12.95,0.0,0.0,113855
04/24/2019,12.86,12.9,12.86,12.93,0.0,0.0,81132
04/23/2019,12.81,12.86,12.8,12.86,0.0,0.0,82463
04/22/2019,12.79,12.8,12.78,12.82,0.0,0.0,93039
04/18/2019,12.82,12.79,12.79,12.85,0.0,0.0,86728
04/17/2019,12.84,12.82,12.8,12.88,0.0,0.0,94489
04/16/2019,12.92,12.82,12.8,12.92,0.0,0.0,78896
04/15/2019,12.97,12.91,12.89,12.97,0.0,0.0,47643
04/12/2019,12.94,12.97,12.89,12.97,0.0,0.0,73032
