Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.14,3.06,3.02,3.16,0.0,0.0,706940
07/15/2019,3.16,3.15,3.08,3.19,0.0,0.0,763258
07/12/2019,3,3.13,2.96,3.16,0.0,0.0,1238869
07/11/2019,2.85,2.98,2.8202,3,0.0,0.0,938281
07/10/2019,2.82,2.84,2.76,2.87,0.0,0.0,1029050
07/09/2019,2.82,2.82,2.765,2.855,0.0,0.0,772379
07/08/2019,2.91,2.84,2.77,2.96,0.0,0.0,903440
07/05/2019,2.95,2.91,2.84,2.95,0.0,0.0,658706
07/03/2019,2.88,2.95,2.86,2.96,0.0,0.0,536001
07/02/2019,2.99,2.9,2.87,2.99,0.0,0.0,990310
07/01/2019,2.91,2.97,2.85,3,0.0,0.0,1091762
06/28/2019,2.86,2.87,2.72,2.9,0.0,0.0,7570778
06/27/2019,2.75,2.83,2.73,2.87,0.0,0.0,944148
06/26/2019,2.71,2.75,2.691,2.87,0.0,0.0,937258
06/25/2019,2.9,2.68,2.64,2.92,0.0,0.0,1843862
06/24/2019,3.27,2.91,2.85,3.28,0.0,0.0,1887243
06/21/2019,3.4,3.41,3.38,3.48,0.0,0.0,885254
06/20/2019,3.38,3.38,3.34,3.44,0.0,0.0,879787
06/19/2019,3.33,3.35,3.28,3.49,0.0,0.0,1095007
06/18/2019,3.2,3.3,3.2,3.32,0.0,0.0,792254
06/17/2019,3.26,3.23,3.13,3.3,0.0,0.0,779168
06/14/2019,3.3,3.19,3.15,3.3386,0.0,0.0,821851
06/13/2019,3.12,3.32,3.0901,3.35,0.0,0.0,1466678
06/12/2019,2.94,3.1,2.94,3.135,0.0,0.0,1133310
06/11/2019,3,2.96,2.86,3.06,0.0,0.0,734788
06/10/2019,2.61,2.99,2.61,3.2,0.0,0.0,1798819
06/07/2019,2.57,2.62,2.52,2.69,0.0,0.0,610279
06/06/2019,2.89,2.6,2.5501,2.94,0.0,0.0,1401611
06/05/2019,3.03,2.9,2.88,3.03,0.0,0.0,622456
06/04/2019,3.02,3,2.94,3.0496,0.0,0.0,542185
06/03/2019,3.03,2.99,2.97,3.0899,0.0,0.0,506170
05/31/2019,2.93,3.04,2.9,3.14,0.0,0.0,695189
05/30/2019,3.01,2.99,2.97,3.09,0.0,0.0,856300
05/29/2019,2.97,3.03,2.9,3.04,0.0,0.0,447182
05/28/2019,3.08,3.01,2.99,3.13,0.0,0.0,551514
05/24/2019,3,3.1,2.9801,3.11,0.0,0.0,724140
05/23/2019,3.03,3,2.94,3.08,0.0,0.0,1195593
05/22/2019,3,3.09,2.91,3.16,0.0,0.0,2223123
05/21/2019,3.36,3.32,3.3,3.44,0.0,0.0,407291
05/20/2019,3.38,3.34,3.23,3.43,0.0,0.0,452077
05/17/2019,3.44,3.37,3.3,3.5,0.0,0.0,506506
05/16/2019,3.42,3.49,3.4135,3.6,0.0,0.0,502967
05/15/2019,3.37,3.43,3.31,3.48,0.0,0.0,1438817
05/14/2019,3.42,3.39,3.34,3.47,0.0,0.0,380688
05/13/2019,3.54,3.42,3.3,3.5807,0.0,0.0,582216
05/10/2019,3.67,3.54,3.54,3.68,0.0,0.0,400555
05/09/2019,3.54,3.69,3.51,3.71,0.0,0.0,704247
05/08/2019,3.53,3.57,3.46,3.6,0.0,0.0,611895
05/07/2019,3.43,3.53,3.38,3.55,0.0,0.0,456463
05/06/2019,3.37,3.5,3.37,3.515,0.0,0.0,378228
05/03/2019,3.45,3.45,3.42,3.48,0.0,0.0,253154
05/02/2019,3.38,3.45,3.31,3.45,0.0,0.0,415005
05/01/2019,3.3,3.4,3.23,3.43,0.0,0.0,537031
04/30/2019,3.35,3.3,3.2,3.39,0.0,0.0,517844
04/29/2019,3.42,3.36,3.36,3.47,0.0,0.0,322319
04/26/2019,3.31,3.41,3.2696,3.43,0.0,0.0,445246
04/25/2019,3.34,3.32,3.26,3.36,0.0,0.0,377385
04/24/2019,3.29,3.36,3.27,3.41,0.0,0.0,942746
04/23/2019,3.27,3.25,3.18,3.32,0.0,0.0,960804
04/22/2019,3.33,3.3,3.23,3.36,0.0,0.0,938700
04/18/2019,3.45,3.35,3.28,3.5499,0.0,0.0,1171268
04/17/2019,3.61,3.45,3.39,3.65,0.0,0.0,1087340
04/16/2019,3.83,3.58,3.45,3.8607,0.0,0.0,1869024
