Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,73.67,75.02,72.99,75.12,0.0,0.0,36389
07/11/2019,73.55,73.26,72.8,73.98,0.0,0.0,45886
07/10/2019,73.43,73.44,72.74,74.32,0.0,0.0,49922
07/09/2019,73.68,73.19,72.43,74.43,0.0,0.0,55921
07/08/2019,72.8,73.95,72.37,74.1,0.0,0.0,58185
07/05/2019,71.36,73.22,70.49,73.22,0.0,0.0,46431
07/03/2019,71.46,71.41,70.94,72.16,0.0,0.0,21489
07/02/2019,72.59,71.17,70.26,72.9,0.0,0.0,42406
07/01/2019,73.66,72.59,72.08,74.276,0.0,0.0,46447
06/28/2019,72.13,72.66,71.72,73.62,0.0,0.0,94708
06/27/2019,68.9,71.75,68.58,71.89,0.0,0.0,56311
06/26/2019,68.2,68.81,68.2,69.68,0.0,0.0,32120
06/25/2019,68.25,68.12,67.2236,68.86,0.0,0.0,33685
06/24/2019,70.11,68.22,68.1,70.42,0.0,0.0,43454
06/21/2019,71,70.28,70.28,71.73,0.0,0.0,71109
06/20/2019,72.05,71.24,70.69,72.05,0.0,0.0,36689
06/19/2019,71.19,71.67,71,72.76,0.0,0.0,52765
06/18/2019,72.79,71.64,71.06,72.85,0.0,0.0,42602
06/17/2019,71.71,72.3,71.71,72.99,0.0,0.0,26959
06/14/2019,71.12,71.55,70.6415,72.46,0.0,0.0,47840
06/13/2019,71.17,71.29,70.61,71.81,0.0,0.0,32739
06/12/2019,70.97,71.67,70.78,71.7,0.0,0.0,31358
06/11/2019,71.42,71.14,70.37,72.58,0.0,0.0,24354
06/10/2019,70.77,70.97,70.77,71.7744,0.0,0.0,35079
06/07/2019,70.63,70.36,69.518,70.8782,0.0,0.0,29199
06/06/2019,69.61,70.38,68.57,70.55,0.0,0.0,28511
06/05/2019,71.74,69.54,69.41,72.68,0.0,0.0,49291
06/04/2019,70.64,71.82,70.1549,72.13,0.0,0.0,42700
06/03/2019,68.91,69.96,68.48,70.34,0.0,0.0,37437
05/31/2019,68.9,68.43,67.26,69.33,0.0,0.0,47502
05/30/2019,70.78,69.71,68.7,71.13,0.0,0.0,47579
05/29/2019,69.54,70.64,69.33,70.96,0.0,0.0,27088
05/28/2019,71.42,69.85,69.1,71.42,0.0,0.0,51010
05/24/2019,70.85,71.44,69.97,71.47,0.0,0.0,28524
05/23/2019,72.18,70.4,70.3,72.18,0.0,0.0,23575
05/22/2019,74.32,73.04,72.84,74.47,0.0,0.0,17358
05/21/2019,73.65,74.72,73.35,75.13,0.0,0.0,17982
05/20/2019,72.36,73.13,72.085,73.46,0.0,0.0,31483
05/17/2019,73.02,72.95,72.03,74.07,0.0,0.0,29046
05/16/2019,73.54,73.71,73,74.87,0.0,0.0,23013
05/15/2019,73.2,73.31,72.615,74.84,0.0,0.0,29947
05/14/2019,73,73.89,71.97,75.04,0.0,0.0,36575
05/13/2019,74.83,72.77,72.22,76.065,0.0,0.0,32136
05/10/2019,74.61,76.34,74.12,76.35,0.0,0.0,23940
05/09/2019,77.57,74.94,73.64,77.72,0.0,0.0,56619
05/08/2019,78.24,78.4,77.06,78.845,0.0,0.0,39145
05/07/2019,79.29,78.44,77.465,79.7629,0.0,0.0,50102
05/06/2019,80.19,79.8,78.86,81.5,0.0,0.0,60687
05/03/2019,78.12,80.75,77.6,81.98,0.0,0.0,96617
05/02/2019,76.91,78.01,75.69,78.12,0.0,0.0,40022
05/01/2019,76.71,77.37,75.88,77.525,0.0,0.0,39244
04/30/2019,78.37,76.48,76.18,78.84,0.0,0.0,71418
04/29/2019,76.81,78.27,76.81,78.59,0.0,0.0,50740
04/26/2019,75.43,76.33,74.76,76.33,0.0,0.0,25373
04/25/2019,76.53,75.47,74.86,76.53,0.0,0.0,27137
04/24/2019,75.62,76.47,74.6,76.86,0.0,0.0,29079
04/23/2019,73.93,75.61,73.93,76.52,0.0,0.0,50750
04/22/2019,74.88,74.22,73.59,74.88,0.0,0.0,28958
04/18/2019,76.72,74.9,74.89,76.72,0.0,0.0,24156
04/17/2019,77.47,77.15,76.22,77.86,0.0,0.0,21330
04/16/2019,75.62,77.19,74.75,77.43,0.0,0.0,27964
04/15/2019,76.7,75.64,74.71,77.41,0.0,0.0,47757
04/12/2019,77.65,76.56,75.6999,78.59,0.0,0.0,29111
