Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,55.85,56.27,55.51,56.35,0.0,0.0,2957736
07/11/2019,55.83,55.48,55.27,56.145,0.0,0.0,3389325
07/10/2019,55.54,55.73,55.5,56,0.0,0.0,3898320
07/09/2019,54.68,55.52,54.56,55.53,0.0,0.0,3617079
07/08/2019,54.6,54.96,54.39,55.16,0.0,0.0,4378569
07/05/2019,54.85,54.61,54.23,54.99,0.0,0.0,2514002
07/03/2019,54,54.83,53.84,55.06,0.0,0.0,2948719
07/02/2019,53.88,53.79,53.14,53.89,0.0,0.0,3374767
07/01/2019,53.53,53.84,53.17,53.97,0.0,0.0,3214938
06/28/2019,53.22,53.28,52.91,53.415,0.0,0.0,5214796
06/27/2019,52.37,53.05,52.23,53.09,0.0,0.0,3878268
06/26/2019,52.94,52.26,52.095,52.96,0.0,0.0,3883442
06/25/2019,53.23,52.73,52.51,53.53,0.0,0.0,5504338
06/24/2019,53.63,53.32,53.205,54.07,0.0,0.0,2745200
06/21/2019,54.64,53.65,53.63,54.73,0.0,0.0,5462511
06/20/2019,53.98,54.25,53.32,54.36,0.0,0.0,5000817
06/19/2019,53.5,53.6,53.4,53.94,0.0,0.0,4029143
06/18/2019,52.89,53.35,52.86,53.55,0.0,0.0,3313752
06/17/2019,53.42,52.99,52.935,53.6,0.0,0.0,2711058
06/14/2019,53.27,53.31,52.85,53.43,0.0,0.0,3206876
06/13/2019,52.7,53.2,52.64,53.445,0.0,0.0,3860430
06/12/2019,53.15,52.96,52.62,53.24,0.0,0.0,2842352
06/11/2019,53.6,53.08,52.76,53.76,0.0,0.0,3587341
06/10/2019,53.1,53.33,52.97,53.55,0.0,0.0,4645842
06/07/2019,53.51,52.91,52.91,53.76,0.0,0.0,5206049
06/06/2019,53.59,53.55,53.375,54.17,0.0,0.0,4764191
06/05/2019,53.34,53.68,52.685,53.72,0.0,0.0,5480388
06/04/2019,53.18,53.83,52.865,53.91,0.0,0.0,6775112
06/03/2019,51.06,52.71,50.92,52.75,0.0,0.0,7097574
05/31/2019,51.4,51.07,50.66,51.49,0.0,0.0,5120785
05/30/2019,51.79,51.94,51.59,52.25,0.0,0.0,3288224
05/29/2019,51.92,51.62,51.175,51.95,0.0,0.0,3947672
05/28/2019,52.59,52.07,52.01,53.04,0.0,0.0,5962434
05/24/2019,52.46,52.76,52.19,52.84,0.0,0.0,3340962
05/23/2019,52.22,52.2,51.53,52.23,0.0,0.0,5085921
05/22/2019,52.31,52.56,52.085,52.87,0.0,0.0,4408602
05/21/2019,52.78,52.5,52.09,52.82,0.0,0.0,4628590
05/20/2019,52.43,52.43,52.16,53.02,0.0,0.0,5713523
05/17/2019,51.67,52.37,51.56,52.69,0.0,0.0,4924463
05/16/2019,51.96,52.23,51.96,52.97,0.0,0.0,5450316
05/15/2019,51.08,51.85,50.81,52.175,0.0,0.0,6163759
05/14/2019,50.73,51.48,50.73,51.87,0.0,0.0,6843974
05/13/2019,50.98,50.72,50.07,51.28,0.0,0.0,5894919
05/10/2019,50.48,51.64,50.1,51.67,0.0,0.0,5779544
05/09/2019,49.69,50.83,49.38,50.92,0.0,0.0,6068240
05/08/2019,50.04,49.96,49.83,51.98,0.0,0.0,11033110
05/07/2019,50.74,50.3,50,51.306,0.0,0.0,29260810
05/06/2019,46.29,47.11,46.15,47.11,0.0,0.0,6001566
05/03/2019,46.9,47.11,46.74,47.37,0.0,0.0,6361393
05/02/2019,47.02,46.8,46.49,47.45,0.0,0.0,4753429
05/01/2019,47.5,46.87,46.85,47.8,0.0,0.0,4273996
04/30/2019,47,47.57,46.85,47.6,0.0,0.0,5433501
04/29/2019,46.15,46.99,46.08,47.12,0.0,0.0,4449254
04/26/2019,45.2,46.05,44.94,46.09,0.0,0.0,3070311
04/25/2019,45.48,45.19,44.92,45.68,0.0,0.0,5996952
04/24/2019,45.74,45.74,45.63,46.2,0.0,0.0,4050388
04/23/2019,45.8,45.98,45.56,46.06,0.0,0.0,5034692
04/22/2019,45.99,46,45.715,46.295,0.0,0.0,2630977
04/18/2019,45.9,46.04,45.8074,46.44,0.0,0.0,3729295
04/17/2019,46.75,45.97,45.62,46.8,0.0,0.0,3650577
04/16/2019,46.05,46.74,46.04,46.89,0.0,0.0,4709644
04/15/2019,46.17,45.8,45.72,46.295,0.0,0.0,3766215
04/12/2019,46,46.19,45.97,46.95,0.0,0.0,4932384
