Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,33.05,33.58,32.835,33.745,0.0,0.0,306339
07/15/2019,33.45,33.06,32.38,33.45,0.0,0.0,512566
07/12/2019,33.42,33.53,33.1,34,0.0,0.0,482040
07/11/2019,34.01,33.41,33.185,34.01,0.0,0.0,240907
07/10/2019,34.79,33.91,33.84,34.8,0.0,0.0,303292
07/09/2019,34.43,34.53,34.17,34.64,0.0,0.0,318304
07/08/2019,33.91,34.64,33.79,34.75,0.0,0.0,429906
07/05/2019,34.12,34.25,33.42,34.48,0.0,0.0,354629
07/03/2019,34.62,34.64,34.6,34.94,0.0,0.0,154574
07/02/2019,35.81,34.69,34.41,35.82,0.0,0.0,331186
07/01/2019,36.61,35.78,35.38,36.89,0.0,0.0,445297
06/28/2019,35.7,35.88,35.58,36.35,0.0,0.0,2629790
06/27/2019,35.48,35.5,35.13,35.73,0.0,0.0,308242
06/26/2019,35.31,35.47,35.18,35.56,0.0,0.0,329236
06/25/2019,35.6,35.1,35.01,35.84,0.0,0.0,500067
06/24/2019,36.37,35.44,35.42,36.37,0.0,0.0,403922
06/21/2019,36.36,36.24,35.91,36.84,0.0,0.0,361681
06/20/2019,36.29,36.48,35.9,36.695,0.0,0.0,377043
06/19/2019,35.77,35.59,35.52,36.01,0.0,0.0,372848
06/18/2019,36.04,35.75,35.7,36.91,0.0,0.0,437873
06/17/2019,35.51,35.8,35.44,36.15,0.0,0.0,611399
06/14/2019,36.21,35.6,35.33,36.33,0.0,0.0,677335
06/13/2019,35.27,36.46,35.27,36.59,0.0,0.0,530937
06/12/2019,34.93,35.12,34.57,35.48,0.0,0.0,485270
06/11/2019,35.33,35.07,34.97,35.56,0.0,0.0,460444
06/10/2019,34.52,34.9,34.28,36.63,0.0,0.0,366821
06/07/2019,33.82,34.22,33.6783,34.3,0.0,0.0,387073
06/06/2019,33.42,33.59,33,33.77,0.0,0.0,290562
06/05/2019,33.75,33.56,33.06,34.35,0.0,0.0,294078
06/04/2019,32.06,33.72,31.97,33.76,0.0,0.0,586055
06/03/2019,31.41,31.57,31.23,32.05,0.0,0.0,539008
05/31/2019,31.74,31.37,31.09,31.85,0.0,0.0,700815
05/30/2019,33.53,32.3,32.1,33.9,0.0,0.0,646216
05/29/2019,33.2,33.42,33.06,33.66,0.0,0.0,608143
05/28/2019,33.46,33.54,33.11,33.72,0.0,0.0,530442
05/24/2019,32.92,33.31,32.41,33.45,0.0,0.0,343916
05/23/2019,33.28,32.6,32.41,33.28,0.0,0.0,487622
05/22/2019,34.28,33.85,33.85,34.54,0.0,0.0,172969
05/21/2019,33.89,34.54,33.56,34.63,0.0,0.0,233530
05/20/2019,33.4,33.61,33.195,34.21,0.0,0.0,307276
05/17/2019,34.56,33.67,33.57,34.73,0.0,0.0,417162
05/16/2019,34.89,34.96,34.85,35.42,0.0,0.0,271857
05/15/2019,34.17,34.79,34.08,35.1,0.0,0.0,310299
05/14/2019,34.3,34.78,33.695,34.82,0.0,0.0,487965
05/13/2019,34.55,34,33.83,34.56,0.0,0.0,504304
05/10/2019,35.18,35.61,34.27,35.72,0.0,0.0,384136
05/09/2019,34.99,35.44,34.7,35.65,0.0,0.0,354063
05/08/2019,36.59,35.47,35.47,36.61,0.0,0.0,542592
05/07/2019,36.46,36.68,36.31,37.05,0.0,0.0,629854
05/06/2019,36.38,36.82,35.8826,36.98,0.0,0.0,416300
05/03/2019,37.35,37.54,37.22,37.97,0.0,0.0,634284
05/02/2019,36.81,36.59,36.11,37.21,0.0,0.0,292878
05/01/2019,37.7,36.93,36.87,37.7,0.0,0.0,484879
04/30/2019,37.7,37.49,36.48,37.9,0.0,0.0,630608
04/29/2019,37.76,37.78,37.03,37.9,0.0,0.0,910717
04/26/2019,36.09,37.6,35.2,38.15,0.0,0.0,940392
04/25/2019,35.32,34.68,34.07,35.64,0.0,0.0,805845
04/24/2019,34.6,35.64,34.57,35.68,0.0,0.0,593534
04/23/2019,34.13,34.65,33.91,34.771,0.0,0.0,358341
04/22/2019,34.12,34.13,33.825,34.26,0.0,0.0,505074
04/18/2019,34.33,34.37,34.07,34.75,0.0,0.0,524080
04/17/2019,34.05,34.37,33.91,34.555,0.0,0.0,863900
04/16/2019,32.88,33.85,32.88,33.94,0.0,0.0,518488
