Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.865,0.8725,0.8625,0.88,0.0,0.0,65233
07/15/2019,0.87,0.87,0.8675,0.89,0.0,0.0,46424
07/12/2019,0.88,0.87,0.87,0.8899,0.0,0.0,96937
07/11/2019,0.9,0.88,0.87,0.9,0.0,0.0,127818
07/10/2019,0.891,0.875,0.875,0.9,0.0,0.0,325543
07/09/2019,0.913,0.89,0.886,0.914,0.0,0.0,14235
07/08/2019,0.905,0.886,0.88,0.918,0.0,0.0,116483
07/05/2019,0.87,0.8839,0.8673,0.884,0.0,0.0,24622
07/03/2019,0.8797,0.885,0.87,0.885,0.0,0.0,38977
07/02/2019,0.906,0.8797,0.8574,0.93,0.0,0.0,61062
07/01/2019,0.9,0.9,0.89,0.9599,0.0,0.0,46020
06/28/2019,0.92,0.89,0.8001,0.966,0.0,0.0,262972
06/27/2019,0.9313,0.92,0.91,0.988,0.0,0.0,27934
06/26/2019,0.9,0.9397,0.9,0.9471,0.0,0.0,75909
06/25/2019,0.93,0.92,0.9,0.96,0.0,0.0,82498
06/24/2019,0.92,0.9167,0.9001,0.9499,0.0,0.0,119801
06/21/2019,0.92,0.9257,0.91,0.95,0.0,0.0,173083
06/20/2019,0.99,0.92,0.91,1.03,0.0,0.0,155120
06/19/2019,0.92,0.92,0.92,0.945,0.0,0.0,42254
06/18/2019,0.9214,0.92,0.8801,0.935,0.0,0.0,79044
06/17/2019,0.9246,0.92,0.92,0.9382,0.0,0.0,39810
06/14/2019,0.912,0.9246,0.9011,0.9327,0.0,0.0,59503
06/13/2019,0.9,0.92,0.9,0.9425,0.0,0.0,7768
06/12/2019,0.91,0.92,0.91,0.94,0.0,0.0,23535
06/11/2019,0.9226,0.92,0.9186,0.945,0.0,0.0,26133
06/10/2019,0.9304,0.92,0.9,0.945,0.0,0.0,76205
06/07/2019,0.92,0.9304,0.915,0.96,0.0,0.0,44847
06/06/2019,0.94,0.92,0.9,0.94,0.0,0.0,43574
06/05/2019,0.91,0.92,0.91,0.9294,0.0,0.0,105151
06/04/2019,0.918,0.9249,0.9,0.94,0.0,0.0,43841
06/03/2019,0.8768,0.9192,0.8208,0.9192,0.0,0.0,45841
05/31/2019,0.893,0.88,0.88,0.92,0.0,0.0,13713
05/30/2019,0.8799,0.9,0.8799,0.945,0.0,0.0,21085
05/29/2019,0.801,0.8698,0.801,0.9007,0.0,0.0,76744
05/28/2019,0.909,0.918,0.909,0.97,0.0,0.0,125078
05/24/2019,0.8776,0.8699,0.83,0.883,0.0,0.0,190698
05/23/2019,0.8858,0.868,0.8302,0.8858,0.0,0.0,39390
05/22/2019,0.9222,0.8565,0.83,0.96,0.0,0.0,212630
05/21/2019,0.948,0.94,0.9182,0.95,0.0,0.0,7524
05/20/2019,0.9097,0.945,0.872,0.97,0.0,0.0,103414
05/17/2019,0.892,0.9099,0.89,0.94,0.0,0.0,18820
05/16/2019,0.9364,0.8873,0.88,0.9364,0.0,0.0,36944
05/15/2019,0.9137,0.939,0.9016,0.939,0.0,0.0,8444
05/14/2019,0.912,0.915,0.9016,0.94,0.0,0.0,8916
05/13/2019,0.92,0.93,0.9,0.94,0.0,0.0,19582
05/10/2019,0.94,0.94,0.9204,0.94,0.0,0.0,4431
05/09/2019,0.95,0.94,0.9275,0.96,0.0,0.0,20628
05/08/2019,0.94,0.94,0.911,0.94,0.0,0.0,6572
05/07/2019,0.9318,0.9385,0.9125,0.96,0.0,0.0,45384
05/06/2019,0.9198,0.93,0.91,0.96,0.0,0.0,47326
05/03/2019,0.91,0.96,0.91,0.96,0.0,0.0,58134
05/02/2019,0.9355,0.9453,0.91,0.989,0.0,0.0,56396
05/01/2019,0.9731,0.9304,0.9303,1.01,0.0,0.0,38828
04/30/2019,0.95,0.97,0.948,0.98,0.0,0.0,36521
04/29/2019,1,0.9847,0.9102,1.02,0.0,0.0,105710
04/26/2019,0.864,0.9835,0.8601,1,0.0,0.0,172284
04/25/2019,0.88,0.8676,0.8601,0.88,0.0,0.0,256393
04/24/2019,0.873,0.885,0.87,0.9,0.0,0.0,392759
04/23/2019,0.92,0.9,0.86,0.975,0.0,0.0,514428
04/22/2019,0.9175,0.9175,0.85,0.9175,0.0,0.0,388861
04/18/2019,0.9387,0.92,0.89,0.9387,0.0,0.0,84064
04/17/2019,1.02,0.9587,0.913,1.02,0.0,0.0,91639
04/16/2019,1.01,1.02,1.01,1.04,0.0,0.0,19991
