Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,17.305,17.2,17.16,17.35,0.0,0.0,25716
07/15/2019,17.54,17.34,17.08,17.57,0.0,0.0,21719
07/12/2019,17.66,17.53,17.48,17.68,0.0,0.0,17448
07/11/2019,17.6,17.68,17.49,17.74,0.0,0.0,26712
07/10/2019,17.79,17.62,17.37,17.825,0.0,0.0,18553
07/09/2019,17.633,17.75,17.43,17.83,0.0,0.0,31840
07/08/2019,17.81,17.56,17.42,17.85,0.0,0.0,20316
07/05/2019,17.77,17.82,17.55,17.88,0.0,0.0,17205
07/03/2019,17.77,17.7,17.66,17.88,0.0,0.0,8261
07/02/2019,17.62,17.77,17.41,17.8,0.0,0.0,21209
07/01/2019,17.6,17.66,17.405,17.72,0.0,0.0,32654
06/28/2019,17.21,17.45,17.21,17.67,0.0,0.0,325475
06/27/2019,16.7,17.33,16.7,17.33,0.0,0.0,41317
06/26/2019,16.56,16.68,16.51,16.9,0.0,0.0,17754
06/25/2019,16.55,16.6,16.32,17.0608,0.0,0.0,42953
06/24/2019,17.16,16.5,16.41,17.16,0.0,0.0,27206
06/21/2019,16.83,16.83,16.34,17.09,0.0,0.0,82485
06/20/2019,17.32,17.01,16.73,17.33,0.0,0.0,28871
06/19/2019,17.2,17.23,16.75,17.52,0.0,0.0,43452
06/18/2019,16.94,17.18,16.8119,17.45,0.0,0.0,28492
06/17/2019,17,16.8,16.58,17.3,0.0,0.0,20047
06/14/2019,17,17,16.55,17.3,0.0,0.0,26320
06/13/2019,16.95,17.14,16.95,17.53,0.0,0.0,35930
06/12/2019,16.745,16.9,16.3212,17,0.0,0.0,18563
06/11/2019,16.41,16.42,16.12,16.48,0.0,0.0,35516
06/10/2019,16.52,16.54,16.19,16.94,0.0,0.0,45823
06/07/2019,16.46,16.42,16.085,16.8384,0.0,0.0,84183
06/06/2019,17.15,16.42,16.08,17.15,0.0,0.0,34927
06/05/2019,16.97,16.5,16.32,16.97,0.0,0.0,32099
06/04/2019,16.53,16.94,16.47,17.06,0.0,0.0,36641
06/03/2019,16.53,16.6,16.06,16.795,0.0,0.0,36907
05/31/2019,16.48,16.5,16.03,17.82,0.0,0.0,56500
05/30/2019,17.22,16.75,16.06,17.22,0.0,0.0,65299
05/29/2019,17.44,17.19,16.97,17.82,0.0,0.0,60950
05/28/2019,17.71,17.68,17.45,17.805,0.0,0.0,99971
05/24/2019,17.23,17.71,17.23,17.83,0.0,0.0,31017
05/23/2019,17.61,17.15,16.85,17.675,0.0,0.0,29346
05/22/2019,17.79,17.73,17.5574,18.288,0.0,0.0,25145
05/21/2019,17.75,17.83,17.53,18.3,0.0,0.0,38013
05/20/2019,17.54,17.75,17.52,17.84,0.0,0.0,47154
05/17/2019,17.59,17.67,17.2701,17.78,0.0,0.0,30203
05/16/2019,17.82,17.68,17.6,17.89,0.0,0.0,17477
05/15/2019,17.72,17.8,17.26,17.83,0.0,0.0,34314
05/14/2019,17.3,17.91,17.14,17.93,0.0,0.0,38610
05/13/2019,17.97,17.45,17.25,17.98,0.0,0.0,24013
05/10/2019,17.78,18.14,17.78,18.345,0.0,0.0,24565
05/09/2019,17.67,17.79,17.67,18.265,0.0,0.0,32793
05/08/2019,18.07,17.86,17.69,18.3,0.0,0.0,20340
05/07/2019,18.235,17.95,17.55,18.35,0.0,0.0,39816
05/06/2019,17.26,17.78,17.14,18.22,0.0,0.0,42355
05/03/2019,17.36,17.5,17.36,17.85,0.0,0.0,42322
05/02/2019,17.29,17.21,16.925,17.85,0.0,0.0,53145
05/01/2019,16.88,17.13,16.78,17.495,0.0,0.0,67837
04/30/2019,16.99,16.95,16,17.3,0.0,0.0,90280
04/29/2019,15.87,16.71,15.66,16.74,0.0,0.0,35337
04/26/2019,15.635,15.84,15.53,15.99,0.0,0.0,17125
04/25/2019,15.73,15.62,15.53,15.92,0.0,0.0,13549
04/24/2019,15.83,15.75,15.62,15.95,0.0,0.0,18037
04/23/2019,15.71,15.82,15.58,15.95,0.0,0.0,44394
04/22/2019,15.78,15.69,15.52,15.892,0.0,0.0,27469
04/18/2019,15.83,15.7,15.5,15.97,0.0,0.0,53296
04/17/2019,15.8,15.86,15.74,16,0.0,0.0,26023
04/16/2019,15.84,15.76,15.74,16.16,0.0,0.0,28980
