Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,46.17,46.56,45.81,46.83,0.0,0.0,337622
07/15/2019,46.43,46.28,46.01,46.88,0.0,0.0,315040
07/12/2019,44.88,46.27,44.87,46.5,0.0,0.0,419644
07/11/2019,45.27,44.8,44.71,45.6,0.0,0.0,243658
07/10/2019,45.24,45.19,44.82,46.167,0.0,0.0,340429
07/09/2019,44.6,45.23,44,45.9699,0.0,0.0,426032
07/08/2019,44.25,44.88,43.62,44.93,0.0,0.0,385504
07/05/2019,44.04,44.5,43.4,44.51,0.0,0.0,306444
07/03/2019,44.29,44.45,43.66,44.57,0.0,0.0,238998
07/02/2019,45.2,44.46,44.26,45.2,0.0,0.0,332621
07/01/2019,45.53,44.97,44.34,46.2276,0.0,0.0,457759
06/28/2019,44.53,44.13,43.81,44.64,0.0,0.0,500946
06/27/2019,44.33,44.31,44.04,45,0.0,0.0,323061
06/26/2019,44.47,44.27,44.19,45.59,0.0,0.0,422622
06/25/2019,43.54,44,43.54,44.83,0.0,0.0,391346
06/24/2019,44.26,43.87,43.39,44.505,0.0,0.0,338002
06/21/2019,43.78,44.45,43.3,44.6399,0.0,0.0,759729
06/20/2019,44.2,43.97,43.78,44.73,0.0,0.0,336586
06/19/2019,43.77,43.72,43.1,43.8,0.0,0.0,270157
06/18/2019,41.93,43.38,41.5,44.11,0.0,0.0,743452
06/17/2019,41.57,41.7,41.3763,42.26,0.0,0.0,325545
06/14/2019,41.72,41.38,41,41.72,0.0,0.0,295183
06/13/2019,42.28,42.09,41.89,42.85,0.0,0.0,494588
06/12/2019,40.66,42.15,40.66,42.54,0.0,0.0,356244
06/11/2019,41.93,42.3,41.44,42.435,0.0,0.0,619775
06/10/2019,39.25,41.47,39.25,41.84,0.0,0.0,821917
06/07/2019,39.2,38.96,38.23,39.8,0.0,0.0,1191782
06/06/2019,39.75,38.97,37.87,40.025,0.0,0.0,1036262
06/05/2019,42.55,39.78,38.95,43.75,0.0,0.0,3584789
06/04/2019,39.04,39.75,38.0555,39.86,0.0,0.0,917483
06/03/2019,37.73,38.11,37.12,39.109,0.0,0.0,843100
05/31/2019,37.85,37.91,37.45,38.51,0.0,0.0,361866
05/30/2019,37.44,38.44,37.43,38.54,0.0,0.0,549219
05/29/2019,37.26,37.43,36.68,37.6,0.0,0.0,731202
05/28/2019,38.37,37.54,37.47,38.5492,0.0,0.0,433494
05/24/2019,37.51,38.24,37.38,39.06,0.0,0.0,799137
05/23/2019,38.71,37.21,36.8,38.8,0.0,0.0,1046850
05/22/2019,38.66,39.2,38.16,40.72,0.0,0.0,3830256
05/21/2019,45,44.25,44.08,45.1,0.0,0.0,742419
05/20/2019,44.73,44.57,44.14,45.04,0.0,0.0,562842
05/17/2019,46.54,45.42,45.23,47.1,0.0,0.0,643308
05/16/2019,48.54,47.16,47.14,48.54,0.0,0.0,571547
05/15/2019,47.02,48.57,46.885,49.07,0.0,0.0,553179
05/14/2019,45.5,47.65,45.4,47.93,0.0,0.0,575753
05/13/2019,47.04,45.14,44.755,47.35,0.0,0.0,445643
05/10/2019,47.36,48.31,46.55,48.5,0.0,0.0,315982
05/09/2019,48.02,47.7,46.81,48.375,0.0,0.0,403783
05/08/2019,48.35,48.56,47.95,49.92,0.0,0.0,283361
05/07/2019,49.24,48.66,47.92,49.94,0.0,0.0,446685
05/06/2019,49.75,49.85,49.51,50.61,0.0,0.0,365084
05/03/2019,51,51.13,50.6,51.36,0.0,0.0,311426
05/02/2019,49.91,50.73,49.91,51.23,0.0,0.0,441206
05/01/2019,50.45,49.91,49.91,51.2,0.0,0.0,552276
04/30/2019,49.08,50.12,48.93,50.31,0.0,0.0,372895
04/29/2019,49.53,49.17,49.055,49.84,0.0,0.0,185566
04/26/2019,50,49.52,48.9716,50,0.0,0.0,360240
04/25/2019,51.41,50.44,49.4212,51.41,0.0,0.0,332236
04/24/2019,50.44,51.27,50,52.1184,0.0,0.0,731397
04/23/2019,50,50.48,49.655,51.37,0.0,0.0,841902
04/22/2019,48.38,49.81,47.91,49.85,0.0,0.0,496371
04/18/2019,49.03,48.64,47.62,49.3395,0.0,0.0,745994
04/17/2019,49.83,49.23,48.07,50,0.0,0.0,784085
04/16/2019,47,49.32,46.8379,49.39,0.0,0.0,770113
