Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
07/15/2019,9.95,9.94,9.94,9.9634,0.0,0.0,7944
07/12/2019,9.95,9.95,9.95,9.95,0.0,0.0,00
07/11/2019,9.95,9.95,9.95,9.95,0.0,0.0,00
07/10/2019,9.95,9.95,9.95,9.95,0.0,0.0,300
07/09/2019,9.98,9.95,9.95,9.98,0.0,0.0,302
07/08/2019,9.94,9.98,9.94,9.98,0.0,0.0,594716
07/05/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
07/03/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
07/02/2019,9.93,9.94,9.92,9.96,0.0,0.0,5950
07/01/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/28/2019,9.94,9.94,9.94,9.94,0.0,0.0,300
06/27/2019,9.95,9.94,9.94,9.95,0.0,0.0,505200
06/26/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/25/2019,9.92,9.94,9.92,9.94,0.0,0.0,356300
06/24/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/21/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/20/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/19/2019,9.94,9.94,9.94,9.94,0.0,0.0,250000
06/18/2019,9.94,9.95,9.94,9.95,0.0,0.0,1474
06/17/2019,9.94,9.94,9.94,9.94,0.0,0.0,00
06/14/2019,9.92,9.94,9.92,9.94,0.0,0.0,25520
06/13/2019,9.89,9.89,9.89,9.89,0.0,0.0,00
06/12/2019,9.89,9.89,9.89,9.89,0.0,0.0,200
06/11/2019,9.92,9.92,9.92,9.92,0.0,0.0,00
06/10/2019,9.92,9.92,9.92,9.92,0.0,0.0,100
06/07/2019,9.9,9.905,9.9,9.905,0.0,0.0,27478
06/06/2019,9.86,9.86,9.86,9.86,0.0,0.0,00
06/05/2019,9.8779,9.86,9.86,9.8779,0.0,0.0,11899
06/04/2019,9.86,9.86,9.86,9.86,0.0,0.0,00
06/03/2019,9.86,9.86,9.86,9.86,0.0,0.0,00
05/31/2019,9.86,9.86,9.86,9.86,0.0,0.0,00
05/30/2019,9.88,9.86,9.86,9.88,0.0,0.0,94301
05/29/2019,9.87,9.86,9.85,9.87,0.0,0.0,555696
05/28/2019,9.8872,9.86,9.86,9.8872,0.0,0.0,24302
05/24/2019,9.86,9.86,9.86,9.86,0.0,0.0,430100
05/23/2019,9.86,9.86,9.86,9.86,0.0,0.0,100100
05/22/2019,9.85,9.85,9.85,9.85,0.0,0.0,00
05/21/2019,9.85,9.85,9.85,9.85,0.0,0.0,00
05/20/2019,9.85,9.85,9.84,9.85,0.0,0.0,140299
05/17/2019,9.85,9.86,9.85,9.86,0.0,0.0,17015
05/16/2019,9.8,9.8,9.8,9.8,0.0,0.0,00
05/15/2019,9.87,9.8,9.8,9.87,0.0,0.0,1082
05/14/2019,9.8483,9.83,9.83,9.8483,0.0,0.0,1087
05/13/2019,9.814,9.85,9.8,9.88,0.0,0.0,124100
05/10/2019,9.85,9.85,9.85,9.85,0.0,0.0,100200
05/09/2019,9.86,9.86,9.86,9.86,0.0,0.0,00
05/08/2019,9.86,9.86,9.86,9.86,0.0,0.0,2400
05/07/2019,9.86,9.86,9.86,9.86,0.0,0.0,150432
05/06/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
05/03/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
05/02/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
05/01/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
04/30/2019,9.87,9.87,9.87,9.87,0.0,0.0,19357
04/29/2019,9.85,9.86,9.85,9.86,0.0,0.0,22750
04/26/2019,9.86,9.86,9.86,9.86,0.0,0.0,129000
04/25/2019,9.84,9.84,9.84,9.84,0.0,0.0,10000
04/24/2019,9.86,9.86,9.86,9.86,0.0,0.0,189
04/23/2019,9.86,9.86,9.86,9.86,0.0,0.0,816
04/22/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
04/18/2019,9.87,9.87,9.87,9.87,0.0,0.0,00
04/17/2019,9.82,9.87,9.82,9.87,0.0,0.0,401
04/16/2019,9.86,9.87,9.85,9.89,0.0,0.0,16903
