Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,90.18,91,90.18,91.18,0.0,0.0,1154292
07/11/2019,89.65,89.59,88.905,90.0075,0.0,0.0,1707802
07/10/2019,90.77,89.58,89.545,91,0.0,0.0,1500752
07/09/2019,89.93,90.37,89.84,90.59,0.0,0.0,1992607
07/08/2019,90.78,90.6,90.48,91.39,0.0,0.0,1025680
07/05/2019,91.09,91.09,89.645,91.39,0.0,0.0,652234
07/03/2019,91.28,91.91,91,91.91,0.0,0.0,452105
07/02/2019,92.08,91.22,90.73,92.125,0.0,0.0,1288331
07/01/2019,91.76,92.11,90.75,92.3,0.0,0.0,1687644
06/28/2019,88.79,90.84,88.4,90.87,0.0,0.0,4909354
06/27/2019,88.13,88.26,87.82,89.19,0.0,0.0,671661
06/26/2019,87.68,87.83,87.41,88.12,0.0,0.0,706078
06/25/2019,88.11,87.56,87.485,88.14,0.0,0.0,573934
06/24/2019,87.68,87.85,87.455,88.44,0.0,0.0,650154
06/21/2019,88.49,87.76,87.75,89.82,0.0,0.0,1715756
06/20/2019,87,88.58,86.78,88.74,0.0,0.0,1159378
06/19/2019,86.85,86.8,85.71,86.96,0.0,0.0,882625
06/18/2019,85.08,86.51,84.93,86.66,0.0,0.0,1325784
06/17/2019,85.19,84.45,84.39,85.41,0.0,0.0,1118262
06/14/2019,85.34,84.99,84.5,85.34,0.0,0.0,737766
06/13/2019,85.84,85.68,84.99,86.01,0.0,0.0,729611
06/12/2019,86.12,85.52,85.34,86.86,0.0,0.0,1048260
06/11/2019,87.28,86.3,86.025,87.66,0.0,0.0,890855
06/10/2019,86.29,86.48,86.2,87.11,0.0,0.0,1308803
06/07/2019,84.08,85.77,83.97,86.07,0.0,0.0,973793
06/06/2019,84.44,83.94,83.25,84.44,0.0,0.0,1153686
06/05/2019,84.16,84.37,82.8,84.43,0.0,0.0,1159943
06/04/2019,82.96,83.67,82.19,83.8,0.0,0.0,1378992
06/03/2019,81.88,82.18,81.62,82.92,0.0,0.0,1372713
05/31/2019,82.24,81.89,81.83,82.84,0.0,0.0,1078867
05/30/2019,83.65,83.81,83.3,84.28,0.0,0.0,521566
05/29/2019,83.42,83.39,82.91,83.91,0.0,0.0,2141123
05/28/2019,84.84,83.93,83.82,85.15,0.0,0.0,1544548
05/24/2019,85.33,84.49,84.43,85.67,0.0,0.0,1031589
05/23/2019,84.64,84.87,84.1,84.89,0.0,0.0,1224067
05/22/2019,86.12,85.61,85.59,86.4,0.0,0.0,1040499
05/21/2019,85.76,86.47,85.64,86.6,0.0,0.0,1090354
05/20/2019,85.32,85.16,84.85,85.91,0.0,0.0,786416
05/17/2019,85.68,85.9,85.62,86.56,0.0,0.0,757941
05/16/2019,86.12,86.59,85.755,86.74,0.0,0.0,693809
05/15/2019,84.57,85.77,84,86.14,0.0,0.0,943148
05/14/2019,84.45,85.02,84.45,85.86,0.0,0.0,923446
05/13/2019,83.77,84.11,83.16,84.49,0.0,0.0,1241636
05/10/2019,84.87,85.58,83.5,85.85,0.0,0.0,749357
05/09/2019,84.44,85.45,83.96,85.6,0.0,0.0,608025
05/08/2019,85.4,85.49,84.89,86.12,0.0,0.0,947047
05/07/2019,85.49,85.46,84.84,86.53,0.0,0.0,1461158
05/06/2019,85.78,86.52,85.25,86.58,0.0,0.0,953308
05/03/2019,87.55,87.35,87.1,87.72,0.0,0.0,1048791
05/02/2019,86.45,87.02,86.115,87.35,0.0,0.0,974318
05/01/2019,88.5,86.36,86.32,88.76,0.0,0.0,1709081
04/30/2019,87.86,88.17,87.39,88.24,0.0,0.0,1689087
04/29/2019,87.79,87.44,87.09,87.98,0.0,0.0,999027
04/26/2019,85.99,87.3,85.72,87.34,0.0,0.0,984840
04/25/2019,86.49,85.91,85.47,86.92,0.0,0.0,1106222
04/24/2019,87.29,87.1,87.08,87.77,0.0,0.0,699550
04/23/2019,86.52,87.29,86.42,87.59,0.0,0.0,750872
04/22/2019,86.02,86.62,85.71,86.725,0.0,0.0,456188
04/18/2019,86.2,86.49,85.77,86.56,0.0,0.0,953953
04/17/2019,86.73,85.75,85.7,86.73,0.0,0.0,599749
04/16/2019,86.01,85.91,85.42,86.25,0.0,0.0,690405
04/15/2019,85.93,85.62,85.345,86.209,0.0,0.0,614790
04/12/2019,85.04,85.81,85,85.92,0.0,0.0,1250833
