Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,91.29,89.76,88.52,92.12,0.0,0.0,681509
07/11/2019,91.14,91.02,89.4,91.41,0.0,0.0,283036
07/10/2019,90.59,90.56,90.095,91.3,0.0,0.0,360388
07/09/2019,88.64,90.42,88.34,90.53,0.0,0.0,343659
07/08/2019,90.13,89.52,89.28,91.48,0.0,0.0,227430
07/05/2019,90.95,91.05,90.69,91.87,0.0,0.0,260196
07/03/2019,89.91,90.73,89.87,91.18,0.0,0.0,221181
07/02/2019,92.1,90.14,89.77,92.1,0.0,0.0,673574
07/01/2019,93.49,92.02,91.16,94.07,0.0,0.0,408704
06/28/2019,92,92.14,91.64,93.2029,0.0,0.0,640546
06/27/2019,90.25,91.41,90.12,91.71,0.0,0.0,370581
06/26/2019,88.92,90.12,88.61,90.31,0.0,0.0,398116
06/25/2019,88.14,88.51,87.17,88.9157,0.0,0.0,388226
06/24/2019,88,88.04,87.35,88.995,0.0,0.0,702862
06/21/2019,88.5,87.98,87.85,88.6,0.0,0.0,839614
06/20/2019,87.5,88.6,86.625,88.69,0.0,0.0,768414
06/19/2019,88.14,86.93,86.58,88.14,0.0,0.0,589553
06/18/2019,87.92,87.57,87.33,89.73,0.0,0.0,784201
06/17/2019,88.52,87.33,87.26,88.52,0.0,0.0,525465
06/14/2019,89.98,88.36,88.045,89.98,0.0,0.0,626555
06/13/2019,89.47,89.76,89.2,90.4481,0.0,0.0,407737
06/12/2019,89.88,89.25,88.5,89.88,0.0,0.0,308066
06/11/2019,91.25,90.01,89.7,91.82,0.0,0.0,268336
06/10/2019,89.83,90.18,89.43,91.23,0.0,0.0,246007
06/07/2019,89.23,89.28,88.47,89.6,0.0,0.0,295379
06/06/2019,87.79,89.01,86.85,89.01,0.0,0.0,411341
06/05/2019,87.33,88.06,84.78,88.18,0.0,0.0,570741
06/04/2019,86.2,87.4,85.09,87.46,0.0,0.0,646230
06/03/2019,83.5,84.41,83.1,85.05,0.0,0.0,373695
05/31/2019,84.75,83.82,83.82,85.14,0.0,0.0,620898
05/30/2019,87.38,86.06,85.75,87.74,0.0,0.0,482950
05/29/2019,86.32,87.22,85.65,87.51,0.0,0.0,504543
05/28/2019,88.24,86.84,86.84,88.54,0.0,0.0,622224
05/24/2019,88.82,88.4,87.88,89.42,0.0,0.0,435353
05/23/2019,88.17,88.23,87.1,88.36,0.0,0.0,493740
05/22/2019,89.47,89.41,89.07,90.27,0.0,0.0,615801
05/21/2019,89.4,90.08,88.64,90.25,0.0,0.0,603915
05/20/2019,88.15,88.63,87,88.9,0.0,0.0,767302
05/17/2019,90.05,88.92,88.88,90.355,0.0,0.0,769699
05/16/2019,91.16,90.76,90.29,91.88,0.0,0.0,576627
05/15/2019,90.24,91.21,89.33,91.46,0.0,0.0,594520
05/14/2019,91.41,91.34,90.6042,92.3,0.0,0.0,607956
05/13/2019,92.55,90.84,90.55,93.02,0.0,0.0,981983
05/10/2019,93.87,94.39,92.09,94.94,0.0,0.0,991315
05/09/2019,92.12,94.33,91.57,94.51,0.0,0.0,802828
05/08/2019,94.19,93.97,93.61,94.85,0.0,0.0,784522
05/07/2019,97.01,94.09,93.13,97.01,0.0,0.0,1217659
05/06/2019,106.49,97.96,96.1372,106.49,0.0,0.0,2128694
05/03/2019,108.24,110.82,107.82,111.11,0.0,0.0,488691
05/02/2019,109.63,107.99,107.01,110,0.0,0.0,478266
05/01/2019,110.96,109.51,109.41,111.77,0.0,0.0,399313
04/30/2019,112.67,110.92,110.6575,112.7,0.0,0.0,403230
04/29/2019,112.93,112.94,112.71,114.32,0.0,0.0,259813
04/26/2019,111.62,112.46,110.66,112.47,0.0,0.0,384681
04/25/2019,113.07,112.09,111.13,113.07,0.0,0.0,299182
04/24/2019,113.87,113.17,113.09,114.05,0.0,0.0,301496
04/23/2019,113.42,114.48,112.32,114.64,0.0,0.0,513962
04/22/2019,113.43,113.35,113,114.4,0.0,0.0,324134
04/18/2019,112.43,113.64,111.48,113.83,0.0,0.0,420282
04/17/2019,112.74,112.39,112.06,113.365,0.0,0.0,386457
04/16/2019,111.55,112.53,111.515,112.56,0.0,0.0,617031
04/15/2019,112.48,111.04,110.58,113.05,0.0,0.0,406592
04/12/2019,112.25,112.34,111.45,113.54,0.0,0.0,402576
