Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,7.57,7.57,7.47,7.59,0.0,0.0,490704
07/15/2019,7.57,7.57,7.53,7.66,0.0,0.0,348902
07/12/2019,7.4,7.56,7.36,7.6,0.0,0.0,486893
07/11/2019,7.46,7.4,7.335,7.495,0.0,0.0,578782
07/10/2019,7.48,7.44,7.4,7.6,0.0,0.0,507836
07/09/2019,7.31,7.39,7.28,7.41,0.0,0.0,653190
07/08/2019,7.38,7.35,7.28,7.38,0.0,0.0,618699
07/05/2019,7.43,7.4,7.29,7.47,0.0,0.0,506786
07/03/2019,7.56,7.48,7.425,7.56,0.0,0.0,252273
07/02/2019,7.62,7.54,7.47,7.66,0.0,0.0,541653
07/01/2019,7.73,7.68,7.605,7.8613,0.0,0.0,756821
06/28/2019,7.41,7.46,7.3136,7.49,0.0,0.0,1379304
06/27/2019,7.26,7.38,7.26,7.4,0.0,0.0,488987
06/26/2019,7.03,7.2,7,7.24,0.0,0.0,588525
06/25/2019,7.05,6.91,6.9,7.1,0.0,0.0,790377
06/24/2019,7.07,7.06,7.0156,7.09,0.0,0.0,880258
06/21/2019,7.14,7.07,7.04,7.16,0.0,0.0,949823
06/20/2019,7.19,7.19,7.15,7.26,0.0,0.0,780953
06/19/2019,7.16,7.06,7,7.22,0.0,0.0,592719
06/18/2019,6.93,7.12,6.93,7.17,0.0,0.0,871070
06/17/2019,6.93,6.86,6.85,7,0.0,0.0,569126
06/14/2019,7.13,6.86,6.81,7.175,0.0,0.0,934174
06/13/2019,7.25,7.26,7.2,7.34,0.0,0.0,491795
06/12/2019,7.34,7.21,7.15,7.38,0.0,0.0,579715
06/11/2019,7.52,7.37,7.33,7.52,0.0,0.0,736044
06/10/2019,7.17,7.4,7.17,7.49,0.0,0.0,1181859
06/07/2019,7.1,7.07,7,7.12,0.0,0.0,745515
06/06/2019,6.98,7.1,6.96,7.125,0.0,0.0,746652
06/05/2019,7.15,7,6.92,7.2,0.0,0.0,1323048
06/04/2019,6.7,7.1,6.64,7.12,0.0,0.0,1549860
06/03/2019,6.49,6.58,6.44,6.64,0.0,0.0,1301867
05/31/2019,6.58,6.48,6.435,6.6367,0.0,0.0,822111
05/30/2019,6.57,6.68,6.57,6.74,0.0,0.0,1092584
05/29/2019,6.45,6.55,6.41,6.57,0.0,0.0,1487220
05/28/2019,6.6,6.5,6.44,6.63,0.0,0.0,893585
05/24/2019,6.69,6.55,6.54,6.76,0.0,0.0,553179
05/23/2019,6.76,6.63,6.54,6.7838,0.0,0.0,933426
05/22/2019,6.93,6.89,6.86,7.02,0.0,0.0,545139
05/21/2019,7.16,7.01,6.99,7.2,0.0,0.0,1109649
05/20/2019,7.06,7.05,7.03,7.11,0.0,0.0,1777564
05/17/2019,6.96,7.16,6.96,7.28,0.0,0.0,1216619
05/16/2019,7.26,7.25,7.17,7.33,0.0,0.0,1150418
05/15/2019,7.13,7.31,7.12,7.35,0.0,0.0,664389
05/14/2019,7.2,7.2,7.19,7.35,0.0,0.0,954844
05/13/2019,7.31,7.13,7,7.36,0.0,0.0,1644682
05/10/2019,7.57,7.54,7.445,7.695,0.0,0.0,940973
05/09/2019,7.61,7.61,7.5219,7.68,0.0,0.0,1289040
05/08/2019,7.72,7.76,7.67,7.83,0.0,0.0,1515451
05/07/2019,8,7.8,7.66,8,0.0,0.0,1503114
05/06/2019,8.2,8.01,7.91,8.28,0.0,0.0,1858835
05/03/2019,8.91,8.41,8.34,9.0699,0.0,0.0,1773220
05/02/2019,8.97,8.96,8.88,9.09,0.0,0.0,698647
05/01/2019,9.18,8.98,8.94,9.26,0.0,0.0,793658
04/30/2019,9.11,9.06,8.99,9.18,0.0,0.0,943266
04/29/2019,9.13,9.12,9.06,9.24,0.0,0.0,731883
04/26/2019,9.31,9.17,9.1,9.3402,0.0,0.0,1063179
04/25/2019,9.5,9.4,9.39,9.74,0.0,0.0,1192703
04/24/2019,9.1,9.5,9.1,9.59,0.0,0.0,2097360
04/23/2019,8.9,9.03,8.9,9.17,0.0,0.0,774170
04/22/2019,8.95,8.9,8.88,9.02,0.0,0.0,454583
04/18/2019,9.03,9.03,9,9.125,0.0,0.0,637066
04/17/2019,9.14,9.03,8.96,9.19,0.0,0.0,685202
04/16/2019,9.08,9.02,9.01,9.23,0.0,0.0,541751
