Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,21.87,21.74,21.52,21.94,0.0,0.0,3664399
07/15/2019,22,21.87,21.46,22.01,0.0,0.0,5021341
07/12/2019,22.58,21.89,21.79,22.6,0.0,0.0,6728133
07/11/2019,22.08,22.5,21.65,22.63,0.0,0.0,6227779
07/10/2019,22.22,21.98,21.36,22.3,0.0,0.0,9930794
07/09/2019,23.16,22.14,21.55,23.1685,0.0,0.0,18318870
07/08/2019,23.05,23.16,22.75,23.7,0.0,0.0,12208330
07/05/2019,22.65,23.16,22.61,23.91,0.0,0.0,19845870
07/03/2019,22.32,22.86,22.13,23.79,0.0,0.0,24204550
07/02/2019,20.79,22.37,20.2,22.45,0.0,0.0,42111290
07/01/2019,19.77,19.24,19.165,19.86,0.0,0.0,4671737
06/28/2019,18.8,19.39,18.73,19.43,0.0,0.0,4413732
06/27/2019,18.28,18.72,18.1808,18.75,0.0,0.0,3267303
06/26/2019,18.43,18.29,17.85,18.45,0.0,0.0,4014061
06/25/2019,18.44,18.17,18.08,18.78,0.0,0.0,4168803
06/24/2019,19.17,18.42,18.2,19.17,0.0,0.0,5688693
06/21/2019,19.28,19.01,18.93,19.5791,0.0,0.0,3992489
06/20/2019,19.52,19.4,19.3,19.95,0.0,0.0,4578200
06/19/2019,19.4,19.42,19.26,19.6799,0.0,0.0,3722377
06/18/2019,18.98,19.4,18.85,19.42,0.0,0.0,6008325
06/17/2019,18.1,18.76,17.77,18.88,0.0,0.0,5955679
06/14/2019,18.83,18.08,17.89,18.85,0.0,0.0,4668640
06/13/2019,18,18.66,17.95,18.78,0.0,0.0,5725102
06/12/2019,17.95,17.87,17.6802,18.15,0.0,0.0,2887516
06/11/2019,18.18,17.97,17.6372,18.39,0.0,0.0,3623088
06/10/2019,18.28,18.08,18.07,18.61,0.0,0.0,4042969
06/07/2019,17.67,18.19,17.6,18.46,0.0,0.0,5750694
06/06/2019,17.33,17.76,17.065,17.79,0.0,0.0,4605223
06/05/2019,18,17.35,17.01,18.1,0.0,0.0,6296586
06/04/2019,17.7,17.83,17.4,17.84,0.0,0.0,3934836
06/03/2019,17.6,17.55,17.1,17.8499,0.0,0.0,4913796
05/31/2019,17.99,17.73,17.55,18.35,0.0,0.0,5711093
05/30/2019,18.82,18.27,18.06,18.98,0.0,0.0,6974662
05/29/2019,18.14,18.99,18.07,19.666,0.0,0.0,20831080
05/28/2019,17.7,17.01,16.9,17.88,0.0,0.0,4375403
05/24/2019,17.27,17.63,17.25,17.91,0.0,0.0,6097758
05/23/2019,17.31,17.28,16.98,17.3869,0.0,0.0,3357447
05/22/2019,17.19,17.6,16.88,17.635,0.0,0.0,3637435
05/21/2019,16.95,17.32,16.78,17.42,0.0,0.0,4497452
05/20/2019,17.65,16.83,16.8,17.65,0.0,0.0,5118564
05/17/2019,17.28,17.79,17.15,18.015,0.0,0.0,5203596
05/16/2019,17.04,17.39,17.02,17.39,0.0,0.0,2943217
05/15/2019,16.69,16.92,16.51,17.29,0.0,0.0,3250889
05/14/2019,16.47,16.78,16.23,16.88,0.0,0.0,3303013
05/13/2019,17,16.27,16.2,17.01,0.0,0.0,5649265
05/10/2019,17.31,17.31,17.05,18.28,0.0,0.0,6540168
05/09/2019,17.36,17.31,16.75,17.46,0.0,0.0,4461970
05/08/2019,17.35,17.45,17.31,17.77,0.0,0.0,3343306
05/07/2019,17.99,17.47,17.28,18.07,0.0,0.0,4197152
05/06/2019,17.59,18.19,17.52,18.25,0.0,0.0,4470774
05/03/2019,18.13,18.14,17.7,18.14,0.0,0.0,4974499
05/02/2019,17.75,18.13,17.56,18.2229,0.0,0.0,5250860
05/01/2019,18.45,17.52,17.38,18.7,0.0,0.0,10524550
04/30/2019,19.17,18.7,18.32,19.17,0.0,0.0,6095846
04/29/2019,19.29,19.22,18.8,19.34,0.0,0.0,4260759
04/26/2019,19.05,19.33,18.79,19.39,0.0,0.0,5602064
04/25/2019,18.2,19.12,18.08,19.21,0.0,0.0,6539609
04/24/2019,18.39,18.49,18.05,18.9,0.0,0.0,8524022
04/23/2019,18.1,18.39,18.02,18.4,0.0,0.0,3661776
04/22/2019,18.09,18.15,17.79,18.6,0.0,0.0,4172681
04/18/2019,17.77,18.06,17.22,18.08,0.0,0.0,4872148
04/17/2019,18.45,17.66,17.43,18.4799,0.0,0.0,6784370
04/16/2019,18.52,18.39,18.21,18.91,0.0,0.0,3788386
