Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,4.05,3.7,3.69,4.08,0.0,0.0,4548174
07/11/2019,4.37,4.05,4.0219,4.37,0.0,0.0,4435675
07/10/2019,5.05,4.36,4.3234,5.08,0.0,0.0,9959381
07/09/2019,6.67,6.81,6.54,6.89,0.0,0.0,691749
07/08/2019,7.28,6.74,6.61,7.28,0.0,0.0,1162281
07/05/2019,6.91,6.66,6.65,7.07,0.0,0.0,550239
07/03/2019,6.92,6.97,6.85,7.065,0.0,0.0,243690
07/02/2019,7.12,6.91,6.71,7.12,0.0,0.0,702735
07/01/2019,7.26,7.1,7.03,7.4704,0.0,0.0,1186147
06/28/2019,7.14,7.17,7.14,7.48,0.0,0.0,1990177
06/27/2019,6.88,7.09,6.88,7.275,0.0,0.0,754696
06/26/2019,6.63,6.86,6.58,6.92,0.0,0.0,1289850
06/25/2019,6.47,6.59,6.23,6.73,0.0,0.0,2617846
06/24/2019,6.87,6.44,6.375,6.96,0.0,0.0,1132778
06/21/2019,6.86,6.9,6.68,7.18,0.0,0.0,1028957
06/20/2019,6.89,6.91,6.76,7.14,0.0,0.0,1511437
06/19/2019,7.01,6.79,6.55,7.05,0.0,0.0,2528695
06/18/2019,6.98,7,6.89,7.28,0.0,0.0,724750
06/17/2019,6.86,6.9,6.77,7.01,0.0,0.0,1442524
06/14/2019,7.31,6.87,6.84,7.33,0.0,0.0,974818
06/13/2019,7.38,7.34,7.15,7.45,0.0,0.0,554035
06/12/2019,7.43,7.32,7.19,7.585,0.0,0.0,720261
06/11/2019,7.71,7.45,7.355,7.74,0.0,0.0,985620
06/10/2019,7.73,7.69,7.62,7.82,0.0,0.0,777044
06/07/2019,7.79,7.65,7.62,7.9,0.0,0.0,665319
06/06/2019,7.98,7.75,7.57,8.01,0.0,0.0,1052634
06/05/2019,8.13,7.97,7.49,8.176,0.0,0.0,1730527
06/04/2019,8.06,8.11,7.95,8.37,0.0,0.0,793016
06/03/2019,7.54,7.95,7.54,8.05,0.0,0.0,1149076
05/31/2019,7.71,7.54,7.382,7.83,0.0,0.0,1213170
05/30/2019,8.15,7.81,7.725,8.375,0.0,0.0,1161602
05/29/2019,7.91,8.12,7.665,8.22,0.0,0.0,1586859
05/28/2019,8.39,8,7.875,8.5278,0.0,0.0,1293189
05/24/2019,8.25,8.29,7.9,8.33,0.0,0.0,975859
05/23/2019,8.5,8.25,8.215,8.5758,0.0,0.0,963482
05/22/2019,9.14,8.63,8.53,9.2799,0.0,0.0,1343034
05/21/2019,9.11,9.13,8.88,9.5,0.0,0.0,2276502
05/20/2019,8.53,8.26,8.2,8.66,0.0,0.0,713970
05/17/2019,8.73,8.57,8.51,8.9737,0.0,0.0,778044
05/16/2019,8.74,8.72,8.6,9.06,0.0,0.0,1099813
05/15/2019,9,8.71,8.23,9.1,0.0,0.0,2626516
05/14/2019,9.21,9.07,8.98,9.57,0.0,0.0,2234113
05/13/2019,9.9,8.91,8.86,10.04,0.0,0.0,2703504
05/10/2019,10.9,10.42,10.22,11.15,0.0,0.0,2921825
05/09/2019,11.76,11.04,10.58,12.05,0.0,0.0,2711251
05/08/2019,13.41,13.14,13.11,13.66,0.0,0.0,1309214
05/07/2019,13.91,13.44,13.35,14.04,0.0,0.0,992768
05/06/2019,13.41,14.05,13.41,14.3,0.0,0.0,728206
05/03/2019,13.4,13.69,13.2,13.805,0.0,0.0,534555
05/02/2019,12.62,13.32,12.62,13.34,0.0,0.0,464563
05/01/2019,12.9,12.67,12.62,12.91,0.0,0.0,512318
04/30/2019,12.8,12.87,12.53,12.92,0.0,0.0,643976
04/29/2019,12.51,12.84,12.37,12.91,0.0,0.0,406639
04/26/2019,12.42,12.43,12.27,12.54,0.0,0.0,482023
04/25/2019,12.43,12.37,12.04,12.43,0.0,0.0,426008
04/24/2019,12.89,12.46,12.44,13,0.0,0.0,529981
04/23/2019,12.86,12.86,12.63,13.05,0.0,0.0,587538
04/22/2019,12.67,12.83,12.58,12.95,0.0,0.0,864195
04/18/2019,12.48,12.7,12.3,12.84,0.0,0.0,1149088
04/17/2019,13.74,12.51,12.284,13.7617,0.0,0.0,2608986
04/16/2019,13.42,13.68,13.326,13.73,0.0,0.0,641765
04/15/2019,13.08,13.28,12.92,13.31,0.0,0.0,622904
04/12/2019,13.53,13.03,12.94,13.66,0.0,0.0,442784
