Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,36.66,36.72,36.58,36.86,0.0,0.0,228854
07/11/2019,36.54,36.47,36.45,36.83,0.0,0.0,929548
07/10/2019,36.35,36.45,36.13,36.67,0.0,0.0,428467
07/09/2019,36.8,36.13,36.05,36.81,0.0,0.0,798931
07/08/2019,36.77,36.62,36.61,37.03,0.0,0.0,399011
07/05/2019,36.47,36.86,36.46,36.96,0.0,0.0,277556
07/03/2019,36.31,36.62,36.31,36.85,0.0,0.0,245573
07/02/2019,36.54,36.29,35.92,36.6,0.0,0.0,384653
07/01/2019,36.6,36.58,36.3,37.08,0.0,0.0,398957
06/28/2019,36.12,36.33,36.01,36.485,0.0,0.0,399247
06/27/2019,36.27,36.12,36,36.34,0.0,0.0,148080
06/26/2019,36.27,36.06,36.06,36.52,0.0,0.0,607299
06/25/2019,36.54,36.09,36.09,36.62,0.0,0.0,223760
06/24/2019,36.71,36.62,36.49,36.8,0.0,0.0,553438
06/21/2019,36.2,36.62,36.16,36.85,0.0,0.0,1312051
06/20/2019,36.15,36.14,35.87,36.61,0.0,0.0,947095
06/19/2019,35.93,35.77,35.55,36.01,0.0,0.0,645231
06/18/2019,35.57,35.96,35.55,36.21,0.0,0.0,594129
06/17/2019,35.48,35.54,35.4096,35.74,0.0,0.0,549782
06/14/2019,35.87,35.53,35.48,35.87,0.0,0.0,441227
06/13/2019,35.86,35.84,35.75,36.08,0.0,0.0,388769
06/12/2019,35.63,35.56,35.54,35.93,0.0,0.0,403474
06/11/2019,35.27,35.64,35.27,35.88,0.0,0.0,497750
06/10/2019,35.43,35.27,35.11,35.5,0.0,0.0,133479
06/07/2019,35.45,35.28,35.27,35.65,0.0,0.0,570916
06/06/2019,35.28,35.33,35.24,35.61,0.0,0.0,449717
06/05/2019,35.59,35.3,35.04,35.68,0.0,0.0,419239
06/04/2019,35.36,35.59,35.29,35.71,0.0,0.0,414459
06/03/2019,34.92,35.2,34.92,35.43,0.0,0.0,402434
05/31/2019,34.61,34.88,34.38,35.05,0.0,0.0,932895
05/30/2019,35.38,34.82,34.8,35.41,0.0,0.0,424263
05/29/2019,35.03,35.34,34.66,35.46,0.0,0.0,341702
05/28/2019,35.74,35.38,35.11,35.76,0.0,0.0,481019
05/24/2019,35.62,35.61,35.15,35.72,0.0,0.0,327834
05/23/2019,36.02,35.36,34.79,36.02,0.0,0.0,640026
05/22/2019,36.25,36.36,36.22,36.51,0.0,0.0,296177
05/21/2019,35.66,36.4,35.62,36.4975,0.0,0.0,478971
05/20/2019,35.56,35.56,35.34,35.65,0.0,0.0,1579247
05/17/2019,35.89,35.58,35.49,35.92,0.0,0.0,509176
05/16/2019,35.62,35.97,35.62,36.24,0.0,0.0,848665
05/15/2019,34.89,35.6,34.87,35.74,0.0,0.0,1068528
05/14/2019,34.91,35.05,34.9069,35.55,0.0,0.0,1090218
05/13/2019,35.2,34.79,34.75,35.53,0.0,0.0,903494
05/10/2019,35.04,35.55,34.77,35.77,0.0,0.0,2018261
05/09/2019,35.15,34.86,34.4,35.3,0.0,0.0,1087289
05/08/2019,35.01,35.3,34.68,35.66,0.0,0.0,3306967
05/07/2019,33.77,33.85,33.13,34.1,0.0,0.0,715159
05/06/2019,33.84,33.98,33.71,34.34,0.0,0.0,726294
05/03/2019,33.9,34.3,33.9,34.42,0.0,0.0,333263
05/02/2019,33.62,33.68,33.13,34.08,0.0,0.0,490418
05/01/2019,33.7,33.74,33.52,33.94,0.0,0.0,304159
04/30/2019,34.23,33.53,33.48,34.5,0.0,0.0,236073
04/29/2019,33.4,33.84,33.26,34.07,0.0,0.0,241857
04/26/2019,33.58,33.31,33.17,33.77,0.0,0.0,159225
04/25/2019,33.35,33.78,33.0914,34.2,0.0,0.0,241162
04/24/2019,33.73,33.55,33.25,33.8,0.0,0.0,348111
04/23/2019,33.62,33.73,33.43,34.19,0.0,0.0,491079
04/22/2019,33.26,33.59,32.9,33.66,0.0,0.0,627125
04/18/2019,33.93,33.09,33,34.005,0.0,0.0,624254
04/17/2019,34.3,33.85,33.78,34.5,0.0,0.0,331609
04/16/2019,34.46,34.08,34.0001,34.625,0.0,0.0,380206
04/15/2019,34.81,34.43,34.36,35.09,0.0,0.0,258681
04/12/2019,35,34.75,34.65,35.22,0.0,0.0,502048
