Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,80.8,81,80.15,81.58,0.0,0.0,69936
07/15/2019,81.94,80.8,79.49,82.541,0.0,0.0,102622
07/12/2019,79.86,81.36,79.43,82.49,0.0,0.0,281398
07/11/2019,81.18,79.88,78.97,81.6385,0.0,0.0,159854
07/10/2019,82.34,80.99,80.23,82.48,0.0,0.0,104733
07/09/2019,82.31,82.21,81.51,83.28,0.0,0.0,189117
07/08/2019,83.5,82.74,81.5,83.6,0.0,0.0,217844
07/05/2019,83.29,83.43,82.22,83.72,0.0,0.0,95481
07/03/2019,84.1,83.56,82.97,84.1,0.0,0.0,62696
07/02/2019,83.43,83.94,82.54,84.1,0.0,0.0,181064
07/01/2019,83,82.71,80.07,83.765,0.0,0.0,251087
06/28/2019,79.62,82.2,79.07,83.33,0.0,0.0,364021
06/27/2019,78.58,79.47,78.47,80.26,0.0,0.0,136187
06/26/2019,78.07,78.42,77.07,80.3,0.0,0.0,200179
06/25/2019,77.07,77.94,76.39,78.55,0.0,0.0,180841
06/24/2019,76.84,76.89,76.09,77.59,0.0,0.0,145910
06/21/2019,77.56,77.05,75.31,77.6,0.0,0.0,178622
06/20/2019,74.49,77.64,74.49,78.35,0.0,0.0,316120
06/19/2019,74.48,74.39,73.67,74.71,0.0,0.0,175112
06/18/2019,73,73.96,72.41,74.82,0.0,0.0,204555
06/17/2019,70.68,72.5,70.68,73.87,0.0,0.0,139278
06/14/2019,71.34,70.54,69.91,71.63,0.0,0.0,116735
06/13/2019,70.91,71.25,70.91,72.25,0.0,0.0,99816
06/12/2019,69.39,70.83,69.39,71.54,0.0,0.0,97466
06/11/2019,70.72,69.68,68.88,71.05,0.0,0.0,167153
06/10/2019,71.09,70.51,70.265,71.6,0.0,0.0,118613
06/07/2019,70.33,70.77,69.8,71.66,0.0,0.0,193869
06/06/2019,71.05,69.97,69.49,71.465,0.0,0.0,120217
06/05/2019,71.93,71.12,70.765,72.175,0.0,0.0,135945
06/04/2019,71.13,71.55,70.99,72.43,0.0,0.0,419821
06/03/2019,69.66,70.53,68.87,71.5,0.0,0.0,183355
05/31/2019,67.65,69.66,67.44,72.25,0.0,0.0,234496
05/30/2019,68.42,67.77,67.495,69.05,0.0,0.0,125933
05/29/2019,67.9,67.98,66.655,68.15,0.0,0.0,101383
05/28/2019,68.6,68.35,68.34,69.69,0.0,0.0,79262
05/24/2019,68.8,68.47,67.83,69.5052,0.0,0.0,97384
05/23/2019,69.16,68.43,67.74,70.09,0.0,0.0,137525
05/22/2019,69.23,69.57,67.86,69.95,0.0,0.0,74003
05/21/2019,69.54,69.22,68.78,70.13,0.0,0.0,131260
05/20/2019,69.46,69.26,68.695,70.14,0.0,0.0,79844
05/17/2019,69.92,69.92,69.36,71.45,0.0,0.0,125291
05/16/2019,69.71,70.38,69.58,71.42,0.0,0.0,160234
05/15/2019,69.29,69.14,68.4775,69.73,0.0,0.0,145438
05/14/2019,70.52,69.77,69.65,70.9,0.0,0.0,118703
05/13/2019,72.44,70.55,69.19,72.44,0.0,0.0,253694
05/10/2019,66.1,73.19,66.0001,74,0.0,0.0,176879
05/09/2019,73.15,73.17,68.3101,73.5,0.0,0.0,253597
05/08/2019,70.95,71,69.35,71.51,0.0,0.0,148737
05/07/2019,72.16,70.76,69.9,72.78,0.0,0.0,116054
05/06/2019,70.66,72.69,70.53,72.79,0.0,0.0,96958
05/03/2019,71.01,71.43,70.57,72.45,0.0,0.0,82589
05/02/2019,69.55,70.61,69.55,70.975,0.0,0.0,54894
05/01/2019,71,70.24,69.16,71,0.0,0.0,108534
04/30/2019,70.87,70.98,69.3989,71,0.0,0.0,148803
04/29/2019,70.45,70.9,69.755,71.67,0.0,0.0,80602
04/26/2019,69.79,70.77,68.54,71.55,0.0,0.0,118487
04/25/2019,69.77,69.66,68.3619,70.47,0.0,0.0,80241
04/24/2019,69.54,70,69.01,70.59,0.0,0.0,88338
04/23/2019,68.64,69.64,68.07,70.35,0.0,0.0,86666
04/22/2019,68.34,68.81,67.5176,69.59,0.0,0.0,65761
04/18/2019,69.09,68.88,68.24,70.75,0.0,0.0,108058
04/17/2019,68.98,69,64.79,69.1,0.0,0.0,176279
04/16/2019,68.68,68.6,67.9,69.55,0.0,0.0,67584
