Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,97.49,99.05,97.49,99.07,0.0,0.0,784200
07/11/2019,97.33,96.9,96.47,98.03,0.0,0.0,947012
07/10/2019,98.04,97.52,97.4,98.44,0.0,0.0,1134104
07/09/2019,96.96,97.58,96.71,97.72,0.0,0.0,1085069
07/08/2019,97.73,97.56,97.335,97.98,0.0,0.0,888307
07/05/2019,98.14,98.32,96.77,98.405,0.0,0.0,742284
07/03/2019,98.94,99.11,97.845,99.24,0.0,0.0,682743
07/02/2019,97.9,98.39,97.34,98.5,0.0,0.0,1002288
07/01/2019,97.63,97.87,97.05,98.34,0.0,0.0,1290847
06/28/2019,96,95.94,95.25,96.325,0.0,0.0,1973081
06/27/2019,95.89,95.65,95.22,96.16,0.0,0.0,895261
06/26/2019,95.55,95.43,95.11,95.73,0.0,0.0,1229837
06/25/2019,95.13,94.79,94.78,95.65,0.0,0.0,849858
06/24/2019,95.61,95.62,95.535,95.82,0.0,0.0,943705
06/21/2019,95.98,95.51,95.01,96.12,0.0,0.0,2375420
06/20/2019,95.98,95.88,95.34,96.13,0.0,0.0,1509386
06/19/2019,94.7,94.43,93.99,94.855,0.0,0.0,1333422
06/18/2019,93.39,94.1,93.07,94.43,0.0,0.0,2553386
06/17/2019,94,93.5,92.96,94.12,0.0,0.0,1268139
06/14/2019,95.54,94.3,93.11,96.18,0.0,0.0,1689906
06/13/2019,95.71,96.89,95.59,97.04,0.0,0.0,1410329
06/12/2019,95.38,95.46,94.17,95.96,0.0,0.0,1091114
06/11/2019,95.73,95.54,95.2,97.01,0.0,0.0,1598612
06/10/2019,93.72,94.15,93.72,95.21,0.0,0.0,1213451
06/07/2019,92.55,93.19,91.98,93.37,0.0,0.0,1092858
06/06/2019,91.28,91.93,90.51,92.29,0.0,0.0,1185654
06/05/2019,90.44,90.79,89.14,90.88,0.0,0.0,1017947
06/04/2019,88.33,89.57,87.71,89.74,0.0,0.0,2255145
06/03/2019,87.2,87.14,86.58,87.88,0.0,0.0,1326379
05/31/2019,87.74,87,86.84,88.13,0.0,0.0,1534137
05/30/2019,87.87,88.5,87.68,88.57,0.0,0.0,1291433
05/29/2019,88.53,87.61,87.405,89.06,0.0,0.0,2343697
05/28/2019,90.03,88.75,88.36,90.65,0.0,0.0,1841298
05/24/2019,89.96,89.51,89,90.215,0.0,0.0,1480165
05/23/2019,89.51,89.49,88.94,90.06,0.0,0.0,970592
05/22/2019,91.17,90.58,90.54,91.43,0.0,0.0,789455
05/21/2019,90.57,91.27,90.28,91.49,0.0,0.0,1066922
05/20/2019,90.41,89.71,89.625,90.7,0.0,0.0,1297627
05/17/2019,92.03,91.62,91.43,92.42,0.0,0.0,2580516
05/16/2019,93.18,93.08,92.89,94.33,0.0,0.0,1416420
05/15/2019,91.72,93.25,91.64,93.58,0.0,0.0,1113991
05/14/2019,92.53,92.3,92.23,93.335,0.0,0.0,1289997
05/13/2019,92.24,92.16,91.62,93.17,0.0,0.0,2098601
05/10/2019,93.73,94.72,92.77,95.11,0.0,0.0,1586187
05/09/2019,93.5,94.26,92.825,94.82,0.0,0.0,1703605
05/08/2019,96.1,94.57,94.49,96.3,0.0,0.0,3425514
05/07/2019,97.16,96.27,95.7101,97.85,0.0,0.0,2597284
05/06/2019,97.85,98.39,96.51,98.88,0.0,0.0,2288332
05/03/2019,99.77,100.01,99.59,100.275,0.0,0.0,1138397
05/02/2019,100.1,99.14,98.98,100.15,0.0,0.0,1050304
05/01/2019,100.52,99.92,99.5,100.75,0.0,0.0,1837428
04/30/2019,98.58,99.56,98.19,99.71,0.0,0.0,1724021
04/29/2019,99.97,98.92,98.8,100.47,0.0,0.0,1679963
04/26/2019,100.52,99.97,99.32,100.52,0.0,0.0,2012036
04/25/2019,102.31,100.63,99.95,102.31,0.0,0.0,1551327
04/24/2019,95.1,102.52,94.5,103.73,0.0,0.0,3577863
04/23/2019,104.08,105.38,103.9,105.51,0.0,0.0,1217796
04/22/2019,104.07,103.91,103.75,104.52,0.0,0.0,741846
04/18/2019,104.21,104.57,103.94,104.67,0.0,0.0,935144
04/17/2019,104.28,104,103.74,105,0.0,0.0,1023313
04/16/2019,104.1,103.58,103.39,104.52,0.0,0.0,1043200
04/15/2019,103.79,103.89,103.13,104.2,0.0,0.0,859190
04/12/2019,103.02,103.79,103.02,103.84,0.0,0.0,541295
