Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,7.13,7.74,7.07,7.79,0.0,0.0,624753
07/11/2019,7.18,7.14,6.9201,7.38,0.0,0.0,265109
07/10/2019,7,7.16,6.81,7.2,0.0,0.0,251981
07/09/2019,7.28,7.03,6.67,7.39,0.0,0.0,507740
07/08/2019,7.22,7.39,7.14,7.44,0.0,0.0,181027
07/05/2019,6.76,7.3,6.76,7.49,0.0,0.0,373770
07/03/2019,6.73,6.95,6.6625,7.15,0.0,0.0,190892
07/02/2019,6.89,6.79,6.711,7.01,0.0,0.0,202946
07/01/2019,6.84,6.92,6.8378,7.313,0.0,0.0,377535
06/28/2019,7.06,6.76,6.51,7.06,0.0,0.0,575485
06/27/2019,6.33,7.03,6.1,7.14,0.0,0.0,912117
06/26/2019,6.67,6.38,6.25,6.77,0.0,0.0,400215
06/25/2019,6.61,6.68,6.46,6.87,0.0,0.0,337884
06/24/2019,6.95,6.7,6.35,6.95,0.0,0.0,605511
06/21/2019,6.95,6.96,6.6,6.99,0.0,0.0,723768
06/20/2019,7.9,6.95,6.9131,7.9,0.0,0.0,972088
06/19/2019,7.1,7.77,7.02,7.84,0.0,0.0,444977
06/18/2019,8.31,7.12,6.92,8.58,0.0,0.0,1068498
06/17/2019,7.86,8.18,7.86,9.49,0.0,0.0,709125
06/14/2019,8.9995,8.2511,8.1866,8.9995,0.0,0.0,328263
06/13/2019,9.7495,9.778,9.4495,10.195,0.0,0.0,125017
06/12/2019,9.1345,9.6445,9.0745,9.7495,0.0,0.0,121027
06/11/2019,8.9995,9.004,8.9995,9.5995,0.0,0.0,120745
06/10/2019,9.7045,9.091,8.9995,9.7425,0.0,0.0,218013
06/07/2019,9.8995,9.7495,9.6145,9.9745,0.0,0.0,105510
06/06/2019,10.3495,9.9745,9.451,10.3495,0.0,0.0,130981
06/05/2019,10.3495,10.2175,9.6175,10.4695,0.0,0.0,152832
06/04/2019,10.4275,10.414,9.9205,10.783,0.0,0.0,246019
06/03/2019,10.237,10.2745,9.7645,10.417,0.0,0.0,128945
05/31/2019,10.3495,10.417,10.081,10.4995,0.0,0.0,89998
05/30/2019,10.3495,10.5445,10.3495,10.9345,0.0,0.0,97271
05/29/2019,10.9495,10.5535,10.2745,11.0394,0.0,0.0,134815
05/28/2019,11.2494,10.8745,10.7695,11.6694,0.0,0.0,131735
05/24/2019,10.9495,11.1369,10.7245,11.4954,0.0,0.0,144423
05/23/2019,10.4995,10.9375,10.1995,11.0994,0.0,0.0,81929
05/22/2019,11.2494,10.903,10.5355,11.3994,0.0,0.0,144409
05/21/2019,10.0495,11.5194,10.0495,11.6874,0.0,0.0,342408
05/20/2019,10.7695,10.276,9.5995,10.7995,0.0,0.0,386160
05/17/2019,11.2014,11.2089,11.0994,11.5479,0.0,0.0,68216
05/16/2019,11.5479,11.3094,11.2374,11.8494,0.0,0.0,94399
05/15/2019,11.9979,11.3994,10.9645,12.0804,0.0,0.0,176809
05/14/2019,12.1494,11.9709,11.8494,12.2844,0.0,0.0,116080
05/13/2019,12.2994,11.7999,11.6994,12.4494,0.0,0.0,184243
05/10/2019,13.0493,12.3279,12.0759,13.2968,0.0,0.0,226204
05/09/2019,13.4993,13.2173,12.4494,13.7243,0.0,0.0,192811
05/08/2019,13.9493,13.8263,13.0658,14.5448,0.0,0.0,129918
05/07/2019,14.7473,13.8743,13.8338,14.8478,0.0,0.0,233189
05/06/2019,14.6993,14.7743,14.5493,14.9993,0.0,0.0,163393
05/03/2019,15.1492,14.9993,14.9993,15.2992,0.0,0.0,96532
05/02/2019,15.5992,15.1492,14.9993,15.5992,0.0,0.0,75898
05/01/2019,15.7492,15.7492,14.9993,15.8992,0.0,0.0,257170
04/30/2019,15.7492,15.4492,14.9993,16.1992,0.0,0.0,378313
04/29/2019,15.8992,15.5992,15.2992,16.3492,0.0,0.0,235970
04/26/2019,14.9993,15.7492,14.8493,16.1992,0.0,0.0,269967
04/25/2019,14.9993,14.9993,14.5793,14.9993,0.0,0.0,90500
04/24/2019,14.8493,14.8748,14.2718,14.9993,0.0,0.0,117977
04/23/2019,15.1492,14.5853,14.5493,15.2992,0.0,0.0,147975
04/22/2019,14.9993,14.9993,14.9258,15.1492,0.0,0.0,52771
04/18/2019,14.9993,14.9993,14.2658,15.2992,0.0,0.0,156829
04/17/2019,14.9993,15.1492,14.6993,15.2992,0.0,0.0,104041
04/16/2019,15.5992,14.9993,14.6993,15.5992,0.0,0.0,177672
04/15/2019,16.3492,15.5992,14.9993,16.4992,0.0,0.0,158397
04/12/2019,16.4992,16.4992,16.0492,16.6492,0.0,0.0,72362
