Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,0.87,0.88,0.84,0.885,0.0,0.0,651632
07/15/2019,0.89,0.87,0.8617,0.898,0.0,0.0,312281
07/12/2019,0.87,0.8621,0.85,0.92,0.0,0.0,760710
07/11/2019,0.843,0.849,0.825,0.8679,0.0,0.0,261042
07/10/2019,0.85,0.843,0.843,0.8699,0.0,0.0,253043
07/09/2019,0.8691,0.8478,0.843,0.8794,0.0,0.0,350013
07/08/2019,0.9,0.8691,0.85,0.9,0.0,0.0,268960
07/05/2019,0.865,0.88,0.85,0.91,0.0,0.0,359963
07/03/2019,0.841,0.8417,0.84,0.88,0.0,0.0,263109
07/02/2019,0.8899,0.853,0.84,0.9099,0.0,0.0,385533
07/01/2019,0.9,0.8752,0.865,0.92,0.0,0.0,232035
06/28/2019,0.865,0.8865,0.8401,0.914,0.0,0.0,685124
06/27/2019,0.8804,0.8558,0.8,0.9,0.0,0.0,712437
06/26/2019,0.95,0.8897,0.8682,0.95,0.0,0.0,462608
06/25/2019,0.95,0.8837,0.86,0.98,0.0,0.0,1017500
06/24/2019,0.94,0.94,0.9,0.96,0.0,0.0,255167
06/21/2019,0.9778,0.9553,0.87,0.9778,0.0,0.0,766842
06/20/2019,0.964,0.965,0.95,1.04,0.0,0.0,1083863
06/19/2019,0.93,0.9639,0.89,0.97,0.0,0.0,972266
06/18/2019,0.9,0.915,0.895,0.93,0.0,0.0,585538
06/17/2019,0.865,0.8877,0.8551,0.91,0.0,0.0,421468
06/14/2019,0.85,0.8795,0.85,0.93,0.0,0.0,841743
06/13/2019,0.8299,0.86,0.82,0.87,0.0,0.0,529337
06/12/2019,0.8429,0.8173,0.8032,0.86,0.0,0.0,389314
06/11/2019,0.9,0.86,0.8122,0.9,0.0,0.0,760104
06/10/2019,0.83,0.85,0.8,0.917,0.0,0.0,1859896
06/07/2019,0.75,0.801,0.7305,0.8289,0.0,0.0,816948
06/06/2019,0.7737,0.751,0.745,0.8,0.0,0.0,495737
06/05/2019,0.79,0.7635,0.74,0.81,0.0,0.0,664931
06/04/2019,0.7309,0.7533,0.7029,0.84,0.0,0.0,1020970
06/03/2019,0.735,0.729,0.715,0.75,0.0,0.0,475505
05/31/2019,0.715,0.725,0.696,0.7572,0.0,0.0,401420
05/30/2019,0.73,0.7146,0.71,0.73,0.0,0.0,176935
05/29/2019,0.73,0.7247,0.7012,0.75,0.0,0.0,164837
05/28/2019,0.73,0.7278,0.71,0.77,0.0,0.0,269631
05/24/2019,0.7387,0.7103,0.7103,0.756,0.0,0.0,311341
05/23/2019,0.741,0.7209,0.71,0.76,0.0,0.0,290098
05/22/2019,0.75,0.741,0.735,0.7795,0.0,0.0,300594
05/21/2019,0.79,0.7598,0.7255,0.79,0.0,0.0,610472
05/20/2019,0.81,0.7662,0.751,0.81,0.0,0.0,412731
05/17/2019,0.797,0.7891,0.765,0.8095,0.0,0.0,417413
05/16/2019,0.8,0.7901,0.7701,0.81,0.0,0.0,407448
05/15/2019,0.799,0.79,0.76,0.81,0.0,0.0,201372
05/14/2019,0.78,0.7812,0.7503,0.801,0.0,0.0,322672
05/13/2019,0.8145,0.7805,0.7801,0.8145,0.0,0.0,206769
05/10/2019,0.81,0.8149,0.7892,0.839,0.0,0.0,282762
05/09/2019,0.83,0.8096,0.7831,0.83,0.0,0.0,307538
05/08/2019,0.82,0.83,0.8006,0.8399,0.0,0.0,559245
05/07/2019,0.7546,0.8064,0.7104,0.82,0.0,0.0,777450
05/06/2019,0.73,0.7631,0.71,0.77,0.0,0.0,454961
05/03/2019,0.706,0.7286,0.68,0.75,0.0,0.0,524922
05/02/2019,0.71,0.7,0.67,0.71,0.0,0.0,429956
05/01/2019,0.73,0.705,0.69,0.744,0.0,0.0,612955
04/30/2019,0.77,0.728,0.72,0.77,0.0,0.0,395539
04/29/2019,0.7691,0.7673,0.74,0.7691,0.0,0.0,330461
04/26/2019,0.7491,0.755,0.71,0.769,0.0,0.0,338211
04/25/2019,0.7599,0.7325,0.731,0.7599,0.0,0.0,349633
04/24/2019,0.784,0.751,0.731,0.785,0.0,0.0,1255799
04/23/2019,0.8,0.79,0.775,0.8,0.0,0.0,706960
04/22/2019,0.8,0.796,0.7701,0.8001,0.0,0.0,1076850
04/18/2019,0.7905,0.81,0.7892,0.82,0.0,0.0,484129
04/17/2019,0.817,0.79,0.79,0.8298,0.0,0.0,491393
04/16/2019,0.8356,0.818,0.81,0.8452,0.0,0.0,411451
