Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,31.46,31.79,30.6,31.99,0.0,0.0,771835
07/11/2019,31.89,31.41,31.31,32.3848,0.0,0.0,322941
07/10/2019,31.45,31.92,30.89,32.89,0.0,0.0,606066
07/09/2019,31.83,31.97,31.24,32.245,0.0,0.0,384185
07/08/2019,31.69,32.02,31.595,32.22,0.0,0.0,330271
07/05/2019,31.66,31.97,31.62,32.13,0.0,0.0,201675
07/03/2019,31.69,31.85,31,32.07,0.0,0.0,357057
07/02/2019,33.69,31.7,31.29,33.69,0.0,0.0,835477
07/01/2019,34.1,33.82,33.59,34.64,0.0,0.0,336322
06/28/2019,32.83,33.54,32.83,33.84,0.0,0.0,836217
06/27/2019,32.29,32.78,32,32.87,0.0,0.0,592280
06/26/2019,31.75,32.27,31.75,32.89,0.0,0.0,471079
06/25/2019,30.88,31.43,30.06,31.83,0.0,0.0,836700
06/24/2019,32.03,31.23,31.05,32.12,0.0,0.0,471590
06/21/2019,31.86,32.19,31.47,32.41,0.0,0.0,949109
06/20/2019,31.92,31.85,31.51,32.75,0.0,0.0,822834
06/19/2019,31.83,31.47,31.01,31.93,0.0,0.0,609013
06/18/2019,31.27,31.81,31.2,32.335,0.0,0.0,363892
06/17/2019,30.91,31.23,30.7,31.97,0.0,0.0,348410
06/14/2019,31.9,31.05,31.03,31.98,0.0,0.0,507083
06/13/2019,31.08,32.05,30.91,32.355,0.0,0.0,706525
06/12/2019,31.89,30.6,30.14,31.89,0.0,0.0,388819
06/11/2019,32.52,32.07,31.86,33.11,0.0,0.0,427741
06/10/2019,32.78,32.22,32.1,32.95,0.0,0.0,641126
06/07/2019,32.56,32.78,31.9,32.95,0.0,0.0,558013
06/06/2019,32.09,32.44,31.91,33.045,0.0,0.0,804277
06/05/2019,32.08,32,31.12,32.14,0.0,0.0,466660
06/04/2019,31.78,32.13,31.55,32.69,0.0,0.0,580173
06/03/2019,31.08,31.51,30.98,31.8,0.0,0.0,759415
05/31/2019,31.4,31.01,30.865,31.695,0.0,0.0,515925
05/30/2019,31.94,31.99,31.77,32.58,0.0,0.0,906442
05/29/2019,31.12,31.77,31.01,31.92,0.0,0.0,529669
05/28/2019,31.02,31.78,30.89,32.03,0.0,0.0,575691
05/24/2019,32.51,30.87,30.79,32.755,0.0,0.0,835715
05/23/2019,32.44,32.32,31.53,32.59,0.0,0.0,446163
05/22/2019,33.87,33.04,32.15,34.12,0.0,0.0,610237
05/21/2019,34.33,34.13,33.94,35.255,0.0,0.0,561168
05/20/2019,34,34.56,33.44,35.25,0.0,0.0,616144
05/17/2019,36.17,34.43,33.96,36.425,0.0,0.0,681217
05/16/2019,37.51,36.59,36.3,37.75,0.0,0.0,552883
05/15/2019,36.54,37.42,36.29,37.49,0.0,0.0,283368
05/14/2019,37.12,36.96,36.69,37.78,0.0,0.0,771471
05/13/2019,37.24,36.89,35.84,37.84,0.0,0.0,278684
05/10/2019,38.04,37.87,37.41,38.3874,0.0,0.0,396586
05/09/2019,38.17,38.28,38.07,38.92,0.0,0.0,299411
05/08/2019,38.74,38.52,38.2,39,0.0,0.0,432085
05/07/2019,39.58,38.66,38.43,40.03,0.0,0.0,229294
05/06/2019,39.87,40.29,39.43,40.62,0.0,0.0,523594
05/03/2019,39.54,40.44,39.22,40.55,0.0,0.0,360061
05/02/2019,38.48,39.16,37.96,39.42,0.0,0.0,537527
05/01/2019,40.14,38.89,37.51,40.18,0.0,0.0,1207045
04/30/2019,40.76,39.69,39.29,40.7708,0.0,0.0,539447
04/29/2019,40.02,40.5,39.81,40.91,0.0,0.0,289031
04/26/2019,40.32,39.98,39.37,40.41,0.0,0.0,367555
04/25/2019,41.67,40.51,40.44,41.8031,0.0,0.0,301093
04/24/2019,42.9,41.74,41.06,42.93,0.0,0.0,550291
04/23/2019,42.97,43,42.67,43.37,0.0,0.0,379903
04/22/2019,41.03,42.83,40.88,43.17,0.0,0.0,622745
04/18/2019,41,41,40.89,41.64,0.0,0.0,410311
04/17/2019,41.88,40.87,40.8,42.12,0.0,0.0,181811
04/16/2019,41.07,41.75,40.48,41.96,0.0,0.0,337131
04/15/2019,41.23,40.79,40.66,41.8935,0.0,0.0,308747
04/12/2019,41.81,41.42,41.37,42.91,0.0,0.0,424532
