Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,13.16,13.17,13.16,13.18,0.0,0.0,109322
07/11/2019,13.17,13.15,13.145,13.18,0.0,0.0,740944
07/10/2019,13.16,13.15,13.15,13.17,0.0,0.0,123266
07/09/2019,13.14,13.16,13.135,13.16,0.0,0.0,230532
07/08/2019,13.13,13.14,13.13,13.16,0.0,0.0,107789
07/05/2019,13.12,13.15,13.1,13.17,0.0,0.0,276046
07/03/2019,13.17,13.18,13.15,13.19,0.0,0.0,461494
07/02/2019,13.16,13.17,13.14,13.185,0.0,0.0,286274
07/01/2019,13.08,13.16,13.06,13.17,0.0,0.0,786693
06/28/2019,13.05,13.03,13.02,13.08,0.0,0.0,1031119
06/27/2019,13.03,13.05,13,13.08,0.0,0.0,139227
06/26/2019,12.98,12.97,12.96,13.07,0.0,0.0,172410
06/25/2019,12.93,12.95,12.93,12.99,0.0,0.0,252330
06/24/2019,13.05,12.93,12.92,13.06,0.0,0.0,497590
06/21/2019,13.06,13.04,13.04,13.07,0.0,0.0,487915
06/20/2019,13.08,13.07,13.06,13.09,0.0,0.0,221973
06/19/2019,13.08,13.06,13.04,13.08,0.0,0.0,546840
06/18/2019,13.06,13.08,13.06,13.11,0.0,0.0,578092
06/17/2019,13.06,13.07,13.04,13.09,0.0,0.0,143931
06/14/2019,13.06,13.05,13.03,13.09,0.0,0.0,287609
06/13/2019,13.08,13.09,13.07,13.09,0.0,0.0,182898
06/12/2019,13.06,13.08,13.02,13.08,0.0,0.0,379861
06/11/2019,13.13,13.05,13.05,13.15,0.0,0.0,460896
06/10/2019,13.13,13.14,13.12,13.17,0.0,0.0,215308
06/07/2019,13.13,13.13,13.06,13.13,0.0,0.0,251713
06/06/2019,13.11,13.13,13.09,13.13,0.0,0.0,224502
06/05/2019,13.11,13.12,13.05,13.12,0.0,0.0,234766
06/04/2019,13.07,13.1,13.03,13.11,0.0,0.0,686680
06/03/2019,13.13,13.04,13.03,13.17,0.0,0.0,450797
05/31/2019,13.12,13.14,13.07,13.15,0.0,0.0,797323
05/30/2019,13.15,13.16,13.12,13.16,0.0,0.0,393177
05/29/2019,13.1,13.13,13.07,13.15,0.0,0.0,1085370
05/28/2019,13.03,13.05,12.98,13.05,0.0,0.0,268501
05/24/2019,13.05,13,13,13.07,0.0,0.0,279530
05/23/2019,13.05,13.05,13,13.07,0.0,0.0,1145247
05/22/2019,13.02,13.05,13,13.1,0.0,0.0,555060
05/21/2019,13.08,13.05,12.985,13.11,0.0,0.0,484846
05/20/2019,13.05,13.04,13.02,13.22,0.0,0.0,624285
05/17/2019,13.09,13.05,13.02,13.16,0.0,0.0,969966
05/16/2019,13.29,13.1,13.02,13.35,0.0,0.0,814383
05/15/2019,12.95,13.43,12.95,13.63,0.0,0.0,2647575
05/14/2019,12.95,12.95,12.94,12.96,0.0,0.0,529799
05/13/2019,12.96,12.94,12.94,12.98,0.0,0.0,2014277
05/10/2019,12.99,12.96,12.96,13,0.0,0.0,851988
05/09/2019,12.97,12.99,12.96,12.99,0.0,0.0,1503007
05/08/2019,12.96,12.97,12.96,13,0.0,0.0,1803064
05/07/2019,12.93,12.95,12.93,13,0.0,0.0,5187441
05/06/2019,13.05,12.95,12.92,13.06,0.0,0.0,16996380
05/03/2019,9.6,9.56,9.51,9.62,0.0,0.0,188826
05/02/2019,9.52,9.53,9.49,9.66,0.0,0.0,183655
05/01/2019,9.57,9.51,9.48,9.73,0.0,0.0,166643
04/30/2019,9.5,9.51,9.45,9.64,0.0,0.0,258732
04/29/2019,9.41,9.52,9.39,9.6,0.0,0.0,152815
04/26/2019,9.33,9.38,9.26,9.5,0.0,0.0,167028
04/25/2019,9.54,9.49,9.31,9.62,0.0,0.0,154653
04/24/2019,9.66,9.6,9.58,9.79,0.0,0.0,225280
04/23/2019,9.6,9.65,9.5,9.76,0.0,0.0,208282
04/22/2019,9.59,9.63,9.46,9.71,0.0,0.0,107966
04/18/2019,9.79,9.57,9.54,9.84,0.0,0.0,111705
04/17/2019,9.93,9.81,9.77,10,0.0,0.0,94827
04/16/2019,9.67,9.86,9.63,9.93,0.0,0.0,159575
04/15/2019,9.58,9.56,9.47,9.62,0.0,0.0,94301
04/12/2019,9.49,9.59,9.39,9.64,0.0,0.0,95239
