Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,6.92,7.08,6.7,7.2,0.0,0.0,155027
07/11/2019,6.76,6.92,6.755,7,0.0,0.0,144564
07/10/2019,6.56,6.75,6.56,6.87,0.0,0.0,312819
07/09/2019,7.31,6.75,6.72,7.345,0.0,0.0,313581
07/08/2019,7.32,7.47,7.25,7.5,0.0,0.0,153506
07/05/2019,7.15,7.28,7.04,7.35,0.0,0.0,92299
07/03/2019,7.13,7.2,6.95,7.26,0.0,0.0,179905
07/02/2019,7.44,7.1,7,7.56,0.0,0.0,242776
07/01/2019,7.56,7.42,7.26,7.6326,0.0,0.0,171960
06/28/2019,6.98,7.44,6.98,7.63,0.0,0.0,901919
06/27/2019,6.84,6.97,6.79,7.0734,0.0,0.0,119889
06/26/2019,6.98,6.83,6.72,7.11,0.0,0.0,127831
06/25/2019,7,6.98,6.965,7.32,0.0,0.0,168281
06/24/2019,7.04,6.99,6.9,7.2,0.0,0.0,268889
06/21/2019,6.96,7.05,6.72,7.11,0.0,0.0,297830
06/20/2019,7.02,7.01,6.815,7.23,0.0,0.0,355840
06/19/2019,6.55,6.9,6.47,7.06,0.0,0.0,527394
06/18/2019,6.39,6.56,6.39,6.86,0.0,0.0,234809
06/17/2019,6.24,6.34,6.12,6.41,0.0,0.0,149010
06/14/2019,6.27,6.24,6.18,6.44,0.0,0.0,214922
06/13/2019,6.15,6.23,5.9422,6.37,0.0,0.0,331078
06/12/2019,6.39,6.14,6.09,6.39,0.0,0.0,281528
06/11/2019,6.68,6.45,6.43,6.85,0.0,0.0,170082
06/10/2019,6.56,6.64,6.54,6.91,0.0,0.0,205378
06/07/2019,6.5,6.53,6.37,6.62,0.0,0.0,164899
06/06/2019,6.46,6.47,6.3,6.65,0.0,0.0,233844
06/05/2019,6.85,6.46,6.34,6.85,0.0,0.0,207954
06/04/2019,6.67,6.81,6.55,6.93,0.0,0.0,185242
06/03/2019,6.5,6.58,6.37,6.59,0.0,0.0,94009
05/31/2019,6.21,6.49,6.13,6.56,0.0,0.0,104917
05/30/2019,6.04,6.25,5.9729,6.31,0.0,0.0,127577
05/29/2019,6.15,6.02,5.87,6.17,0.0,0.0,144841
05/28/2019,6.22,6.22,6.15,6.285,0.0,0.0,213972
05/24/2019,6.35,6.23,6.07,6.35,0.0,0.0,97707
05/23/2019,6.65,6.28,6.17,6.65,0.0,0.0,100878
05/22/2019,6.7,6.74,6.515,6.91,0.0,0.0,132257
05/21/2019,6.75,6.72,6.58,6.9,0.0,0.0,162903
05/20/2019,6.45,6.7,6.36,6.78,0.0,0.0,116446
05/17/2019,6.34,6.51,6.34,6.67,0.0,0.0,122064
05/16/2019,6.48,6.41,6.38,6.7,0.0,0.0,113262
05/15/2019,6.32,6.54,6.18,6.6,0.0,0.0,188756
05/14/2019,6.89,6.36,6.31,6.89,0.0,0.0,180950
05/13/2019,7.14,6.9,6.558,7.14,0.0,0.0,221930
05/10/2019,7.13,7.16,6.67,7.21,0.0,0.0,171512
05/09/2019,7.04,7.13,6.8486,7.16,0.0,0.0,164631
05/08/2019,7.45,7.09,7.05,7.46,0.0,0.0,80748
05/07/2019,7.63,7.43,7.31,7.75,0.0,0.0,109990
05/06/2019,7.38,7.73,7.38,8.01,0.0,0.0,139714
05/03/2019,7.23,7.61,7.15,7.7464,0.0,0.0,156475
05/02/2019,7.07,7.2,6.89,7.21,0.0,0.0,106221
05/01/2019,6.87,7.11,6.78,7.2,0.0,0.0,91895
04/30/2019,7.05,6.88,6.73,7.2754,0.0,0.0,95184
04/29/2019,6.73,7.04,6.73,7.19,0.0,0.0,223274
04/26/2019,6.59,6.73,6.4432,7.15,0.0,0.0,266654
04/25/2019,6.61,6.65,6.42,6.71,0.0,0.0,127214
04/24/2019,6.56,6.62,6.45,6.7,0.0,0.0,160875
04/23/2019,6.14,6.55,6.08,6.77,0.0,0.0,365635
04/22/2019,6.37,6.01,5.98,6.48,0.0,0.0,206227
04/18/2019,6,6.4,5.82,6.52,0.0,0.0,255957
04/17/2019,5.9,6,5.48,6.03,0.0,0.0,456613
04/16/2019,6.36,5.84,5.8,6.43,0.0,0.0,320702
04/15/2019,6.45,6.35,6.2807,6.6899,0.0,0.0,106766
04/12/2019,6.57,6.45,6.38,6.8,0.0,0.0,157085
