Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.51,26.94,26.51,27.49,0.0,0.0,237965
07/15/2019,26.79,26.4,26.29,27.14,0.0,0.0,147845
07/12/2019,25.7,26.9,25.58,27.077,0.0,0.0,231063
07/11/2019,25.25,25.69,24.87,25.91,0.0,0.0,205154
07/10/2019,26.73,25.33,25.25,26.75,0.0,0.0,276800
07/09/2019,26.6,26.55,26.31,26.7307,0.0,0.0,226467
07/08/2019,26.97,26.85,26.56,27.28,0.0,0.0,158824
07/05/2019,27.22,27.24,26.82,27.67,0.0,0.0,108950
07/03/2019,27.3,27.45,27.1775,27.61,0.0,0.0,91503
07/02/2019,27.6,27.12,26.93,27.8,0.0,0.0,193598
07/01/2019,28.27,27.81,27.28,28.54,0.0,0.0,235445
06/28/2019,27.28,28.11,27.25,28.27,0.0,0.0,471682
06/27/2019,26.27,26.91,26.27,27.05,0.0,0.0,142298
06/26/2019,25.46,26.23,25.46,26.3808,0.0,0.0,139894
06/25/2019,26.17,25.34,24.89,26.17,0.0,0.0,412451
06/24/2019,26.84,26.31,26.3,26.89,0.0,0.0,188046
06/21/2019,26.66,26.82,26.47,27.1,0.0,0.0,409064
06/20/2019,26.64,26.76,26.51,27.105,0.0,0.0,183910
06/19/2019,26.76,26.35,26.34,26.98,0.0,0.0,226317
06/18/2019,26.44,26.79,26.44,27.34,0.0,0.0,241140
06/17/2019,26.88,26.38,26.3,27.07,0.0,0.0,172836
06/14/2019,27.29,26.84,26.81,27.53,0.0,0.0,132436
06/13/2019,26.8,27.38,26.8,27.79,0.0,0.0,314508
06/12/2019,26.42,26.71,26.195,26.86,0.0,0.0,202791
06/11/2019,26.53,26.54,26.39,26.92,0.0,0.0,335890
06/10/2019,25.74,26.23,25.74,26.48,0.0,0.0,260038
06/07/2019,25.48,25.59,25.28,25.71,0.0,0.0,114109
06/06/2019,25.47,25.49,24.98,25.65,0.0,0.0,152814
06/05/2019,26.17,25.62,25.58,26.2,0.0,0.0,210416
06/04/2019,25.39,26.17,25.39,26.295,0.0,0.0,308397
06/03/2019,24.92,25.06,24.84,25.625,0.0,0.0,250427
05/31/2019,25.03,25.07,24.685,25.35,0.0,0.0,175062
05/30/2019,25.21,25.4,24.93,25.47,0.0,0.0,326810
05/29/2019,25.62,25.13,24.885,25.97,0.0,0.0,559655
05/28/2019,26.3,25.92,25.73,26.46,0.0,0.0,206062
05/24/2019,26.79,26.43,26.13,27.04,0.0,0.0,180060
05/23/2019,27.43,26.57,26.51,27.59,0.0,0.0,388841
05/22/2019,28.87,27.82,27.29,28.87,0.0,0.0,282460
05/21/2019,28.3,27.77,27.67,28.37,0.0,0.0,367153
05/20/2019,27.85,28.06,27.5,28.175,0.0,0.0,341216
05/17/2019,29.05,28.16,28.13,29.17,0.0,0.0,247061
05/16/2019,29.04,29.36,28.86,29.5,0.0,0.0,520921
05/15/2019,28.66,28.99,28.16,29.0793,0.0,0.0,261233
05/14/2019,27.91,28.92,27.8,29.11,0.0,0.0,314440
05/13/2019,27.96,27.82,27.72,28.19,0.0,0.0,438875
05/10/2019,28.69,28.65,28.05,28.85,0.0,0.0,243704
05/09/2019,28.57,28.85,28.345,29.15,0.0,0.0,243626
05/08/2019,29.13,28.88,28.86,29.74,0.0,0.0,190663
05/07/2019,29.58,29.23,28.83,29.91,0.0,0.0,354495
05/06/2019,29.31,30.02,28.75,30.4,0.0,0.0,335960
05/03/2019,29.01,30.2,28.345,30.89,0.0,0.0,666469
05/02/2019,30.36,30.49,29.92,30.74,0.0,0.0,415003
05/01/2019,30.65,30.35,30.1,30.86,0.0,0.0,343626
04/30/2019,31.08,30.56,30.42,31.08,0.0,0.0,227016
04/29/2019,31.61,31.1,31.02,31.62,0.0,0.0,304827
04/26/2019,31.31,31.57,31.26,31.93,0.0,0.0,164464
04/25/2019,33.45,31.32,31.22,33.5373,0.0,0.0,292207
04/24/2019,32.9,33.5,32.7505,33.75,0.0,0.0,117229
04/23/2019,32.76,32.93,32.57,33.06,0.0,0.0,161469
04/22/2019,32.85,32.68,32.41,33.27,0.0,0.0,200074
04/18/2019,33.44,33.06,32.91,34.24,0.0,0.0,167453
04/17/2019,33.17,33.47,33.08,34.13,0.0,0.0,300423
04/16/2019,32.15,33.34,32.01,33.43,0.0,0.0,308210
