Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,4.4,4.35,4.2501,4.41,0.0,0.0,11833
07/15/2019,4.38,4.3,4.25,4.38,0.0,0.0,12896
07/12/2019,4.295,4.25,4.2,4.45,0.0,0.0,12267
07/11/2019,4.266,4.3,4.185,4.45,0.0,0.0,16255
07/10/2019,3.99,4.08,3.975,4.38,0.0,0.0,78431
07/09/2019,4.14,3.82,3.82,4.15,0.0,0.0,20015
07/08/2019,4.15,4.1,4.02,4.17,0.0,0.0,7252
07/05/2019,3.9,4.09,3.83,4.14,0.0,0.0,8793
07/03/2019,4,3.9,3.63,4.05,0.0,0.0,24616
07/02/2019,4.28,4.05,3.97,4.28,0.0,0.0,28196
07/01/2019,4.4,4.24,4.24,4.4053,0.0,0.0,18553
06/28/2019,4.36,4.39,4.28,4.4528,0.0,0.0,15211
06/27/2019,4.22,4.26,4.22,4.45,0.0,0.0,23053
06/26/2019,4.57,4.27,4.22,4.57,0.0,0.0,39929
06/25/2019,4.49,4.48,4.34,4.55,0.0,0.0,20366
06/24/2019,4.55,4.69,4.51,4.69,0.0,0.0,4898
06/21/2019,4.69,4.54,4.51,4.69,0.0,0.0,9342
06/20/2019,4.41,4.6,4.4,4.7,0.0,0.0,30446
06/19/2019,4.4,4.46,4.31,4.48,0.0,0.0,19633
06/18/2019,4.6,4.47,4.4,4.6,0.0,0.0,29167
06/17/2019,4.52,4.61,4.41,4.63,0.0,0.0,22664
06/14/2019,4.66,4.52,4.51,4.74,0.0,0.0,26213
06/13/2019,4.75,4.68,4.6,4.77,0.0,0.0,39175
06/12/2019,4.67,4.76,4.65,4.849,0.0,0.0,31658
06/11/2019,4.57,4.71,4.57,4.92,0.0,0.0,117049
06/10/2019,4.7,4.63,4.54,4.795,0.0,0.0,32928
06/07/2019,4.56,4.7,4.56,4.84,0.0,0.0,33337
06/06/2019,4.69,4.58,4.52,4.7999,0.0,0.0,31546
06/05/2019,4.96,4.77,4.5903,5,0.0,0.0,85947
06/04/2019,5.11,4.99,4.99,5.25,0.0,0.0,43912
06/03/2019,5.21,5.12,4.98,5.24,0.0,0.0,60318
05/31/2019,4.96,5.15,4.8271,5.27,0.0,0.0,88510
05/30/2019,4.89,5.07,4.8793,5.3305,0.0,0.0,109202
05/29/2019,5.53,4.96,4.8,5.53,0.0,0.0,104284
05/28/2019,5.45,5.66,5.45,5.879,0.0,0.0,169405
05/24/2019,5.12,5.5,5.08,5.5,0.0,0.0,110501
05/23/2019,4.82,5.14,4.67,5.2452,0.0,0.0,122338
05/22/2019,4.75,4.94,4.67,5.05,0.0,0.0,141453
05/21/2019,4.62,4.81,4.2,4.93,0.0,0.0,126853
05/20/2019,4.42,4.54,4.4,4.6679,0.0,0.0,92124
05/17/2019,4.56,4.5,4.3,4.7832,0.0,0.0,147237
05/16/2019,4.7,4.65,4.52,4.84,0.0,0.0,212438
05/15/2019,5.4,4.91,4.76,5.45,0.0,0.0,2041006
05/14/2019,4.41,4.52,4.3906,4.57,0.0,0.0,245260
05/13/2019,4.52,4.41,4.17,4.55,0.0,0.0,91695
05/10/2019,4.38,4.53,4.3253,4.53,0.0,0.0,51048
05/09/2019,4.53,4.39,4.3102,4.58,0.0,0.0,107068
05/08/2019,4.8,4.59,4.45,4.9,0.0,0.0,426078
05/07/2019,4.92,4.8,4.54,5.59,0.0,0.0,1277642
05/06/2019,4.42,4.74,4.3004,4.84,0.0,0.0,187046
05/03/2019,4.9,4.59,4.57,5.45,0.0,0.0,391050
05/02/2019,4.44,4.95,4.31,4.98,0.0,0.0,331611
05/01/2019,4.51,4.43,4.3,4.95,0.0,0.0,393935
04/30/2019,4.37,4.5,4.3213,4.65,0.0,0.0,133202
04/29/2019,4.98,4.41,4.25,4.9899,0.0,0.0,280368
04/26/2019,5.11,5.02,4.7,5.4,0.0,0.0,650612
04/25/2019,8.01,5.21,5.11,9.56,0.0,0.0,20680330
04/24/2019,4.01,4.7,3.9,5.18,0.0,0.0,795128
04/23/2019,4,4.05,3.78,4.24,0.0,0.0,221492
04/22/2019,3.8,4.25,3.5,4.96,0.0,0.0,1749504
04/18/2019,2.8,3.245,2.555,3.25,0.0,0.0,117377
04/17/2019,2.85,2.9125,2.85,3.05,0.0,0.0,18639
04/16/2019,3,2.9285,2.8515,3.0845,0.0,0.0,12309
