Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,11.61,11.68,11.55,11.7,0.0,0.0,47685
07/11/2019,11.65,11.59,11.5101,11.6561,0.0,0.0,126635
07/10/2019,11.59,11.61,11.48,11.63,0.0,0.0,126743
07/09/2019,11.33,11.39,11.2874,11.44,0.0,0.0,37700
07/08/2019,11.3,11.33,11.27,11.4059,0.0,0.0,68109
07/05/2019,11.2,11.34,11.01,11.38,0.0,0.0,59031
07/03/2019,11.48,11.42,11.31,11.48,0.0,0.0,56946
07/02/2019,11.07,11.4,11.07,11.45,0.0,0.0,133701
07/01/2019,11.15,11.01,11,11.2,0.0,0.0,96500
06/28/2019,11.42,11.44,11.24,11.44,0.0,0.0,60290
06/27/2019,11.32,11.33,11.23,11.35,0.0,0.0,54848
06/26/2019,11.17,11.4,11.17,11.4734,0.0,0.0,123088
06/25/2019,11.61,11.39,11.21,11.65,0.0,0.0,127201
06/24/2019,11.32,11.55,11.32,11.55,0.0,0.0,282602
06/21/2019,11.2,11.25,11.09,11.27,0.0,0.0,130766
06/20/2019,11.11,11.21,11.07,11.3125,0.0,0.0,173674
06/19/2019,10.61,10.82,10.6085,10.83,0.0,0.0,84902
06/18/2019,10.74,10.68,10.57,10.779,0.0,0.0,98309
06/17/2019,10.53,10.59,10.48,10.62,0.0,0.0,53780
06/14/2019,10.57,10.52,10.45,10.71,0.0,0.0,91353
06/13/2019,10.43,10.51,10.32,10.52,0.0,0.0,70540
06/12/2019,10.26,10.39,10.26,10.4537,0.0,0.0,72074
06/11/2019,10.15,10.24,10.15,10.3169,0.0,0.0,120682
06/10/2019,10.28,10.23,10.11,10.28,0.0,0.0,153120
06/07/2019,10.55,10.46,10.39,10.5715,0.0,0.0,87035
06/06/2019,10.392,10.44,10.34,10.47,0.0,0.0,110731
06/05/2019,10.45,10.35,10.25,10.51,0.0,0.0,138445
06/04/2019,10.2,10.32,10.1,10.3369,0.0,0.0,141049
06/03/2019,10.02,10.27,10.02,10.31,0.0,0.0,144296
05/31/2019,9.72,9.9,9.72,9.98,0.0,0.0,129209
05/30/2019,9.38,9.57,9.37,9.58,0.0,0.0,66918
05/29/2019,9.36,9.37,9.35,9.44,0.0,0.0,64463
05/28/2019,9.33,9.33,9.29,9.43,0.0,0.0,108872
05/24/2019,9.38,9.43,9.26,9.52,0.0,0.0,179386
05/23/2019,9.4,9.44,9.4,9.67,0.0,0.0,179177
05/22/2019,9.6,9.44,9.385,9.6,0.0,0.0,91051
05/21/2019,9.53,9.6,9.48,9.6,0.0,0.0,81665
05/20/2019,9.71,9.59,9.34,9.71,0.0,0.0,48019
05/17/2019,9.45,9.63,9.44,9.6399,0.0,0.0,33209
05/16/2019,9.5494,9.53,9.43,9.5494,0.0,0.0,53774
05/15/2019,9.67,9.6,9.58,9.68,0.0,0.0,80440
05/14/2019,9.64,9.59,9.4912,9.64,0.0,0.0,46078
05/13/2019,9.49,9.63,9.43,9.65,0.0,0.0,94400
05/10/2019,9.41,9.35,9.33,9.42,0.0,0.0,90876
05/09/2019,9.43,9.41,9.37,9.51,0.0,0.0,26979
05/08/2019,9.62,9.44,9.34,9.6219,0.0,0.0,76583
05/07/2019,9.41,9.56,9.365,9.61,0.0,0.0,35300
05/06/2019,9.37,9.34,9.3302,9.43,0.0,0.0,72625
05/03/2019,9.3,9.37,9.3,9.49,0.0,0.0,53279
05/02/2019,9.03,9.24,9.03,9.45,0.0,0.0,103083
05/01/2019,9.54,9.41,9.34,9.62,0.0,0.0,81785
04/30/2019,9.5,9.56,9.5,9.62,0.0,0.0,17632
04/29/2019,9.76,9.52,9.49,9.76,0.0,0.0,45490
04/26/2019,9.58,9.76,9.58,9.795,0.0,0.0,57725
04/25/2019,9.58,9.55,9.515,9.66,0.0,0.0,83266
04/24/2019,9.5,9.59,9.44,9.6499,0.0,0.0,70545
04/23/2019,9.51,9.5,9.43,9.55,0.0,0.0,86798
04/22/2019,9.75,9.57,9.565,9.79,0.0,0.0,61833
04/18/2019,9.87,9.74,9.67,9.8966,0.0,0.0,78795
04/17/2019,9.91,9.85,9.77,9.9998,0.0,0.0,88587
04/16/2019,9.97,9.94,9.937,10.035,0.0,0.0,182831
04/15/2019,10.03,10.11,9.95,10.15,0.0,0.0,102932
04/12/2019,10.09,10.11,10.06,10.14,0.0,0.0,144726
