Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,29.75,29.75,29.75,29.75,0.0,0.0,100
07/15/2019,29.89,29.89,29.89,29.89,0.0,0.0,100
07/12/2019,29.83,29.855,29.83,29.866,0.0,0.0,475
07/11/2019,29.84,29.8599,29.84,29.8599,0.0,0.0,793
07/10/2019,29.9,29.9,29.9,29.9,0.0,0.0,102
07/09/2019,29.71,29.748,29.71,29.748,0.0,0.0,667
07/08/2019,29.79,29.79,29.76,29.7994,0.0,0.0,1390
07/05/2019,29.6599,29.84,29.63,29.88,0.0,0.0,1453
07/03/2019,29.9146,29.9503,29.9,29.9503,0.0,0.0,2116
07/02/2019,29.63,29.615,29.615,29.63,0.0,0.0,306
07/01/2019,29.39,29.35,29.3301,29.4031,0.0,0.0,3172
06/28/2019,29.31,29.32,29.31,29.32,0.0,0.0,400
06/27/2019,29.18,29.23,29.18,29.2399,0.0,0.0,1298
06/26/2019,29.4707,29.49,29.4707,29.515,0.0,0.0,948
06/25/2019,29.8924,29.8924,29.8924,29.8924,0.0,0.0,00
06/24/2019,29.8924,29.8924,29.8924,29.8924,0.0,0.0,170
06/21/2019,29.83,29.835,29.83,29.845,0.0,0.0,500
06/20/2019,30,29.96,29.96,30,0.0,0.0,1404
06/19/2019,29.61,29.72,29.61,29.72,0.0,0.0,505
06/18/2019,29.6146,29.61,29.61,29.6146,0.0,0.0,1421
06/17/2019,29.44,29.446,29.44,29.446,0.0,0.0,450
06/14/2019,29.35,29.38,29.35,29.42,0.0,0.0,560
06/13/2019,29.39,29.3701,29.36,29.42,0.0,0.0,7010
06/12/2019,29.38,29.36,29.36,29.38,0.0,0.0,401
06/11/2019,29.42,29.34,29.34,29.42,0.0,0.0,329
06/10/2019,29.37,29.34,29.34,29.37,0.0,0.0,1895
06/07/2019,29.46,29.4653,29.46,29.4653,0.0,0.0,880
06/06/2019,29.19,29.2501,29.19,29.2501,0.0,0.0,479
06/05/2019,28.97,28.99,28.97,29.08,0.0,0.0,1562
06/04/2019,28.73,28.805,28.73,28.8117,0.0,0.0,605
06/03/2019,28.63,28.645,28.63,28.645,0.0,0.0,891
05/31/2019,28.44,28.55,28.44,28.55,0.0,0.0,209
05/30/2019,28.55,28.62,28.55,28.62,0.0,0.0,509
05/29/2019,28.6504,28.6145,28.59,28.66,0.0,0.0,2489
05/28/2019,29.05,28.8352,28.825,29.05,0.0,0.0,2671
05/24/2019,29.0639,29.05,29.04,29.07,0.0,0.0,2223
05/23/2019,28.8564,28.8849,28.8564,28.8849,0.0,0.0,1394
05/22/2019,28.98,29.0156,28.83,29.02,0.0,0.0,2800
05/21/2019,29.01,29.01,29.01,29.01,0.0,0.0,125
05/20/2019,29.0389,28.9008,28.9,29.0389,0.0,0.0,1284
05/17/2019,29.0106,29.02,29.0106,29.02,0.0,0.0,801
05/16/2019,29.0515,29.0515,29.0515,29.0515,0.0,0.0,174
05/15/2019,28.7003,28.7003,28.7003,28.7003,0.0,0.0,273
05/14/2019,28.84,28.7651,28.7651,28.869,0.0,0.0,3266
05/13/2019,28.5408,28.5898,28.5408,28.6457,0.0,0.0,2098
05/10/2019,28.935,28.91,28.91,28.935,0.0,0.0,680
05/09/2019,28.61,28.61,28.61,28.61,0.0,0.0,00
05/08/2019,28.71,28.61,28.61,28.71,0.0,0.0,1694
05/07/2019,28.78,28.73,28.73,28.78,0.0,0.0,599
05/06/2019,28.95,28.95,28.95,28.95,0.0,0.0,00
05/03/2019,28.95,28.95,28.95,28.95,0.0,0.0,00
05/02/2019,29.0251,28.95,28.95,29.0251,0.0,0.0,1423
05/01/2019,29.21,29.2,29.2,29.25,0.0,0.0,693
04/30/2019,29.11,29.138,29.09,29.138,0.0,0.0,1999
04/29/2019,29.0802,29.0802,29.0802,29.0802,0.0,0.0,213
04/26/2019,29.04,29.07,29.03,29.07,0.0,0.0,1317
04/25/2019,28.9272,28.9998,28.9272,28.9998,0.0,0.0,1243
04/24/2019,28.917,28.917,28.917,28.917,0.0,0.0,250
04/23/2019,28.8199,28.8199,28.8199,28.8199,0.0,0.0,00
04/22/2019,28.8421,28.8199,28.8199,28.8421,0.0,0.0,1378
04/18/2019,29.01,28.9921,28.9921,29.01,0.0,0.0,729
04/17/2019,28.9,28.9,28.84,28.9,0.0,0.0,7526
04/16/2019,29.0634,29.06,29.055,29.0634,0.0,0.0,2447
