Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,58.09,58.9,57.94,59.07,0.0,0.0,241348
07/11/2019,58.72,58.3,57.63,59.15,0.0,0.0,217965
07/10/2019,58.89,58.82,58.64,59.2,0.0,0.0,242439
07/09/2019,58.27,58.43,57.57,58.63,0.0,0.0,386635
07/08/2019,58.64,58.75,58.46,59.01,0.0,0.0,342492
07/05/2019,59.03,58.9,58.32,59.31,0.0,0.0,191753
07/03/2019,59.35,59.42,59,59.6,0.0,0.0,156555
07/02/2019,60.11,59.14,59.02,60.64,0.0,0.0,384517
07/01/2019,61.44,60.07,59.92,61.55,0.0,0.0,530094
06/28/2019,58.93,60.6,58.76,60.82,0.0,0.0,911857
06/27/2019,57.07,58.88,57.07,58.92,0.0,0.0,610113
06/26/2019,56.74,57.02,55.8,57.37,0.0,0.0,349755
06/25/2019,56.62,56.5,55.93,57.22,0.0,0.0,221013
06/24/2019,57.1,56.53,56.52,57.35,0.0,0.0,219099
06/21/2019,57.17,57.15,56.06,57.345,0.0,0.0,462116
06/20/2019,58.35,57.56,57.335,58.63,0.0,0.0,160110
06/19/2019,57.54,57.51,57.26,58,0.0,0.0,123447
06/18/2019,57,57.45,56.86,57.86,0.0,0.0,224511
06/17/2019,56.72,56.32,56.21,57.13,0.0,0.0,231830
06/14/2019,57.17,56.57,56.56,57.5,0.0,0.0,351776
06/13/2019,56.81,57.46,56.55,57.51,0.0,0.0,229270
06/12/2019,56.75,56.56,56,56.91,0.0,0.0,213793
06/11/2019,58.44,57.02,56.86,59.01,0.0,0.0,284422
06/10/2019,56.36,57.74,56.36,57.77,0.0,0.0,249998
06/07/2019,56,55.95,55.64,56.39,0.0,0.0,205375
06/06/2019,55.12,55.89,54.45,55.94,0.0,0.0,562479
06/05/2019,55.85,55.37,54.72,56.0203,0.0,0.0,463644
06/04/2019,53.73,55.69,53.73,56.43,0.0,0.0,773550
06/03/2019,50.68,52.5,50.56,52.57,0.0,0.0,644583
05/31/2019,51,50.73,50.4,51.46,0.0,0.0,259492
05/30/2019,52.91,51.88,51.56,53.33,0.0,0.0,371271
05/29/2019,51.09,52.67,50.78,52.82,0.0,0.0,755692
05/28/2019,53.59,51.2,50.33,53.59,0.0,0.0,1186831
05/24/2019,54.77,54.3,54.1301,55.3,0.0,0.0,243760
05/23/2019,55.17,54.4,54.14,55.275,0.0,0.0,430373
05/22/2019,56.58,56.03,55.91,57.01,0.0,0.0,161689
05/21/2019,56.22,56.82,56.11,56.85,0.0,0.0,214349
05/20/2019,55.58,55.65,55.34,56.35,0.0,0.0,160025
05/17/2019,56.88,56.19,56.16,57.54,0.0,0.0,240165
05/16/2019,57.41,57.53,57.26,58,0.0,0.0,250592
05/15/2019,56.82,57.31,56.26,57.51,0.0,0.0,345747
05/14/2019,57.04,57.32,56.87,57.77,0.0,0.0,279074
05/13/2019,57.77,56.93,56.69,57.87,0.0,0.0,218679
05/10/2019,59.08,59.29,57.985,59.4,0.0,0.0,205385
05/09/2019,59.65,59.75,58.89,60.22,0.0,0.0,124489
05/08/2019,60.65,60.25,59.86,60.88,0.0,0.0,255583
05/07/2019,62.02,60.83,60.2,62.8,0.0,0.0,231652
05/06/2019,62,63,61.87,63.2195,0.0,0.0,200327
05/03/2019,62.39,63,61.87,63.07,0.0,0.0,338325
05/02/2019,62.09,61.97,61.1,62.36,0.0,0.0,194631
05/01/2019,63.16,62.09,62.07,63.57,0.0,0.0,169230
04/30/2019,64.21,63.04,62.385,64.6623,0.0,0.0,256690
04/29/2019,64.88,64.05,63.78,65.12,0.0,0.0,265200
04/26/2019,63.15,64.61,62.72,64.69,0.0,0.0,365536
04/25/2019,66.5,63.24,62.41,67.255,0.0,0.0,965131
04/24/2019,67.89,67.96,67.66,68.6,0.0,0.0,393275
04/23/2019,67.82,68.3,67.31,68.965,0.0,0.0,308371
04/22/2019,68.06,67.59,67.3543,68.33,0.0,0.0,139490
04/18/2019,68.13,68.57,67.9,68.88,0.0,0.0,152884
04/17/2019,68.16,68.46,67.67,68.66,0.0,0.0,216683
04/16/2019,68.04,67.57,67.28,68.43,0.0,0.0,190911
04/15/2019,67.16,67.77,66.565,67.95,0.0,0.0,243186
04/12/2019,67.48,67.09,66.87,67.98,0.0,0.0,228794
