Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,162.45,162.08,159.325,163.12,0.0,0.0,142607
07/11/2019,163.31,162.51,161.22,163.61,0.0,0.0,38350
07/10/2019,164.33,162.64,161.01,164.83,0.0,0.0,58750
07/09/2019,164.96,162.99,161.83,165.73,0.0,0.0,48980
07/08/2019,162.51,164.72,162.33,165.63,0.0,0.0,47621
07/05/2019,162.32,163.77,161.17,163.77,0.0,0.0,66962
07/03/2019,162.33,163.38,161.7,164.96,0.0,0.0,33843
07/02/2019,162.5,162.42,160.66,164.5,0.0,0.0,55626
07/01/2019,165.82,162.53,161.92,165.82,0.0,0.0,37303
06/28/2019,168.92,162.11,160.75,170.21,0.0,0.0,89354
06/27/2019,168.13,169.56,168.07,170.9,0.0,0.0,95730
06/26/2019,169.13,168.93,168.47,170.3,0.0,0.0,92274
06/25/2019,170.23,169.65,168.52,170.35,0.0,0.0,126020
06/24/2019,168.35,170.77,167.91,171.45,0.0,0.0,81715
06/21/2019,169.98,168.75,168.52,171.97,0.0,0.0,71544
06/20/2019,170.9,171.2,168.19,172.01,0.0,0.0,59243
06/19/2019,169,168.13,167.06,169.33,0.0,0.0,26467
06/18/2019,167.35,167.99,166.805,170.33,0.0,0.0,35997
06/17/2019,168.61,166.73,166.73,170.31,0.0,0.0,25087
06/14/2019,170.14,168.72,167.725,170.95,0.0,0.0,32984
06/13/2019,170.36,170.78,168.72,170.78,0.0,0.0,37717
06/12/2019,169.81,169.54,169,170.65,0.0,0.0,30596
06/11/2019,168.68,170.06,166.82,170.42,0.0,0.0,34943
06/10/2019,162.6,167.44,162.6,167.44,0.0,0.0,35120
06/07/2019,159.88,161.39,159.19,162.555,0.0,0.0,26704
06/06/2019,159.28,159.66,157.56,159.89,0.0,0.0,37985
06/05/2019,156.22,159.8,155.98,159.8,0.0,0.0,42371
06/04/2019,151.01,155.93,150.92,156.34,0.0,0.0,63578
06/03/2019,158.97,155.26,155.215,159.83,0.0,0.0,73480
05/31/2019,158.95,158.58,152.2,158.95,0.0,0.0,158458
05/30/2019,162.01,159.98,159.98,163.27,0.0,0.0,150510
05/29/2019,159.83,161.44,158.49,161.81,0.0,0.0,76562
05/28/2019,161.82,160.68,160.54,163.3,0.0,0.0,56305
05/24/2019,162.93,162.2,161.61,163.32,0.0,0.0,36275
05/23/2019,160.06,161.91,159.63,164.07,0.0,0.0,61933
05/22/2019,160.89,160.71,160.01,161.44,0.0,0.0,32481
05/21/2019,160.57,160.04,159.64,161.46,0.0,0.0,35931
05/20/2019,160.75,160.25,160.15,161.62,0.0,0.0,19914
05/17/2019,156.38,160.57,156.36,161.45,0.0,0.0,47596
05/16/2019,161.39,158.51,158.425,161.39,0.0,0.0,54244
05/15/2019,161.48,160.93,158.5,161.8,0.0,0.0,98941
05/14/2019,162.61,163,160.56,164.59,0.0,0.0,95493
05/13/2019,161.01,161.69,160.78,164.6,0.0,0.0,126479
05/10/2019,162.3,164.12,160.13,165.29,0.0,0.0,42698
05/09/2019,161.66,163.18,159.21,164.58,0.0,0.0,58513
05/08/2019,164.09,163.81,162.9,166.65,0.0,0.0,61811
05/07/2019,161.94,164.11,159.69,164.32,0.0,0.0,41286
05/06/2019,161.53,163.15,161.02,164.56,0.0,0.0,54531
05/03/2019,163.26,164.31,162.05,165.46,0.0,0.0,37210
05/02/2019,160.95,162.36,160.95,164.04,0.0,0.0,69928
05/01/2019,165.12,161.94,161.91,165.23,0.0,0.0,43741
04/30/2019,157.69,164.55,157.6,165.11,0.0,0.0,75233
04/29/2019,164.23,158.49,158.18,166.77,0.0,0.0,66263
04/26/2019,165.39,163.69,161.41,165.39,0.0,0.0,85182
04/25/2019,161.28,164.62,159.6,164.87,0.0,0.0,43352
04/24/2019,163.28,162.79,160.32,164.015,0.0,0.0,71977
04/23/2019,161.91,162.57,160.045,163.26,0.0,0.0,44859
04/22/2019,162.05,162.19,161.8,164.935,0.0,0.0,42584
04/18/2019,163.7,163.36,162.705,164.56,0.0,0.0,28187
04/17/2019,162.34,164.21,162.05,165.21,0.0,0.0,50649
04/16/2019,159.97,161.79,159.97,162.43,0.0,0.0,23654
04/15/2019,160.23,160.47,159.85,162.39,0.0,0.0,36441
04/12/2019,162.18,161.07,159.88,163.22,0.0,0.0,32553
