Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,5.92,5.64,5.63,6,0.0,0.0,102104
07/15/2019,5.98,5.98,5.86,6,0.0,0.0,17402
07/12/2019,6,6,5.95,6.14,0.0,0.0,59660
07/11/2019,5.9,6,5.87,6.0299,0.0,0.0,38094
07/10/2019,6.02,5.88,5.83,6.2,0.0,0.0,61034
07/09/2019,6.15,5.95,5.861,6.18,0.0,0.0,73731
07/08/2019,6,6.15,5.9,6.25,0.0,0.0,118297
07/05/2019,5.75,5.94,5.59,5.95,0.0,0.0,32076
07/03/2019,5.69,5.75,5.5268,5.9,0.0,0.0,23918
07/02/2019,5.77,5.73,5.66,5.7715,0.0,0.0,26361
07/01/2019,5.53,5.74,5.53,6.07,0.0,0.0,122710
06/28/2019,5.26,5.5,5.26,5.71,0.0,0.0,86234
06/27/2019,5.2,5.2,5.11,5.3099,0.0,0.0,268970
06/26/2019,5.15,5.16,5.05,5.4,0.0,0.0,81578
06/25/2019,5.7,5.1,4.95,5.7043,0.0,0.0,159035
06/24/2019,5.93,5.76,5.76,6,0.0,0.0,28660
06/21/2019,5.96,5.97,5.86,5.99,0.0,0.0,28803
06/20/2019,6.1,5.96,5.85,6.24,0.0,0.0,35594
06/19/2019,6.09,6.02,5.72,6.14,0.0,0.0,43964
06/18/2019,6.14,6.14,6,6.23,0.0,0.0,83240
06/17/2019,6,6.01,5.813,6.1,0.0,0.0,94895
06/14/2019,6.12,6.02,5.96,6.165,0.0,0.0,96277
06/13/2019,6.32,6.22,6.08,6.32,0.0,0.0,94866
06/12/2019,6.12,6.14,6,6.1999,0.0,0.0,60150
06/11/2019,5.8,6.03,5.66,6.28,0.0,0.0,119437
06/10/2019,5.65,5.815,5.65,6,0.0,0.0,62288
06/07/2019,5.54,5.6,5.26,5.86,0.0,0.0,67261
06/06/2019,5.82,5.61,5.55,5.82,0.0,0.0,87874
06/05/2019,5.62,5.67,5.56,5.76,0.0,0.0,47852
06/04/2019,5.51,5.55,5.4107,5.6,0.0,0.0,46351
06/03/2019,5.48,5.5,5.372,5.5,0.0,0.0,21935
05/31/2019,5.548,5.37,5.26,5.68,0.0,0.0,55580
05/30/2019,5.45,5.59,5.45,5.73,0.0,0.0,52882
05/29/2019,5.63,5.44,5.43,5.6894,0.0,0.0,59585
05/28/2019,5.72,5.72,5.605,5.7485,0.0,0.0,40992
05/24/2019,5.864,5.76,5.7227,5.91,0.0,0.0,17742
05/23/2019,5.95,5.85,5.775,5.9618,0.0,0.0,18194
05/22/2019,5.97,5.96,5.95,6.11,0.0,0.0,13634
05/21/2019,6.1,6.03,6.01,6.12,0.0,0.0,13661
05/20/2019,6.08,6.03,5.955,6.14,0.0,0.0,61255
05/17/2019,6.03,6.05,5.975,6.13,0.0,0.0,38272
05/16/2019,6.05,6.08,5.9975,6.25,0.0,0.0,23595
05/15/2019,6.01,6.125,6,6.16,0.0,0.0,36251
05/14/2019,6.05,6,5.9216,6.1,0.0,0.0,49985
05/13/2019,6.16,6.04,5.83,6.2489,0.0,0.0,71655
05/10/2019,5.85,6.37,5.76,6.42,0.0,0.0,81787
05/09/2019,6.6,6.34,6.26,6.64,0.0,0.0,38196
05/08/2019,6.73,6.63,6.63,6.775,0.0,0.0,34247
05/07/2019,6.72,6.74,6.64,6.81,0.0,0.0,30249
05/06/2019,6.71,6.71,6.575,6.73,0.0,0.0,39356
05/03/2019,6.6,6.73,6.4648,6.85,0.0,0.0,39978
05/02/2019,6.525,6.6,6.42,6.61,0.0,0.0,33346
05/01/2019,6.67,6.51,6.5,6.87,0.0,0.0,103164
04/30/2019,6.36,6.62,6.3176,6.66,0.0,0.0,42464
04/29/2019,6.34,6.4,6.24,6.49,0.0,0.0,81230
04/26/2019,6.39,6.34,6.27,6.41,0.0,0.0,64151
04/25/2019,6.43,6.41,6.32,6.605,0.0,0.0,163313
04/24/2019,6.5,6.45,6.45,6.65,0.0,0.0,163667
04/23/2019,6.64,6.51,6.46,6.71,0.0,0.0,114045
04/22/2019,6.65,6.66,6.61,6.84,0.0,0.0,31812
04/18/2019,6.7,6.63,6.547,6.77,0.0,0.0,57565
04/17/2019,7,6.7,6.66,7.18,0.0,0.0,94508
04/16/2019,6.8,6.97,6.76,7.1296,0.0,0.0,119902
