Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,2.58,2.62,2.56,2.65,0.0,0.0,524131
07/11/2019,2.49,2.59,2.4821,2.6,0.0,0.0,601485
07/10/2019,2.44,2.46,2.44,2.48,0.0,0.0,391372
07/09/2019,2.44,2.44,2.41,2.465,0.0,0.0,208692
07/08/2019,2.45,2.44,2.44,2.49,0.0,0.0,322865
07/05/2019,2.41,2.44,2.41,2.45,0.0,0.0,139676
07/03/2019,2.4,2.41,2.39,2.43,0.0,0.0,163021
07/02/2019,2.4,2.4,2.38,2.41,0.0,0.0,194164
07/01/2019,2.43,2.43,2.4,2.45,0.0,0.0,243572
06/28/2019,2.38,2.42,2.36,2.42,0.0,0.0,2744997
06/27/2019,2.34,2.38,2.31,2.38,0.0,0.0,471940
06/26/2019,2.33,2.34,2.3,2.355,0.0,0.0,575698
06/25/2019,2.35,2.33,2.3,2.36,0.0,0.0,416093
06/24/2019,2.42,2.35,2.33,2.43,0.0,0.0,347830
06/21/2019,2.44,2.41,2.37,2.499,0.0,0.0,715240
06/20/2019,2.4,2.47,2.38,2.47,0.0,0.0,348358
06/19/2019,2.34,2.39,2.33,2.4,0.0,0.0,267147
06/18/2019,2.37,2.36,2.34,2.395,0.0,0.0,235759
06/17/2019,2.34,2.36,2.3196,2.38,0.0,0.0,304360
06/14/2019,2.32,2.33,2.3,2.345,0.0,0.0,295723
06/13/2019,2.3,2.33,2.29,2.33,0.0,0.0,367994
06/12/2019,2.3,2.28,2.27,2.31,0.0,0.0,260497
06/11/2019,2.29,2.29,2.27,2.31,0.0,0.0,293231
06/10/2019,2.3,2.29,2.27,2.31,0.0,0.0,396426
06/07/2019,2.28,2.3,2.28,2.31,0.0,0.0,385220
06/06/2019,2.28,2.29,2.27,2.33,0.0,0.0,579551
06/05/2019,2.27,2.28,2.27,2.28,0.0,0.0,294964
06/04/2019,2.26,2.28,2.24,2.28,0.0,0.0,613461
06/03/2019,2.3,2.26,2.25,2.31,0.0,0.0,730796
05/31/2019,2.34,2.33,2.29,2.35,0.0,0.0,623096
05/30/2019,2.27,2.36,2.27,2.375,0.0,0.0,1045500
05/29/2019,2.6,2.31,2.27,2.63,0.0,0.0,3344934
05/28/2019,2.64,2.61,2.5299,2.67,0.0,0.0,575043
05/24/2019,2.55,2.62,2.52,2.62,0.0,0.0,505230
05/23/2019,2.5,2.54,2.49,2.55,0.0,0.0,348019
05/22/2019,2.5,2.52,2.46,2.53,0.0,0.0,375094
05/21/2019,2.5,2.49,2.45,2.59,0.0,0.0,716784
05/20/2019,2.4,2.47,2.4,2.48,0.0,0.0,194549
05/17/2019,2.43,2.42,2.39,2.45,0.0,0.0,165502
05/16/2019,2.43,2.43,2.36,2.49,0.0,0.0,304212
05/15/2019,2.32,2.44,2.3099,2.48,0.0,0.0,566074
05/14/2019,2.3,2.32,2.29,2.35,0.0,0.0,190118
05/13/2019,2.35,2.3,2.29,2.3701,0.0,0.0,220351
05/10/2019,2.32,2.39,2.32,2.39,0.0,0.0,185563
05/09/2019,2.32,2.32,2.29,2.36,0.0,0.0,294922
05/08/2019,2.36,2.32,2.32,2.36,0.0,0.0,222021
05/07/2019,2.39,2.35,2.35,2.42,0.0,0.0,189034
05/06/2019,2.44,2.42,2.36,2.47,0.0,0.0,263853
05/03/2019,2.38,2.48,2.37,2.5,0.0,0.0,867579
05/02/2019,2.27,2.32,2.26,2.35,0.0,0.0,373910
05/01/2019,2.32,2.27,2.26,2.33,0.0,0.0,527571
04/30/2019,2.29,2.31,2.25,2.33,0.0,0.0,361940
04/29/2019,2.26,2.29,2.2521,2.31,0.0,0.0,318533
04/26/2019,2.27,2.27,2.25,2.28,0.0,0.0,253727
04/25/2019,2.28,2.26,2.23,2.29,0.0,0.0,198168
04/24/2019,2.27,2.29,2.25,2.3,0.0,0.0,161678
04/23/2019,2.25,2.28,2.23,2.32,0.0,0.0,439895
04/22/2019,2.35,2.25,2.23,2.36,0.0,0.0,437311
04/18/2019,2.31,2.35,2.31,2.36,0.0,0.0,288577
04/17/2019,2.39,2.33,2.32,2.4,0.0,0.0,282015
04/16/2019,2.41,2.38,2.38,2.42,0.0,0.0,190548
04/15/2019,2.39,2.39,2.38,2.42,0.0,0.0,394909
04/12/2019,2.45,2.4,2.38,2.45,0.0,0.0,317537
