Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,42.85,43.1,42.62,43.25,0.0,0.0,535879
07/11/2019,42.58,42.78,42.17,42.885,0.0,0.0,990549
07/10/2019,43.13,42.5,42.425,43.28,0.0,0.0,1054422
07/09/2019,43.46,43.12,43.01,43.51,0.0,0.0,1106941
07/08/2019,43.87,43.79,43.54,44.09,0.0,0.0,1016475
07/05/2019,43.94,44.24,43.81,44.66,0.0,0.0,538147
07/03/2019,43.41,43.69,43.28,43.88,0.0,0.0,488659
07/02/2019,43.77,43.3,42.96,43.77,0.0,0.0,1540677
07/01/2019,43.54,43.83,43.43,44.06,0.0,0.0,2003440
06/28/2019,42.47,43.06,42.35,43.06,0.0,0.0,2450318
06/27/2019,41.97,42.13,41.73,42.28,0.0,0.0,1610589
06/26/2019,42.01,41.78,41.63,42.34,0.0,0.0,1013074
06/25/2019,42.17,41.8,41.22,42.17,0.0,0.0,1463220
06/24/2019,42.55,42.27,42.09,42.65,0.0,0.0,1276713
06/21/2019,43.36,42.58,42.47,43.66,0.0,0.0,1350565
06/20/2019,43.57,43.37,42.36,43.715,0.0,0.0,1983188
06/19/2019,43.42,43.12,43.11,43.845,0.0,0.0,2369290
06/18/2019,43.22,43.25,43.12,43.86,0.0,0.0,1583313
06/17/2019,43.62,43.25,43.12,43.66,0.0,0.0,1229667
06/14/2019,43.2,43.58,42.74,43.725,0.0,0.0,1392198
06/13/2019,43.28,43.23,42.85,43.405,0.0,0.0,1555339
06/12/2019,43.27,43.12,42.86,43.49,0.0,0.0,1230954
06/11/2019,43.85,43.31,43.31,44.055,0.0,0.0,1917186
06/10/2019,43.41,43.02,42.87,43.72,0.0,0.0,1787169
06/07/2019,42.5,43.03,42.37,43.35,0.0,0.0,2135065
06/06/2019,42.1,42.26,42.07,42.795,0.0,0.0,2112662
06/05/2019,42.51,42.47,42.02,42.84,0.0,0.0,1722780
06/04/2019,41.92,42.38,41.685,42.57,0.0,0.0,1680650
06/03/2019,40.43,41.25,40.43,41.275,0.0,0.0,1930861
05/31/2019,41.26,40.65,40.52,41.44,0.0,0.0,1892218
05/30/2019,42.47,41.91,41.79,43.17,0.0,0.0,1421795
05/29/2019,41.99,42.31,41.9,42.45,0.0,0.0,951049
05/28/2019,43.01,42.37,42.24,43.34,0.0,0.0,1827680
05/24/2019,42.59,43.09,42.45,43.205,0.0,0.0,1256830
05/23/2019,43.14,42.42,42.12,43.14,0.0,0.0,1384746
05/22/2019,43.15,43.59,43.08,43.62,0.0,0.0,1799917
05/21/2019,42.93,43.42,42.89,43.605,0.0,0.0,1497573
05/20/2019,42.27,42.74,42.27,43.09,0.0,0.0,1400412
05/17/2019,42.94,42.63,42.62,43.44,0.0,0.0,1298492
05/16/2019,43.33,43.48,43.1,44.08,0.0,0.0,1301326
05/15/2019,43.35,43.01,42.89,43.38,0.0,0.0,1904306
05/14/2019,43.14,43.7,43.015,44.09,0.0,0.0,1395464
05/13/2019,44.35,43.03,42.515,44.45,0.0,0.0,3163234
05/10/2019,44.63,45.23,44.42,45.24,0.0,0.0,2048439
05/09/2019,44.88,44.79,44.48,45.31,0.0,0.0,2323386
05/08/2019,42.78,45.19,41.93,45.36,0.0,0.0,3414441
05/07/2019,43.75,43.29,43.15,45.1,0.0,0.0,2644070
05/06/2019,44.65,45.85,44.54,46.07,0.0,0.0,1447366
05/03/2019,45.05,45.47,45,45.75,0.0,0.0,813363
05/02/2019,44.94,45,44.59,45.56,0.0,0.0,1125676
05/01/2019,45.18,44.81,44.695,45.74,0.0,0.0,898992
04/30/2019,45.48,45.16,44.645,45.59,0.0,0.0,892431
04/29/2019,44.68,45.6,44.5917,45.65,0.0,0.0,1464093
04/26/2019,43.82,44.48,43.74,44.535,0.0,0.0,831009
04/25/2019,43.5,43.92,43.33,44.09,0.0,0.0,910656
04/24/2019,43.85,43.68,43.45,43.98,0.0,0.0,876315
04/23/2019,43.38,43.93,43.38,44.16,0.0,0.0,1024968
04/22/2019,43.65,43.51,43.21,43.76,0.0,0.0,960735
04/18/2019,43.66,43.78,43.305,43.95,0.0,0.0,1142618
04/17/2019,43.95,43.51,43.45,44,0.0,0.0,736931
04/16/2019,43.23,43.73,43.23,43.89,0.0,0.0,1242602
04/15/2019,43.55,43.07,42.955,43.61,0.0,0.0,839467
04/12/2019,43.58,43.38,42.99,43.93,0.0,0.0,992708
