Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,3.03,2.97,2.94,3.05,0.0,0.0,1105977
07/15/2019,3.02,3.04,2.98,3.08,0.0,0.0,983103
07/12/2019,3.2,3.02,2.98,3.236,0.0,0.0,2490858
07/11/2019,3.34,3.17,3.14,3.37,0.0,0.0,1835288
07/10/2019,3.36,3.33,3.32,3.41,0.0,0.0,1177181
07/09/2019,3.35,3.35,3.34,3.4,0.0,0.0,472054
07/08/2019,3.4,3.37,3.32,3.417,0.0,0.0,585134
07/05/2019,3.41,3.39,3.33,3.41,0.0,0.0,892337
07/03/2019,3.4,3.41,3.37,3.46,0.0,0.0,627760
07/02/2019,3.4,3.38,3.27,3.42,0.0,0.0,1128549
07/01/2019,3.35,3.4,3.27,3.41,0.0,0.0,1438001
06/28/2019,3.2,3.29,3.16,3.37,0.0,0.0,6206563
06/27/2019,3.11,3.18,3.09,3.22,0.0,0.0,4138488
06/26/2019,3.19,3.08,3.06,3.2,0.0,0.0,3609326
06/25/2019,3.08,3.14,3.02,3.27,0.0,0.0,4894257
06/24/2019,2.9,3.02,2.82,3.087,0.0,0.0,2529945
06/21/2019,2.98,2.89,2.86,3,0.0,0.0,1541655
06/20/2019,3.04,2.99,2.98,3.065,0.0,0.0,988556
06/19/2019,3.04,3.01,2.98,3.075,0.0,0.0,984978
06/18/2019,3.05,3.05,3.0201,3.115,0.0,0.0,884487
06/17/2019,2.96,3.03,2.96,3.07,0.0,0.0,572398
06/14/2019,2.92,2.96,2.89,3.03,0.0,0.0,653146
06/13/2019,2.87,2.92,2.83,2.94,0.0,0.0,526426
06/12/2019,2.87,2.84,2.82,2.91,0.0,0.0,408764
06/11/2019,2.9,2.88,2.82,2.92,0.0,0.0,581747
06/10/2019,2.84,2.88,2.8211,2.89,0.0,0.0,484228
06/07/2019,2.79,2.81,2.77,2.83,0.0,0.0,375045
06/06/2019,2.81,2.77,2.75,2.82,0.0,0.0,516482
06/05/2019,2.9,2.82,2.78,2.92,0.0,0.0,624167
06/04/2019,2.81,2.9,2.81,2.91,0.0,0.0,588346
06/03/2019,2.8,2.79,2.71,2.8,0.0,0.0,663083
05/31/2019,2.8,2.79,2.74,2.8,0.0,0.0,706725
05/30/2019,2.83,2.82,2.79,2.84,0.0,0.0,530056
05/29/2019,2.85,2.82,2.8,2.88,0.0,0.0,791331
05/28/2019,2.93,2.88,2.85,2.94,0.0,0.0,744565
05/24/2019,2.87,2.93,2.85,2.94,0.0,0.0,608650
05/23/2019,2.8,2.84,2.7637,2.85,0.0,0.0,490397
05/22/2019,2.81,2.82,2.78,2.85,0.0,0.0,295227
05/21/2019,2.76,2.82,2.7201,2.83,0.0,0.0,401287
05/20/2019,2.8,2.75,2.7,2.804,0.0,0.0,595155
05/17/2019,2.82,2.81,2.79,2.94,0.0,0.0,722373
05/16/2019,2.85,2.85,2.82,2.89,0.0,0.0,416361
05/15/2019,2.78,2.86,2.75,2.88,0.0,0.0,609724
05/14/2019,2.8,2.81,2.7599,2.835,0.0,0.0,654140
05/13/2019,2.84,2.77,2.75,2.88,0.0,0.0,1075157
05/10/2019,2.96,2.91,2.85,2.96,0.0,0.0,1554796
05/09/2019,2.94,2.96,2.87,2.97,0.0,0.0,1995412
05/08/2019,2.98,2.96,2.95,3.04,0.0,0.0,711291
05/07/2019,3.06,3,2.95,3.07,0.0,0.0,1330792
05/06/2019,2.99,3.05,2.97,3.11,0.0,0.0,841111
05/03/2019,3.01,3.04,2.91,3.055,0.0,0.0,1294494
05/02/2019,2.85,2.98,2.74,3.05,0.0,0.0,1833899
05/01/2019,2.71,2.74,2.61,2.79,0.0,0.0,851877
04/30/2019,2.83,2.69,2.69,2.83,0.0,0.0,1095125
04/29/2019,2.9,2.82,2.79,2.96,0.0,0.0,694584
04/26/2019,2.77,2.87,2.71,2.88,0.0,0.0,636529
04/25/2019,2.77,2.76,2.7,2.78,0.0,0.0,570558
04/24/2019,2.84,2.76,2.75,2.8671,0.0,0.0,441564
04/23/2019,2.75,2.82,2.67,2.85,0.0,0.0,600003
04/22/2019,2.74,2.75,2.65,2.76,0.0,0.0,776003
04/18/2019,2.69,2.72,2.6,2.755,0.0,0.0,649793
04/17/2019,2.8,2.71,2.66,2.8,0.0,0.0,1194055
04/16/2019,2.79,2.78,2.72,2.83,0.0,0.0,555452
