Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,25.5,25.87,25.43,26.11,0.0,0.0,3872071
07/11/2019,25.15,25.43,25.08,25.46,0.0,0.0,4679868
07/10/2019,24.71,25.08,24.71,25.135,0.0,0.0,5149874
07/09/2019,24.3,24.59,24.249,24.74,0.0,0.0,2968727
07/08/2019,24.47,24.43,24.33,24.66,0.0,0.0,2938029
07/05/2019,24.6,24.64,24.465,24.79,0.0,0.0,2576404
07/03/2019,24.81,24.78,24.53,24.99,0.0,0.0,2795173
07/02/2019,24.26,24.68,24.1,24.79,0.0,0.0,6919727
07/01/2019,24.5,24.23,24.02,24.68,0.0,0.0,4883223
06/28/2019,24.16,24.35,23.99,24.5,0.0,0.0,23134160
06/27/2019,23.54,24.07,23.45,24.08,0.0,0.0,4504551
06/26/2019,23.57,23.55,23.365,23.715,0.0,0.0,3325759
06/25/2019,23.27,23.5,23.14,23.66,0.0,0.0,4839404
06/24/2019,23.44,23.37,23.23,23.63,0.0,0.0,3522598
06/21/2019,23.63,23.35,23.33,23.85,0.0,0.0,4140041
06/20/2019,24.36,23.91,23.865,24.44,0.0,0.0,3855287
06/19/2019,23.89,24.06,23.59,24.1,0.0,0.0,5172335
06/18/2019,23.52,23.85,23.46,24.04,0.0,0.0,6919233
06/17/2019,23,23.26,22.83,23.535,0.0,0.0,5256923
06/14/2019,23.65,23.8,23.25,23.99,0.0,0.0,4264821
06/13/2019,23.63,23.66,23.53,24.01,0.0,0.0,5271752
06/12/2019,24.42,23.43,23.33,24.48,0.0,0.0,8896278
06/11/2019,24.74,24.4,23.84,24.86,0.0,0.0,10354620
06/10/2019,24.99,24.74,24.605,25,0.0,0.0,8672639
06/07/2019,24.3,24.71,24.01,24.9,0.0,0.0,13510880
06/06/2019,24.77,25.03,24.71,25.15,0.0,0.0,4841814
06/05/2019,24.9,24.62,24.555,24.91,0.0,0.0,3243097
06/04/2019,24.5,24.8,24.46,24.92,0.0,0.0,2583437
06/03/2019,23.48,24.11,23.41,24.185,0.0,0.0,4160880
05/31/2019,23.67,23.49,23.41,23.88,0.0,0.0,4647022
05/30/2019,24.21,24.03,23.94,24.51,0.0,0.0,2559164
05/29/2019,24.09,24.14,24,24.33,0.0,0.0,3867373
05/28/2019,24.48,24.17,24.08,24.7,0.0,0.0,12038810
05/24/2019,24.7,24.4,24.38,24.89,0.0,0.0,2518842
05/23/2019,24.5,24.49,24.19,24.63,0.0,0.0,2444798
05/22/2019,25,24.78,24.73,25.14,0.0,0.0,2668376
05/21/2019,24.44,25.01,24.43,25.075,0.0,0.0,3148929
05/20/2019,24.53,24.26,23.79,24.59,0.0,0.0,4443090
05/17/2019,24.19,24.6,24.16,24.69,0.0,0.0,3096868
05/16/2019,24.1,24.31,23.93,24.645,0.0,0.0,3788919
05/15/2019,23.38,24.02,23.22,24.115,0.0,0.0,3608878
05/14/2019,23.59,23.58,23.4,23.92,0.0,0.0,4947489
05/13/2019,24.03,23.4,23.4,24.18,0.0,0.0,5610395
05/10/2019,24.33,24.53,24.11,24.73,0.0,0.0,3159725
05/09/2019,24.13,24.55,23.68,24.57,0.0,0.0,3600621
05/08/2019,23.99,24.39,23.89,24.895,0.0,0.0,4489303
05/07/2019,24.23,23.95,23.67,24.42,0.0,0.0,4034635
05/06/2019,23.73,24.47,23.73,24.58,0.0,0.0,4395064
05/03/2019,23.2,24.5,23.2,24.66,0.0,0.0,8014373
05/02/2019,23.21,22.95,22.79,23.31,0.0,0.0,4105073
05/01/2019,23.65,23.19,23.16,23.7,0.0,0.0,2624719
04/30/2019,23.63,23.56,23.2,24.05,0.0,0.0,4735649
04/29/2019,23.33,23.66,23.13,23.77,0.0,0.0,3779970
04/26/2019,23.4,23.32,23.17,23.5,0.0,0.0,3084161
04/25/2019,23.48,23.29,23.28,23.68,0.0,0.0,3122391
04/24/2019,23.21,23.25,23.17,23.45,0.0,0.0,2493972
04/23/2019,23.21,23.2,22.89,23.41,0.0,0.0,3193003
04/22/2019,23.05,23.21,23.03,23.28,0.0,0.0,1859897
04/18/2019,23.25,23.16,23.01,23.37,0.0,0.0,2632094
04/17/2019,23.53,23.26,23.15,23.54,0.0,0.0,1770258
04/16/2019,23.42,23.53,23.3,23.735,0.0,0.0,4521693
04/15/2019,23.31,23.33,23.2501,23.79,0.0,0.0,4819897
04/12/2019,23,23.24,22.715,23.32,0.0,0.0,4523978
