Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,13.22,13.05,13.05,13.2973,0.0,0.0,5346
07/15/2019,13.19,13.1,13.05,13.3,0.0,0.0,11109
07/12/2019,13.23,13.28,13.2,13.42,0.0,0.0,25174
07/11/2019,13.2839,13.3499,13.25,13.35,0.0,0.0,6270
07/10/2019,13.2745,13.4,13.2745,13.455,0.0,0.0,2146
07/09/2019,13.419,13.59,13.19,13.69,0.0,0.0,2952
07/08/2019,13.895,13.36,13.36,13.895,0.0,0.0,2348
07/05/2019,13.48,13.3315,13,13.48,0.0,0.0,4161
07/03/2019,13.255,13.7002,13.255,13.705,0.0,0.0,1883
07/02/2019,13.25,13.25,13.25,13.25,0.0,0.0,393
07/01/2019,13.25,13.2459,13.2459,13.5,0.0,0.0,5202
06/28/2019,13.5,13.7,13.22,13.7,0.0,0.0,6097
06/27/2019,13.111,13.01,12.965,13.31,0.0,0.0,27735
06/26/2019,13.031,13.22,12.951,13.275,0.0,0.0,2713
06/25/2019,13.16,13.07,13.07,13.165,0.0,0.0,2237
06/24/2019,12.93,12.93,12.93,12.93,0.0,0.0,413
06/21/2019,12.85,13.27,12.85,13.27,0.0,0.0,5144
06/20/2019,13.28,13,12.88,13.28,0.0,0.0,6631
06/19/2019,12.98,13.27,12.8,13.27,0.0,0.0,4990
06/18/2019,12.94,13.03,12.82,13.24,0.0,0.0,1083
06/17/2019,12.85,13.03,12.85,13.0411,0.0,0.0,3448
06/14/2019,13.39,12.92,12.76,13.39,0.0,0.0,10564
06/13/2019,12.9,13.014,12.9,13.0598,0.0,0.0,1888
06/12/2019,13.21,13.15,12.99,13.21,0.0,0.0,4701
06/11/2019,13.27,13.21,13.05,13.2908,0.0,0.0,25823
06/10/2019,12.9935,12.9935,12.9935,12.9935,0.0,0.0,1102
06/07/2019,12.71,12.65,12.63,12.7995,0.0,0.0,6179
06/06/2019,12.83,12.75,12.41,12.99,0.0,0.0,1105
06/05/2019,13.1,12.72,12.7101,13.1159,0.0,0.0,7253
06/04/2019,12.93,13.135,12.93,13.135,0.0,0.0,710
06/03/2019,13.23,12.98,12.842,13.4942,0.0,0.0,7093
05/31/2019,13.0506,13.39,13.0506,13.41,0.0,0.0,6348
05/30/2019,12.92,13.4,12.57,13.5,0.0,0.0,7807
05/29/2019,12.5,12.83,12.5,13.19,0.0,0.0,18014
05/28/2019,12.52,12.47,12.47,12.699,0.0,0.0,8505
05/24/2019,12.9,12.51,12.35,12.9,0.0,0.0,3484
05/23/2019,12.52,12.65,12.39,12.88,0.0,0.0,5272
05/22/2019,12.8,12.86,12.77,12.926,0.0,0.0,2346
05/21/2019,12.44,12.76,12.44,13,0.0,0.0,12166
05/20/2019,12.985,12.52,12.52,13.1501,0.0,0.0,8247
05/17/2019,13.16,13.21,13,13.28,0.0,0.0,30649
05/16/2019,13.26,13.13,12.91,13.74,0.0,0.0,15443
05/15/2019,13.3,13.3,13,13.3876,0.0,0.0,19001
05/14/2019,13.1,13.32,13.1,13.3673,0.0,0.0,2052
05/13/2019,13.27,13.39,12.9493,13.5,0.0,0.0,8012
05/10/2019,13.11,13.4091,13,13.47,0.0,0.0,11398
05/09/2019,13.58,13.25,13.13,13.58,0.0,0.0,5530
05/08/2019,13.37,13.55,13.2002,13.7,0.0,0.0,24863
05/07/2019,13,13.54,13,13.56,0.0,0.0,8175
05/06/2019,13.56,13.51,13.4243,14.1317,0.0,0.0,35678
05/03/2019,13.45,13.6,13.2592,14.15,0.0,0.0,11937
05/02/2019,13.34,13.64,13.25,13.64,0.0,0.0,4494
05/01/2019,13.65,13.5,13.44,13.65,0.0,0.0,4192
04/30/2019,13.59,13.6226,13.2,13.64,0.0,0.0,10208
04/29/2019,13.67,13.671,13.5,13.7076,0.0,0.0,10061
04/26/2019,13.88,13.765,13.7,13.88,0.0,0.0,3082
04/25/2019,13.87,13.91,13.8,13.919,0.0,0.0,3433
04/24/2019,13.93,14.1399,13.93,14.1399,0.0,0.0,1575
04/23/2019,14.265,13.93,13.6,14.265,0.0,0.0,6773
04/22/2019,13.8436,13.9,13.8436,14.2375,0.0,0.0,2701
04/18/2019,13.9,14.13,13.86,14.225,0.0,0.0,6523
04/17/2019,14.315,13.75,13.6,14.315,0.0,0.0,22348
04/16/2019,14.465,14.15,14.15,14.465,0.0,0.0,633
