Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,57.13,58.43,57.13,58.92,0.0,0.0,85314
07/11/2019,57.48,57.11,56.75,57.64,0.0,0.0,67184
07/10/2019,58.52,57.44,57.33,58.87,0.0,0.0,87231
07/09/2019,57.96,58.11,57.48,58.59,0.0,0.0,96629
07/08/2019,59.24,58.45,58.03,59.43,0.0,0.0,77100
07/05/2019,59.04,59.58,58.43,59.77,0.0,0.0,61465
07/03/2019,58.74,59.47,58.42,59.47,0.0,0.0,42705
07/02/2019,59.67,58.53,58.01,59.67,0.0,0.0,128198
07/01/2019,60.95,59.61,59.17,60.95,0.0,0.0,175012
06/28/2019,58.91,59.71,58.31,59.91,0.0,0.0,441208
06/27/2019,57.96,58.92,57.76,58.92,0.0,0.0,114357
06/26/2019,58.21,57.95,57.93,59.18,0.0,0.0,148466
06/25/2019,57.31,57.69,57.115,58.2,0.0,0.0,120780
06/24/2019,58.66,57.36,57.36,59.06,0.0,0.0,138532
06/21/2019,58.22,58.56,57.2,59.23,0.0,0.0,242907
06/20/2019,59.13,58.3,58.25,59.18,0.0,0.0,99805
06/19/2019,58.43,58,57.61,58.65,0.0,0.0,110444
06/18/2019,57.58,58.29,57.58,59.15,0.0,0.0,93465
06/17/2019,56.91,56.95,56.9,57.67,0.0,0.0,148071
06/14/2019,57.1,57,56.61,57.21,0.0,0.0,82476
06/13/2019,57.39,57.49,56.88,57.58,0.0,0.0,123330
06/12/2019,56.73,57,56.73,57.49,0.0,0.0,78221
06/11/2019,58.39,57.05,56.98,58.67,0.0,0.0,127022
06/10/2019,57.38,57.69,57.38,58.29,0.0,0.0,74301
06/07/2019,56.57,56.8,56.41,57.055,0.0,0.0,127839
06/06/2019,56.21,56.17,55.3704,56.45,0.0,0.0,80452
06/05/2019,56.31,56.26,54.66,56.31,0.0,0.0,106008
06/04/2019,54.77,56.11,54.77,56.12,0.0,0.0,93945
06/03/2019,53.37,53.89,53.33,54.445,0.0,0.0,123260
05/31/2019,53.8,53.36,52.94,53.8,0.0,0.0,161526
05/30/2019,55.63,54.92,54.37,55.775,0.0,0.0,117367
05/29/2019,54.85,55.45,54.48,55.66,0.0,0.0,130266
05/28/2019,56.85,55.7,55.67,57.225,0.0,0.0,113571
05/24/2019,56.65,56.54,56.02,56.65,0.0,0.0,126919
05/23/2019,56.07,55.93,55,56.22,0.0,0.0,142063
05/22/2019,57.9,57.09,57.04,58.135,0.0,0.0,79328
05/21/2019,57.84,58.37,57.69,58.72,0.0,0.0,90674
05/20/2019,56.95,57.21,56.58,57.66,0.0,0.0,153674
05/17/2019,57.45,57.72,57.26,58.63,0.0,0.0,155616
05/16/2019,57.98,58.23,57.8,58.95,0.0,0.0,226117
05/15/2019,57.35,57.92,57.2174,58.21,0.0,0.0,131335
05/14/2019,57.52,58.12,57.24,58.52,0.0,0.0,156859
05/13/2019,57.93,57.17,57,58.525,0.0,0.0,113802
05/10/2019,59.66,59.96,58.23,60.14,0.0,0.0,156158
05/09/2019,59.33,59.89,58.24,60.32,0.0,0.0,174376
05/08/2019,61.6,60.31,60.3,61.92,0.0,0.0,167008
05/07/2019,61.72,61.7,61.04,62.425,0.0,0.0,146638
05/06/2019,61.79,62.83,61.37,62.87,0.0,0.0,154331
05/03/2019,61.62,63.91,61.62,63.92,0.0,0.0,193369
05/02/2019,62.1,61.41,60.715,62.405,0.0,0.0,173224
05/01/2019,63.14,62.09,61.975,63.26,0.0,0.0,258244
04/30/2019,62.4,62.87,61.5,63.21,0.0,0.0,213766
04/29/2019,61.9,62.31,61.85,62.935,0.0,0.0,150376
04/26/2019,60.02,61.81,59.95,61.86,0.0,0.0,149489
04/25/2019,62.78,60.11,60.04,62.78,0.0,0.0,203878
04/24/2019,65.55,62.7,62.13,65.55,0.0,0.0,390597
04/23/2019,64.72,66.71,64.72,68.96,0.0,0.0,406742
04/22/2019,60.8,60.94,60.25,61.31,0.0,0.0,133532
04/18/2019,61.66,61.36,61.1,62.13,0.0,0.0,115063
04/17/2019,61.79,61.87,61.04,62.05,0.0,0.0,112786
04/16/2019,61.11,61.38,60.74,61.62,0.0,0.0,86840
04/15/2019,60.81,60.75,60.1,60.81,0.0,0.0,82502
04/12/2019,60.54,60.73,59.96,60.89,0.0,0.0,83584
