Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,19.63,19.62,19.46,19.87,0.0,0.0,292354
07/15/2019,20.47,19.7,19.33,20.59,0.0,0.0,424607
07/12/2019,20.38,20.46,20.32,22.1,0.0,0.0,621862
07/11/2019,20.1,20.19,19.93,20.26,0.0,0.0,318594
07/10/2019,20.12,20.01,19.5589,20.18,0.0,0.0,215064
07/09/2019,19.87,20,19.83,20.195,0.0,0.0,187667
07/08/2019,19.78,19.87,19.5,20.05,0.0,0.0,254661
07/05/2019,19.66,19.89,19.54,19.93,0.0,0.0,248639
07/03/2019,19.83,19.83,19.77,20.33,0.0,0.0,147143
07/02/2019,19.87,19.73,19.66,20.09,0.0,0.0,211190
07/01/2019,20.06,19.92,19.55,20.17,0.0,0.0,307801
06/28/2019,19.56,19.8,19.09,19.9,0.0,0.0,455575
06/27/2019,19.64,19.49,19.27,20.12,0.0,0.0,374825
06/26/2019,19.63,19.6,19.16,20,0.0,0.0,757889
06/25/2019,19.45,19.42,19.18,19.75,0.0,0.0,339008
06/24/2019,19.53,19.45,19.24,19.75,0.0,0.0,228350
06/21/2019,19.6,19.61,19.19,19.78,0.0,0.0,676671
06/20/2019,20.1,19.77,19.76,20.35,0.0,0.0,226422
06/19/2019,19.6,19.83,18.69,20.17,0.0,0.0,602446
06/18/2019,21.08,19.53,19.47,21.465,0.0,0.0,491161
06/17/2019,20.57,20.99,20.18,21,0.0,0.0,369839
06/14/2019,20.06,20.25,19.8,20.44,0.0,0.0,253633
06/13/2019,19.83,20.09,19.66,20.3,0.0,0.0,275269
06/12/2019,18.41,19.68,18.41,19.97,0.0,0.0,651709
06/11/2019,19.45,18.5,17.96,19.525,0.0,0.0,1144987
06/10/2019,20.68,19.32,19.22,20.89,0.0,0.0,733482
06/07/2019,21.24,20.6,20.49,21.4074,0.0,0.0,273741
06/06/2019,22.24,21.1,21,22.24,0.0,0.0,367989
06/05/2019,22.3,22.24,21.98,22.94,0.0,0.0,296891
06/04/2019,21.43,22.16,21.2,22.16,0.0,0.0,231464
06/03/2019,20.71,21.09,20.665,21.72,0.0,0.0,321045
05/31/2019,20.83,20.93,20.58,21.39,0.0,0.0,231718
05/30/2019,21.51,21.24,21.09,21.95,0.0,0.0,369488
05/29/2019,21.06,21.45,20.54,21.66,0.0,0.0,291094
05/28/2019,21.25,21.25,20.7825,21.32,0.0,0.0,263351
05/24/2019,21.12,21.33,20.9,21.84,0.0,0.0,223107
05/23/2019,21.31,21.01,20.73,21.36,0.0,0.0,247451
05/22/2019,21.55,21.6,20.99,21.84,0.0,0.0,218464
05/21/2019,20.48,21.67,20.25,21.75,0.0,0.0,365696
05/20/2019,20.16,20.51,19.475,20.66,0.0,0.0,630098
05/17/2019,21.84,20.43,20.18,22.16,0.0,0.0,591084
05/16/2019,22.95,22.15,21.97,23.29,0.0,0.0,447004
05/15/2019,22.71,22.99,22.51,23.46,0.0,0.0,344177
05/14/2019,23.18,22.98,22.95,23.49,0.0,0.0,758179
05/13/2019,22.95,23.11,22.36,23.48,0.0,0.0,334286
05/10/2019,23.85,23.48,21.47,24.15,0.0,0.0,649654
05/09/2019,24.31,23.92,22.34,24.97,0.0,0.0,1217363
05/08/2019,24.27,23.02,21.77,24.2731,0.0,0.0,954549
05/07/2019,24.77,24.44,24.33,25.1622,0.0,0.0,467009
05/06/2019,24.8,24.97,24.3975,25.34,0.0,0.0,417728
05/03/2019,24.7,25.47,24.5,25.84,0.0,0.0,356118
05/02/2019,23.75,24.7,23.02,24.78,0.0,0.0,364427
05/01/2019,23.69,23.95,23.475,24.77,0.0,0.0,693140
04/30/2019,21.87,23.48,21.86,23.52,0.0,0.0,714518
04/29/2019,21.8,21.75,21.58,21.99,0.0,0.0,225217
04/26/2019,21.36,21.8,21.06,22.155,0.0,0.0,420205
04/25/2019,21.24,21.39,20.97,21.62,0.0,0.0,175136
04/24/2019,20.73,21.24,20.29,21.33,0.0,0.0,225034
04/23/2019,20.18,20.65,19.722,20.99,0.0,0.0,229237
04/22/2019,20.71,20.19,19.88,21.575,0.0,0.0,369308
04/18/2019,20.91,20.84,19.5,21.11,0.0,0.0,474291
04/17/2019,22.2,21,20.23,22.2,0.0,0.0,706827
04/16/2019,21.47,22.1,21.24,22.26,0.0,0.0,447060
