Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,29.54,29.56,29.18,29.72,0.0,0.0,1191996
07/11/2019,29.45,29.38,29.15,29.505,0.0,0.0,1461663
07/10/2019,30.02,29.4,29.35,30.02,0.0,0.0,1195402
07/09/2019,29.9,29.81,29.6,30.01,0.0,0.0,1840133
07/08/2019,30.16,30.05,29.985,30.315,0.0,0.0,1918118
07/05/2019,30.25,30.29,30.05,30.38,0.0,0.0,982602
07/03/2019,30.4,30.43,30.17,30.5,0.0,0.0,651485
07/02/2019,30.36,30.3,30.08,30.38,0.0,0.0,1039819
07/01/2019,30.22,30.35,29.93,30.53,0.0,0.0,1796148
06/28/2019,29.93,29.77,29.625,30.15,0.0,0.0,4584703
06/27/2019,29.95,29.94,29.77,30.22,0.0,0.0,2248654
06/26/2019,30.65,29.91,29.9,30.72,0.0,0.0,3185079
06/25/2019,30.17,30.64,30.02,30.695,0.0,0.0,2907300
06/24/2019,30.48,30.16,29.945,30.67,0.0,0.0,6138751
06/21/2019,29.82,29.99,29.53,30.14,0.0,0.0,3261976
06/20/2019,29.39,29.79,29.13,29.98,0.0,0.0,5562961
06/19/2019,29.65,29.33,28.8331,29.8,0.0,0.0,16820160
06/18/2019,25.93,25.82,25.76,26.13,0.0,0.0,1542045
06/17/2019,26.09,25.8,25.77,26.105,0.0,0.0,1027076
06/14/2019,26.11,26.08,25.84,26.19,0.0,0.0,1343726
06/13/2019,25.87,26.18,25.63,26.18,0.0,0.0,3625419
06/12/2019,25.7,25.68,25.455,25.82,0.0,0.0,1115310
06/11/2019,25.64,25.69,25.56,25.88,0.0,0.0,2681572
06/10/2019,25.67,25.39,25.345,25.86,0.0,0.0,3251750
06/07/2019,25.57,25.41,25.33,25.71,0.0,0.0,2639886
06/06/2019,25.45,25.5,25.275,25.625,0.0,0.0,1949502
06/05/2019,25.46,25.46,25.03,25.53,0.0,0.0,3577641
06/04/2019,24.66,25.36,24.41,25.41,0.0,0.0,3028994
06/03/2019,23.45,24.16,23.34,24.2,0.0,0.0,3460862
05/31/2019,23.83,23.51,23.49,23.89,0.0,0.0,2508216
05/30/2019,24.14,24.15,24.04,24.41,0.0,0.0,1449983
05/29/2019,24.25,24.19,23.97,24.25,0.0,0.0,1283880
05/28/2019,24.49,24.37,24.27,24.66,0.0,0.0,2282344
05/24/2019,24.81,24.48,24.39,24.81,0.0,0.0,1435330
05/23/2019,24.69,24.62,24.5,24.965,0.0,0.0,1261658
05/22/2019,25.08,24.98,24.83,25.08,0.0,0.0,1616457
05/21/2019,24.91,25.08,24.82,25.21,0.0,0.0,2638672
05/20/2019,25.38,24.75,24.605,25.56,0.0,0.0,3373482
05/17/2019,25.46,25.67,25.46,25.945,0.0,0.0,1756703
05/16/2019,25.63,25.62,25.44,25.775,0.0,0.0,2855540
05/15/2019,25.23,25.52,25.06,25.63,0.0,0.0,1804949
05/14/2019,25.44,25.44,25.33,25.6,0.0,0.0,2102743
05/13/2019,25.39,25.4,25.23,25.52,0.0,0.0,1942626
05/10/2019,25.9,25.95,25.5,26.09,0.0,0.0,2530404
05/09/2019,25.58,25.98,25.51,26.107,0.0,0.0,2862347
05/08/2019,25.94,25.92,25.83,26.195,0.0,0.0,2019313
05/07/2019,26.45,26.04,25.9,26.62,0.0,0.0,2144227
05/06/2019,26.38,26.71,26.21,26.77,0.0,0.0,1590186
05/03/2019,26.53,26.89,26.45,26.925,0.0,0.0,1299498
05/02/2019,26.55,26.45,25.99,26.57,0.0,0.0,2625518
05/01/2019,26.94,26.64,26.43,27.08,0.0,0.0,2133453
04/30/2019,27.26,26.98,26.86,27.26,0.0,0.0,2329599
04/29/2019,27.25,27.15,27.01,27.3,0.0,0.0,2207538
04/26/2019,26.39,27.15,26.39,27.21,0.0,0.0,2461096
04/25/2019,26.65,26.75,26.07,26.84,0.0,0.0,3484496
04/24/2019,27.8,26.5,26.49,28.15,0.0,0.0,4234138
04/23/2019,27.66,27.67,27.55,28.005,0.0,0.0,2963326
04/22/2019,27.95,27.61,27.53,27.95,0.0,0.0,921518
04/18/2019,28.14,28.01,27.72,28.45,0.0,0.0,3336058
04/17/2019,27.57,27.51,27.47,27.92,0.0,0.0,2134903
04/16/2019,27.53,27.5,27.15,27.53,0.0,0.0,2159975
04/15/2019,27.11,27.52,27.07,27.56,0.0,0.0,2416558
04/12/2019,27.18,27.13,26.93,27.24,0.0,0.0,1706586
