Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,22.198,21.8101,21.8101,22.25,0.0,0.0,10684
07/15/2019,22.42,22.2293,21.72,22.42,0.0,0.0,8268
07/12/2019,21.9,21.76,21.76,22.035,0.0,0.0,6547
07/11/2019,22.3,22.15,21.95,22.3,0.0,0.0,4798
07/10/2019,22.1,22.25,21.7501,22.25,0.0,0.0,6142
07/09/2019,21.7,22.3,21.7,22.3,0.0,0.0,5141
07/08/2019,21.61,21.9,21.6,21.9,0.0,0.0,16293
07/05/2019,21.5301,21.65,21.5301,22,0.0,0.0,9100
07/03/2019,21.76,21.84,21.76,22,0.0,0.0,1992
07/02/2019,21.8,21.69,21.6608,21.9,0.0,0.0,5566
07/01/2019,21.69,21.8,21.69,22,0.0,0.0,6401
06/28/2019,21.76,21.805,21.69,22,0.0,0.0,7602
06/27/2019,21.7583,21.65,21.53,22.0576,0.0,0.0,8079
06/26/2019,22.13,21.64,21.56,22.35,0.0,0.0,26274
06/25/2019,21.73,21.9,21.575,22.1468,0.0,0.0,20902
06/24/2019,21.91,21.8,21.5819,21.91,0.0,0.0,15556
06/21/2019,21.51,21.8207,21.51,21.9098,0.0,0.0,3323
06/20/2019,21.713,21.52,21.52,21.872,0.0,0.0,10694
06/19/2019,21.68,21.832,21.5,21.9203,0.0,0.0,17807
06/18/2019,21.94,22.0999,21.8,22.0999,0.0,0.0,12059
06/17/2019,21.997,21.89,21.73,21.997,0.0,0.0,7653
06/14/2019,21.99,22,21.99,22,0.0,0.0,855
06/13/2019,21.979,21.72,21.62,21.98,0.0,0.0,7050
06/12/2019,21.7,21.56,21.55,21.95,0.0,0.0,6855
06/11/2019,21.67,21.64,21.6,21.9168,0.0,0.0,6182
06/10/2019,21.62,21.57,21.5675,21.8076,0.0,0.0,5096
06/07/2019,21.6432,21.9,21.6432,22,0.0,0.0,4264
06/06/2019,21.575,21.5512,21.5,21.6984,0.0,0.0,7659
06/05/2019,21.694,21.55,21.5,21.8,0.0,0.0,4891
06/04/2019,21.75,21.6,21.6,22,0.0,0.0,5130
06/03/2019,21.6982,21.63,21.56,21.7,0.0,0.0,5100
05/31/2019,21.73,21.7651,21.5501,21.98,0.0,0.0,14862
05/30/2019,21.86,21.85,21.703,21.99,0.0,0.0,5539
05/29/2019,21.85,21.99,21.8,22,0.0,0.0,4103
05/28/2019,21.711,21.8545,21.711,21.99,0.0,0.0,4098
05/24/2019,21.85,21.8428,21.8414,21.98,0.0,0.0,7722
05/23/2019,21.8814,21.8939,21.71,21.9853,0.0,0.0,6512
05/22/2019,21.81,21.99,21.71,22,0.0,0.0,6078
05/21/2019,21.81,21.79,21.71,21.8995,0.0,0.0,3499
05/20/2019,21.76,21.7569,21.6034,22,0.0,0.0,5538
05/17/2019,21.7,21.7485,21.6933,21.7583,0.0,0.0,3944
05/16/2019,21.99,21.65,21.5,21.99,0.0,0.0,10931
05/15/2019,21.96,21.99,21.91,22,0.0,0.0,9988
05/14/2019,21.99,21.91,21.85,21.99,0.0,0.0,5864
05/13/2019,21.88,21.88,21.88,21.959,0.0,0.0,4966
05/10/2019,21.98,21.88,21.75,22,0.0,0.0,8222
05/09/2019,21.6,21.9685,21.6,21.9686,0.0,0.0,2695
05/08/2019,21.72,21.98,21.68,21.98,0.0,0.0,2723
05/07/2019,21.61,21.8,21.55,21.98,0.0,0.0,15520
05/06/2019,21.7,21.58,21.55,21.87,0.0,0.0,10970
05/03/2019,21.56,21.7,21.56,21.832,0.0,0.0,5158
05/02/2019,21.65,21.9,21.55,21.942,0.0,0.0,6231
05/01/2019,21.92,21.88,21.55,21.92,0.0,0.0,6837
04/30/2019,21.85,21.95,21.61,21.98,0.0,0.0,6244
04/29/2019,21.57,21.8,21.57,21.8,0.0,0.0,10428
04/26/2019,21.6,21.56,21.56,22,0.0,0.0,10424
04/25/2019,21.56,21.57,21.56,22,0.0,0.0,5096
04/24/2019,21.84,21.58,21.51,21.84,0.0,0.0,9757
04/23/2019,21.99,21.935,21.41,22.0071,0.0,0.0,11097
04/22/2019,21.88,22,21.88,22,0.0,0.0,7475
04/18/2019,21.84,22,21.84,22,0.0,0.0,4573
04/17/2019,21.71,21.8705,21.635,22.01,0.0,0.0,15027
04/16/2019,21.82,21.6925,21.42,21.82,0.0,0.0,2386
