Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,23.6,23.57,23.53,23.64,0.0,0.0,126848
07/11/2019,23.6,23.69,23.6,23.6981,0.0,0.0,127665
07/10/2019,23.63,23.66,23.56,23.67,0.0,0.0,124680
07/09/2019,23.64,23.63,23.52,23.64,0.0,0.0,72898
07/08/2019,23.74,23.66,23.62,23.74,0.0,0.0,177759
07/05/2019,23.57,23.71,23.54,23.73,0.0,0.0,114037
07/03/2019,23.7,23.75,23.6,23.8,0.0,0.0,92808
07/02/2019,23.79,23.74,23.6366,23.82,0.0,0.0,112861
07/01/2019,23.79,23.86,23.6319,23.86,0.0,0.0,118378
06/28/2019,23.58,23.72,23.5,23.72,0.0,0.0,179396
06/27/2019,23.44,23.54,23.33,23.55,0.0,0.0,125165
06/26/2019,23.39,23.4,23.32,23.4598,0.0,0.0,98636
06/25/2019,23.35,23.36,23.31,23.46,0.0,0.0,142308
06/24/2019,23.3,23.33,23.23,23.3631,0.0,0.0,122288
06/21/2019,23.3,23.28,23.24,23.3298,0.0,0.0,98598
06/20/2019,23.27,23.3,23.21,23.35,0.0,0.0,123879
06/19/2019,23.22,23.18,23.14,23.2434,0.0,0.0,161139
06/18/2019,23.39,23.25,23.21,23.4296,0.0,0.0,226824
06/17/2019,23.2,23.24,23.09,23.29,0.0,0.0,265987
06/14/2019,23.23,23.22,23.19,23.29,0.0,0.0,168203
06/13/2019,23.34,23.21,23.14,23.4,0.0,0.0,282132
06/12/2019,23.46,23.45,23.39,23.6,0.0,0.0,175359
06/11/2019,23.75,23.46,23.43,23.76,0.0,0.0,272531
06/10/2019,23.68,23.73,23.68,23.8,0.0,0.0,119011
06/07/2019,23.73,23.72,23.67,23.8,0.0,0.0,122937
06/06/2019,23.62,23.72,23.62,23.78,0.0,0.0,105979
06/05/2019,23.63,23.69,23.6,23.755,0.0,0.0,99079
06/04/2019,23.62,23.67,23.5776,23.8,0.0,0.0,221902
06/03/2019,23.57,23.69,23.49,23.7,0.0,0.0,154578
05/31/2019,23.45,23.47,23.2849,23.58,0.0,0.0,154118
05/30/2019,23.57,23.35,23.26,23.57,0.0,0.0,227767
05/29/2019,23.32,23.46,23.32,23.6,0.0,0.0,159918
05/28/2019,23.41,23.39,23.38,23.65,0.0,0.0,173998
05/24/2019,23.36,23.42,23.355,23.4698,0.0,0.0,115579
05/23/2019,23.23,23.31,23.19,23.42,0.0,0.0,131186
05/22/2019,23.17,23.23,23.16,23.3298,0.0,0.0,81261
05/21/2019,23.09,23.21,23.08,23.2937,0.0,0.0,130952
05/20/2019,23.21,23.13,23.11,23.25,0.0,0.0,100738
05/17/2019,23.14,23.18,23.1,23.25,0.0,0.0,112873
05/16/2019,23.13,23.14,23.08,23.14,0.0,0.0,81537
05/15/2019,23.21,23.13,23.1,23.22,0.0,0.0,85788
05/14/2019,22.94,23.17,22.94,23.18,0.0,0.0,104582
05/13/2019,23.03,23.03,22.99,23.03,0.0,0.0,163370
05/10/2019,22.98,23.03,22.98,23.055,0.0,0.0,102669
05/09/2019,23.1,23,22.97,23.1,0.0,0.0,105657
05/08/2019,23.08,23.07,23.02,23.1,0.0,0.0,70058
05/07/2019,23.08,23.06,23.06,23.1,0.0,0.0,105560
05/06/2019,23,23.08,23,23.1,0.0,0.0,80867
05/03/2019,23,23.06,22.96,23.0672,0.0,0.0,106814
05/02/2019,22.87,22.96,22.84,23.05,0.0,0.0,131752
05/01/2019,22.95,22.94,22.8,23.05,0.0,0.0,181916
04/30/2019,22.84,22.85,22.7701,22.93,0.0,0.0,137994
04/29/2019,22.82,22.78,22.7335,22.83,0.0,0.0,78243
04/26/2019,22.7,22.88,22.58,22.89,0.0,0.0,78866
04/25/2019,22.49,22.71,22.45,22.739,0.0,0.0,102371
04/24/2019,22.6,22.49,22.49,22.6698,0.0,0.0,93242
04/23/2019,22.51,22.55,22.5001,22.6397,0.0,0.0,118097
04/22/2019,22.41,22.5,22.41,22.5784,0.0,0.0,77016
04/18/2019,22.45,22.5,22.34,22.6187,0.0,0.0,77826
04/17/2019,22.33,22.43,22.2,22.4611,0.0,0.0,146769
04/16/2019,22.77,22.36,22.3,22.8099,0.0,0.0,326044
04/15/2019,22.82,22.76,22.7015,22.87,0.0,0.0,86988
04/12/2019,22.79,22.82,22.6715,22.86,0.0,0.0,144604
