Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,73.95,74.77,73.95,75.22,0.0,0.0,2262560
07/11/2019,71.97,73.75,71.71,73.76,0.0,0.0,2415737
07/10/2019,72.05,71.93,71.31,72.2251,0.0,0.0,2687631
07/09/2019,71.67,71.86,71.5,72.32,0.0,0.0,3624519
07/08/2019,72.13,72,71.51,73.145,0.0,0.0,2527547
07/05/2019,71.73,71.89,71.27,72.14,0.0,0.0,1422889
07/03/2019,71.9,71.97,71.7762,72.28,0.0,0.0,1338770
07/02/2019,72.43,71.64,70.98,72.51,0.0,0.0,2116895
07/01/2019,71.24,72.43,70.91,73.65,0.0,0.0,4001186
06/28/2019,68.16,69.73,68.16,69.82,0.0,0.0,3051942
06/27/2019,68.4,68.47,68.01,68.59,0.0,0.0,1679878
06/26/2019,67.14,68.14,66.73,68.7,0.0,0.0,2453239
06/25/2019,67.53,66.39,66.255,68,0.0,0.0,1963908
06/24/2019,67.51,67.47,66.82,67.71,0.0,0.0,1472402
06/21/2019,68.36,67.54,67.21,68.5,0.0,0.0,2868327
06/20/2019,68.26,68.39,67.33,68.51,0.0,0.0,1741349
06/19/2019,68.69,67.62,67.31,69,0.0,0.0,2750461
06/18/2019,66.94,68.65,66.72,69.71,0.0,0.0,3482585
06/17/2019,65.8,66.63,65.63,66.905,0.0,0.0,1968647
06/14/2019,65.98,66.03,64.95,66.29,0.0,0.0,2148015
06/13/2019,64.81,65.84,64.81,65.86,0.0,0.0,1619729
06/12/2019,65.07,64.45,64.36,65.38,0.0,0.0,1555008
06/11/2019,65.49,65.52,64.82,66.04,0.0,0.0,2212076
06/10/2019,64.58,65.19,63.94,66.045,0.0,0.0,3210544
06/07/2019,62.63,63.72,62.54,64.13,0.0,0.0,2655159
06/06/2019,63.04,62.3,61.58,63.41,0.0,0.0,2605502
06/05/2019,64.16,63.22,62.92,64.86,0.0,0.0,2481456
06/04/2019,64.01,63.94,63.83,64.8,0.0,0.0,2819779
06/03/2019,62.39,63.22,62.22,63.76,0.0,0.0,3851456
05/31/2019,63.81,62.67,62.37,64.01,0.0,0.0,3542942
05/30/2019,65.24,65.01,64.41,65.49,0.0,0.0,3604856
05/29/2019,64.66,64.54,63.4,65.64,0.0,0.0,3671068
05/28/2019,65.68,65.4,65.37,66.71,0.0,0.0,3484120
05/24/2019,65.43,65.94,63.34,66.21,0.0,0.0,6089952
05/23/2019,69.06,65.82,64.41,70,0.0,0.0,7999718
05/22/2019,69.74,69.17,69.17,70.75,0.0,0.0,4517441
05/21/2019,68.93,69.95,68.5,70.24,0.0,0.0,2616181
05/20/2019,68.48,68.84,68.3,69.29,0.0,0.0,2794522
05/17/2019,68.01,68.93,68,69.82,0.0,0.0,2439157
05/16/2019,68.44,68.74,68.06,69.635,0.0,0.0,3272623
05/15/2019,67.15,67.86,67.02,68.15,0.0,0.0,2370012
05/14/2019,67.25,67.62,66.53,68.53,0.0,0.0,3780611
05/13/2019,70.3,67.1,66,70.33,0.0,0.0,5408468
05/10/2019,72.07,71.32,68.54,72.1999,0.0,0.0,3965772
05/09/2019,72.81,72.29,70.75,72.95,0.0,0.0,3433296
05/08/2019,73.13,73.48,72.46,74.69,0.0,0.0,2746636
05/07/2019,74.28,73.29,72.75,75.17,0.0,0.0,3156856
05/06/2019,73.75,74.96,72.89,75.07,0.0,0.0,2804282
05/03/2019,75.28,75.03,74.58,75.53,0.0,0.0,2031089
05/02/2019,74,75.18,73.85,75.18,0.0,0.0,2288249
05/01/2019,74.41,73.83,73.76,74.98,0.0,0.0,1752613
04/30/2019,73.14,74.41,73.1387,74.54,0.0,0.0,2552817
04/29/2019,72.88,73.39,72.8,74.02,0.0,0.0,2229584
04/26/2019,72.41,72.8,71.4,73.33,0.0,0.0,3025698
04/25/2019,74.48,73.79,73.08,74.48,0.0,0.0,2083206
04/24/2019,75.49,74.69,74.47,75.91,0.0,0.0,2124935
04/23/2019,72.91,73.62,72.2102,73.895,0.0,0.0,1904423
04/22/2019,73.21,72.6,72.565,73.63,0.0,0.0,2439514
04/18/2019,73.37,73.64,72.9848,74.08,0.0,0.0,2377418
04/17/2019,73.63,73.4,73.17,74.41,0.0,0.0,1701975
04/16/2019,73.39,73.16,72.99,73.75,0.0,0.0,2110952
04/15/2019,72.94,73.24,72.7,73.52,0.0,0.0,2295841
04/12/2019,74.12,73.57,73.435,74.32,0.0,0.0,1711781
