Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,25.47,26.14,24.32,26.39,0.0,0.0,999392
07/11/2019,27.3,27.06,26.86,27.3,0.0,0.0,187841
07/10/2019,27.9,27.31,27.26,28.2,0.0,0.0,258235
07/09/2019,27.85,27.76,27.25,28,0.0,0.0,291047
07/08/2019,28.18,28.04,27.94,28.37,0.0,0.0,205972
07/05/2019,28,28.34,27.87,28.39,0.0,0.0,178160
07/03/2019,28.51,28.23,28.1,28.57,0.0,0.0,151037
07/02/2019,28.64,28.46,28.24,28.64,0.0,0.0,307636
07/01/2019,28.43,28.65,28.25,29,0.0,0.0,531035
06/28/2019,27.27,28.11,27.1745,28.26,0.0,0.0,1543605
06/27/2019,25.71,27.15,25.71,27.21,0.0,0.0,431040
06/26/2019,25.63,25.74,25.08,25.94,0.0,0.0,289198
06/25/2019,24.84,25.55,24.62,25.69,0.0,0.0,463346
06/24/2019,25.5,24.79,24.69,25.74,0.0,0.0,407276
06/21/2019,25.26,24.6,24.45,25.46,0.0,0.0,366127
06/20/2019,25.37,25.41,25.15,25.475,0.0,0.0,213600
06/19/2019,25.35,24.99,24.76,25.5,0.0,0.0,216658
06/18/2019,25.33,25.36,25.3,26.04,0.0,0.0,222201
06/17/2019,25.44,25.32,24.81,25.44,0.0,0.0,208294
06/14/2019,25.31,25.43,25.205,25.915,0.0,0.0,225645
06/13/2019,24.91,25.18,24.66,25.2,0.0,0.0,179941
06/12/2019,24.09,24.75,24.09,24.78,0.0,0.0,161685
06/11/2019,24.11,24.19,23.88,24.56,0.0,0.0,173007
06/10/2019,23.92,23.88,23.805,24.36,0.0,0.0,141199
06/07/2019,23.65,23.76,23.43,23.95,0.0,0.0,159391
06/06/2019,23.76,23.54,23.32,24.04,0.0,0.0,145582
06/05/2019,23.98,23.8,23.52,24.13,0.0,0.0,199773
06/04/2019,23.32,23.95,23.21,23.97,0.0,0.0,447122
06/03/2019,22.37,23.08,22.35,23.17,0.0,0.0,293733
05/31/2019,22.4,22.2,22.1,22.67,0.0,0.0,224015
05/30/2019,23.04,22.85,22.57,23.24,0.0,0.0,149296
05/29/2019,22.89,23.02,22.75,23.19,0.0,0.0,139872
05/28/2019,23.64,23.11,23.09,23.74,0.0,0.0,159442
05/24/2019,23.87,23.57,23.39,23.8797,0.0,0.0,135830
05/23/2019,24.05,23.67,23.38,24.1004,0.0,0.0,211139
05/22/2019,25.03,24.4,24.29,25.03,0.0,0.0,141328
05/21/2019,25.04,25.15,24.81,25.44,0.0,0.0,251055
05/20/2019,25.45,24.83,24.47,25.45,0.0,0.0,517571
05/17/2019,25.96,25.69,25.5831,26.11,0.0,0.0,182316
05/16/2019,26.7,26.22,26.06,26.78,0.0,0.0,235802
05/15/2019,26.12,26.57,26.08,26.835,0.0,0.0,259395
05/14/2019,26.08,26.49,26.02,26.57,0.0,0.0,246520
05/13/2019,26.29,26.07,25.46,26.315,0.0,0.0,320962
05/10/2019,26.8,27.02,26.38,27.09,0.0,0.0,287250
05/09/2019,26.49,27,26.15,27.21,0.0,0.0,345437
05/08/2019,26.29,26.76,26.21,27.39,0.0,0.0,384035
05/07/2019,27.76,26.52,25.95,29.5,0.0,0.0,621801
05/06/2019,28.55,29.22,28.54,29.385,0.0,0.0,281053
05/03/2019,28.21,29.02,28.07,29.065,0.0,0.0,450792
05/02/2019,27.7,27.98,27.31,28.1,0.0,0.0,214658
05/01/2019,27.76,27.72,27.66,28.15,0.0,0.0,343913
04/30/2019,27.87,27.69,27.49,28.12,0.0,0.0,269467
04/29/2019,27.62,27.76,27.32,27.87,0.0,0.0,152633
04/26/2019,26.8,27.58,26.59,27.61,0.0,0.0,271142
04/25/2019,26.61,26.68,26.04,27.01,0.0,0.0,221181
04/24/2019,26.67,26.65,26.4301,26.97,0.0,0.0,198158
04/23/2019,26.28,26.64,26,26.98,0.0,0.0,157783
04/22/2019,27.2,26.29,26.25,27.27,0.0,0.0,197915
04/18/2019,27.23,27.27,27.05,27.45,0.0,0.0,185166
04/17/2019,27.7,27.41,27.2,27.82,0.0,0.0,222255
04/16/2019,27.59,27.59,27.16,27.83,0.0,0.0,201865
04/15/2019,27.25,27.61,27.08,27.69,0.0,0.0,250528
04/12/2019,27.32,27.25,26.98,27.41,0.0,0.0,202767
