Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,6.43,6.29,6.29,6.43,0.0,0.0,16515
07/11/2019,6.57,6.36,6.35,6.68,0.0,0.0,5246
07/10/2019,6.3,6.635,6.3,6.635,0.0,0.0,27304
07/09/2019,6.42,6.34,6.3285,6.4209,0.0,0.0,19062
07/08/2019,6.39,6.3126,6.295,6.39,0.0,0.0,14627
07/05/2019,6.36,6.41,6.33,6.475,0.0,0.0,27920
07/03/2019,6.36,6.42,6.36,6.49,0.0,0.0,1290
07/02/2019,6.34,6.35,6.33,6.4762,0.0,0.0,7074
07/01/2019,6.5716,6.55,6.55,6.6104,0.0,0.0,2646
06/28/2019,6.45,6.59,6.45,6.6909,0.0,0.0,5963
06/27/2019,6.59,6.4,6.05,6.59,0.0,0.0,13793
06/26/2019,6.9,6.6757,6.6757,7.04,0.0,0.0,11552
06/25/2019,6.88,6.8,6.8,7.0338,0.0,0.0,15368
06/24/2019,6.8,6.94,6.7667,6.9848,0.0,0.0,16504
06/21/2019,6.6,6.81,6.524,6.97,0.0,0.0,28114
06/20/2019,6.9,6.61,6.6,6.9,0.0,0.0,10999
06/19/2019,6.95,6.9,6.9,7.09,0.0,0.0,6316
06/18/2019,6.9199,6.885,6.6933,6.9199,0.0,0.0,4158
06/17/2019,6.94,6.79,6.6677,6.94,0.0,0.0,5865
06/14/2019,6.94,6.73,6.7,6.94,0.0,0.0,7742
06/13/2019,6.8831,6.9799,6.79,6.9799,0.0,0.0,3672
06/12/2019,6.8577,6.8577,6.8577,6.8577,0.0,0.0,953
06/11/2019,6.8236,6.86,6.8236,6.94,0.0,0.0,767
06/10/2019,6.84,6.78,6.7518,6.8798,0.0,0.0,9801
06/07/2019,6.9344,6.88,6.8201,6.95,0.0,0.0,2391
06/06/2019,6.8435,6.9495,6.8435,6.95,0.0,0.0,3687
06/05/2019,6.87,6.92,6.76,6.94,0.0,0.0,7742
06/04/2019,6.788,6.92,6.7075,6.94,0.0,0.0,3116
06/03/2019,6.7,6.76,6.59,6.7999,0.0,0.0,6230
05/31/2019,6.51,6.65,6.4442,6.74,0.0,0.0,10047
05/30/2019,6.53,6.6,6.35,6.65,0.0,0.0,38770
05/29/2019,6.7597,6.6481,6.5408,6.7597,0.0,0.0,14276
05/28/2019,6.82,6.7,6.7,6.85,0.0,0.0,16343
05/24/2019,6.83,6.85,6.8134,6.85,0.0,0.0,15288
05/23/2019,6.87,6.95,6.8028,6.95,0.0,0.0,3406
05/22/2019,7.1,6.99,6.93,7.1,0.0,0.0,3324
05/21/2019,7,7.13,7,7.15,0.0,0.0,13747
05/20/2019,7.15,6.99,6.9899,7.15,0.0,0.0,994
05/17/2019,6.97,7,6.87,7,0.0,0.0,2096
05/16/2019,7.23,7.098,6.8248,7.23,0.0,0.0,14318
05/15/2019,7.16,7.21,7.1,7.3,0.0,0.0,5295
05/14/2019,7.1,7.27,7.08,7.27,0.0,0.0,8642
05/13/2019,7.36,7.09,7.09,7.36,0.0,0.0,2331
05/10/2019,7.48,7.31,7.31,7.48,0.0,0.0,1889
05/09/2019,7.53,7.5,7.36,7.53,0.0,0.0,6612
05/08/2019,7.43,7.5,7.3,7.5781,0.0,0.0,9793
05/07/2019,7.42,7.5,7.24,7.5782,0.0,0.0,19162
05/06/2019,7.51,7.47,7.47,7.72,0.0,0.0,10699
05/03/2019,7.35,7.65,7.35,7.6924,0.0,0.0,12408
05/02/2019,7.45,7.05,6.89,7.45,0.0,0.0,13637
05/01/2019,7.35,7.59,7.3406,7.63,0.0,0.0,24690
04/30/2019,7.38,7.44,7.3064,7.44,0.0,0.0,812
04/29/2019,7.25,7.46,7.25,7.49,0.0,0.0,6356
04/26/2019,7.3284,7.24,7.1844,7.35,0.0,0.0,12181
04/25/2019,7.53,7.35,7.26,7.53,0.0,0.0,10869
04/24/2019,7.55,7.55,7.4778,7.5509,0.0,0.0,1867
04/23/2019,7.29,7.51,7.28,7.8,0.0,0.0,17522
04/22/2019,7.1355,7.24,7.1355,7.24,0.0,0.0,1971
04/18/2019,7.2904,7.27,7.15,7.2904,0.0,0.0,5795
04/17/2019,7.34,7.33,7.3141,7.42,0.0,0.0,6674
04/16/2019,7.25,7.23,7.2,7.28,0.0,0.0,7560
04/15/2019,7.08,7.05,6.87,7.09,0.0,0.0,7162
04/12/2019,7.09,7.08,7,7.23,0.0,0.0,2079
