Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,10.06,10.08,9.89,10.17,0.0,0.0,32163
07/11/2019,9.91,10,9.62,10.05,0.0,0.0,70841
07/10/2019,10.1,9.89,9.59,10.27,0.0,0.0,88023
07/09/2019,10.17,10.05,9.97,10.41,0.0,0.0,42144
07/08/2019,10.13,10.32,10.1,10.39,0.0,0.0,52362
07/05/2019,10.08,10.18,9.93,10.18,0.0,0.0,53148
07/03/2019,9.7,10.2,9.7,10.28,0.0,0.0,80003
07/02/2019,9.8,9.72,9.61,9.86,0.0,0.0,51213
07/01/2019,9.31,9.79,9.3,9.88,0.0,0.0,121518
06/28/2019,9.92,9.06,9.06,10.2004,0.0,0.0,139994
06/27/2019,9.9,9.98,9.81,10.2,0.0,0.0,81239
06/26/2019,10.13,9.9,9.81,10.21,0.0,0.0,67284
06/25/2019,9.98,10.06,9.98,10.3,0.0,0.0,47049
06/24/2019,10.28,10.06,10.01,10.3,0.0,0.0,49140
06/21/2019,10.25,10.21,10.12,10.47,0.0,0.0,54006
06/20/2019,10.05,10.28,10.05,10.35,0.0,0.0,51918
06/19/2019,10.01,9.95,9.74,10.28,0.0,0.0,52096
06/18/2019,9.9,9.95,9.83,10.24,0.0,0.0,78169
06/17/2019,9.94,9.84,9.73,10.02,0.0,0.0,29623
06/14/2019,9.78,9.8,9.6177,9.94,0.0,0.0,45946
06/13/2019,9.68,9.78,9.64,9.91,0.0,0.0,40288
06/12/2019,9.68,9.64,9.6,9.885,0.0,0.0,37247
06/11/2019,9.57,9.83,9.5,9.9,0.0,0.0,168809
06/10/2019,9.49,9.45,9.45,9.75,0.0,0.0,30734
06/07/2019,9.45,9.35,9.28,9.4771,0.0,0.0,69198
06/06/2019,9.54,9.45,9.31,9.57,0.0,0.0,48643
06/05/2019,9.61,9.52,9.38,9.78,0.0,0.0,79990
06/04/2019,9.7,9.61,9.61,9.915,0.0,0.0,71066
06/03/2019,9.67,9.79,9.67,9.93,0.0,0.0,81056
05/31/2019,9.46,9.61,9.44,9.75,0.0,0.0,99196
05/30/2019,9.46,9.55,9.46,9.72,0.0,0.0,77127
05/29/2019,9.44,9.44,9.41,9.65,0.0,0.0,56426
05/28/2019,9.76,9.44,9.42,9.76,0.0,0.0,421249
05/24/2019,9.5,9.46,9.33,9.85,0.0,0.0,231189
05/23/2019,9.83,9.74,9.64,9.905,0.0,0.0,94225
05/22/2019,10.28,10.01,9.93,10.61,0.0,0.0,55828
05/21/2019,10.48,10.38,10.19,10.77,0.0,0.0,136299
05/20/2019,10.38,10.55,10.02,10.55,0.0,0.0,84894
05/17/2019,10.63,10.5,10.29,10.93,0.0,0.0,357858
05/16/2019,10.8,10.72,10.52,11.005,0.0,0.0,127491
05/15/2019,11.1,10.91,10.89,11.26,0.0,0.0,91578
05/14/2019,10.55,11.06,10.49,11.25,0.0,0.0,108669
05/13/2019,10.66,10.61,10.54,11.095,0.0,0.0,72061
05/10/2019,11.11,11.18,10.665,11.3089,0.0,0.0,94934
05/09/2019,11.36,11.22,10.9,11.36,0.0,0.0,47892
05/08/2019,11.36,11.5,11.26,11.6,0.0,0.0,68096
05/07/2019,11.75,11.33,11.3,11.77,0.0,0.0,124216
05/06/2019,11.88,11.93,11.55,11.93,0.0,0.0,84670
05/03/2019,12.31,12.12,12.01,12.32,0.0,0.0,58652
05/02/2019,12.18,12.09,12.07,12.7,0.0,0.0,290445
05/01/2019,12.18,12.08,12.01,12.18,0.0,0.0,55813
04/30/2019,12.04,12.12,12,12.24,0.0,0.0,190724
04/29/2019,11.9,12.07,11.72,12.22,0.0,0.0,121671
04/26/2019,11.73,11.9,11.71,12,0.0,0.0,119883
04/25/2019,11.7,11.9,11.49,12.02,0.0,0.0,153113
04/24/2019,12.01,11.94,11.77,12.1,0.0,0.0,330496
04/23/2019,12.24,11.96,10.89,12.24,0.0,0.0,173742
04/22/2019,11.38,11.61,11.23,11.68,0.0,0.0,97053
04/18/2019,12.06,11.57,11.3793,12.06,0.0,0.0,598980
04/17/2019,11.88,12.02,11.68,12.27,0.0,0.0,382531
04/16/2019,11.21,11.82,11.21,11.87,0.0,0.0,550254
04/15/2019,10.73,11.12,10.64,11.25,0.0,0.0,90872
04/12/2019,10.75,10.73,10.6,10.91,0.0,0.0,65684
