Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
07/15/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
07/12/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
07/11/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
07/10/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
07/09/2019,17.2505,17.25,17.25,17.2505,0.0,0.0,702
07/08/2019,17.32,17.25,17.25,17.32,0.0,0.0,786
07/05/2019,18.22,18.22,18.22,18.22,0.0,0.0,00
07/03/2019,18.22,18.22,18.22,18.22,0.0,0.0,206
07/02/2019,17.85,17.66,17.66,17.85,0.0,0.0,1062
07/01/2019,17.5,18.2499,17.5,18.2499,0.0,0.0,247
06/28/2019,17.25,17.25,17.25,17.25,0.0,0.0,00
06/27/2019,17,17.25,17,17.69,0.0,0.0,2416
06/26/2019,16.75,17,16.74,17,0.0,0.0,3601
06/25/2019,16.85,16.53,16.53,17.35,0.0,0.0,2068
06/24/2019,16.6299,17,16.6299,17,0.0,0.0,1226
06/21/2019,16.31,16.29,16.29,16.31,0.0,0.0,1034
06/20/2019,16.05,16.43,16.04,16.43,0.0,0.0,1811
06/19/2019,16.26,17.43,16.26,17.43,0.0,0.0,4233
06/18/2019,16.16,16.76,16.07,16.79,0.0,0.0,1820
06/17/2019,16.07,16.021,15.7712,16.1359,0.0,0.0,2993
06/14/2019,17.157,16.8208,16.8208,17.157,0.0,0.0,2055
06/13/2019,18.32,17.52,17.52,18.32,0.0,0.0,3172
06/12/2019,17.61,17.875,17.51,18.05,0.0,0.0,3867
06/11/2019,17.33,17.2257,17.2257,17.47,0.0,0.0,1119
06/10/2019,16.33,16.33,16.33,16.35,0.0,0.0,406
06/07/2019,16.8353,16.91,16.8214,16.91,0.0,0.0,149843
06/06/2019,17.1,16.9,16.9,17.1,0.0,0.0,908
06/05/2019,16.43,16.47,16.43,16.5,0.0,0.0,1861
06/04/2019,16.13,15.5,15.4447,16.13,0.0,0.0,1733
06/03/2019,16.2074,15.0736,15.0736,16.2074,0.0,0.0,608
05/31/2019,16.13,16.13,16.13,16.13,0.0,0.0,00
05/30/2019,16.13,16.13,16.13,16.13,0.0,0.0,110
05/29/2019,15.96,15.9,15.9,15.96,0.0,0.0,3665
05/28/2019,15.3921,15.3921,15.3921,15.3921,0.0,0.0,244
05/24/2019,16.14,16,16,16.14,0.0,0.0,656
05/23/2019,15.68,15.68,15.68,15.68,0.0,0.0,504
05/22/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,00
05/21/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,00
05/20/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,00
05/17/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,00
05/16/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,00
05/15/2019,14.7174,14.7174,14.7174,14.7174,0.0,0.0,278
05/14/2019,14.6448,14.6448,14.6448,14.6448,0.0,0.0,00
05/13/2019,14.6448,14.6448,14.6448,14.6448,0.0,0.0,151
05/10/2019,14.872,14.872,14.872,14.872,0.0,0.0,00
05/09/2019,14.872,14.872,14.872,14.872,0.0,0.0,120
05/08/2019,14.61,14.61,14.61,14.61,0.0,0.0,00
05/07/2019,14.61,14.61,14.61,14.61,0.0,0.0,320
05/06/2019,14.38,14.38,14.38,14.38,0.0,0.0,00
05/03/2019,14.38,14.38,14.38,14.38,0.0,0.0,00
05/02/2019,15.47,14.38,14.38,15.47,0.0,0.0,2357
05/01/2019,15.78,15.78,15.78,15.78,0.0,0.0,00
04/30/2019,15.75,15.78,15.75,15.78,0.0,0.0,890
04/29/2019,14.55,14.75,14.55,14.75,0.0,0.0,3105
04/26/2019,14.3188,14.3188,14.3188,14.3188,0.0,0.0,00
04/25/2019,14.3188,14.3188,14.3188,14.3188,0.0,0.0,126
04/24/2019,14.25,14.25,14.25,14.25,0.0,0.0,00
04/23/2019,14.25,14.25,14.25,14.25,0.0,0.0,00
04/22/2019,14.25,14.25,14.25,14.25,0.0,0.0,00
04/18/2019,14.3227,14.25,14.25,14.3227,0.0,0.0,407
04/17/2019,14.28,14.431,14.28,14.46,0.0,0.0,683
04/16/2019,14.32,14.4087,14.2893,14.4281,0.0,0.0,5339
