Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,56.65,56.86,56.61,57.43,0.0,0.0,789823
07/11/2019,57.4,56.55,56.465,57.76,0.0,0.0,506608
07/10/2019,57.45,57.19,57.18,57.825,0.0,0.0,1214742
07/09/2019,56.87,57.29,56.56,57.5,0.0,0.0,738030
07/08/2019,56.59,56.97,56.28,57.24,0.0,0.0,633297
07/05/2019,56.57,56.61,56.03,56.83,0.0,0.0,434121
07/03/2019,56.77,56.73,56.587,57.09,0.0,0.0,373911
07/02/2019,56.55,56.41,56.31,57.15,0.0,0.0,783566
07/01/2019,56.28,56.29,56.07,56.81,0.0,0.0,862774
06/28/2019,55.27,55.71,55.04,56.25,0.0,0.0,1590524
06/27/2019,55.31,55.1,54.86,55.62,0.0,0.0,1082472
06/26/2019,55.86,55.63,55.56,56.24,0.0,0.0,651669
06/25/2019,57.41,55.88,55.75,57.48,0.0,0.0,1934703
06/24/2019,57.53,57.49,56.96,57.62,0.0,0.0,982480
06/21/2019,57.49,57.55,56.79,57.82,0.0,0.0,2591786
06/20/2019,57.7,57.61,57.18,57.84,0.0,0.0,1328042
06/19/2019,58.14,57.36,57.16,58.19,0.0,0.0,3198697
06/18/2019,57.72,57.98,57.6,58.13,0.0,0.0,2046040
06/17/2019,57.97,57.51,57.28,58.1,0.0,0.0,1182722
06/14/2019,57.49,57.86,57.28,58.09,0.0,0.0,1059138
06/13/2019,57.4,57.5,56.98,57.95,0.0,0.0,621684
06/12/2019,56.33,57.1,56.235,57.33,0.0,0.0,1713200
06/11/2019,56.48,56.2,55.74,56.65,0.0,0.0,1423711
06/10/2019,55.22,56.4,55.07,56.52,0.0,0.0,2316759
06/07/2019,55.35,55.15,54.7,55.39,0.0,0.0,2378778
06/06/2019,54.67,55.1,54.12,55.24,0.0,0.0,1095330
06/05/2019,54.58,54.53,53.65,55.01,0.0,0.0,922083
06/04/2019,54.82,54.75,54.37,55.25,0.0,0.0,1156913
06/03/2019,52.29,54.6,51.91,54.65,0.0,0.0,1952472
05/31/2019,50.83,52.29,50.83,52.36,0.0,0.0,1756810
05/30/2019,52.17,51.18,51.09,52.42,0.0,0.0,1267847
05/29/2019,51.12,51.81,50.67,52.82,0.0,0.0,1799028
05/28/2019,50.52,50.62,50.47,51.14,0.0,0.0,2009478
05/24/2019,51.75,50.55,50.36,51.75,0.0,0.0,1073086
05/23/2019,51.6,51.42,50.5015,51.6,0.0,0.0,1396592
05/22/2019,51.64,51.9,50.21,51.99,0.0,0.0,1447225
05/21/2019,51.96,51.98,51.52,52.2,0.0,0.0,1917698
05/20/2019,52.03,51.83,51.61,52.39,0.0,0.0,1341052
05/17/2019,52.54,52.23,52,53.27,0.0,0.0,1583387
05/16/2019,53.35,53.29,53.08,53.77,0.0,0.0,713517
05/15/2019,52.49,53.27,52.39,53.65,0.0,0.0,998201
05/14/2019,52.49,52.65,52.48,53.27,0.0,0.0,930659
05/13/2019,52.99,52.49,52.22,53.55,0.0,0.0,1073009
05/10/2019,52.84,53.76,51.8,53.84,0.0,0.0,1683015
05/09/2019,53.08,53.17,53.04,54.12,0.0,0.0,1512324
05/08/2019,51.25,53.44,51.25,53.79,0.0,0.0,2826667
05/07/2019,50.3,49.98,49.64,50.53,0.0,0.0,1440428
05/06/2019,50.72,50.65,50.2,50.93,0.0,0.0,1049195
05/03/2019,51.13,51.15,50.75,51.485,0.0,0.0,813582
05/02/2019,51.86,51.13,50.865,52.2699,0.0,0.0,1355553
05/01/2019,52.28,52.16,52.15,53.03,0.0,0.0,1423679
04/30/2019,50.29,52.41,50.29,52.45,0.0,0.0,2208319
04/29/2019,49.15,50.12,49.1,50.43,0.0,0.0,2056523
04/26/2019,48.6,48.97,47.26,49.06,0.0,0.0,2298329
04/25/2019,50.96,48.6,48.52,50.97,0.0,0.0,3155344
04/24/2019,51.21,51.12,50.96,51.42,0.0,0.0,1778167
04/23/2019,51.48,51.25,51.25,51.98,0.0,0.0,992903
04/22/2019,51.13,51.31,50.8,51.4199,0.0,0.0,1290131
04/18/2019,51.81,51.13,50.9047,51.863,0.0,0.0,1253337
04/17/2019,51.99,51.55,51.46,52.26,0.0,0.0,992817
04/16/2019,52.49,51.74,51.71,52.94,0.0,0.0,1386029
04/15/2019,52.65,52.48,52.1,52.83,0.0,0.0,2205308
04/12/2019,52.93,52.65,52.55,53.43,0.0,0.0,1105518
