Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,5.55,5.51,5.49,5.56,0.0,0.0,335657
07/11/2019,5.59,5.58,5.56,5.61,0.0,0.0,127660
07/10/2019,5.55,5.59,5.54,5.62,0.0,0.0,403143
07/09/2019,5.54,5.55,5.51,5.56,0.0,0.0,204902
07/08/2019,5.61,5.56,5.53,5.61,0.0,0.0,295842
07/05/2019,5.57,5.65,5.56,5.67,0.0,0.0,165746
07/03/2019,5.59,5.59,5.5827,5.62,0.0,0.0,67985
07/02/2019,5.6,5.58,5.56,5.645,0.0,0.0,183816
07/01/2019,5.64,5.6,5.6,5.64,0.0,0.0,168994
06/28/2019,5.62,5.62,5.5588,5.62,0.0,0.0,302639
06/27/2019,5.57,5.56,5.48,5.58,0.0,0.0,434848
06/26/2019,5.54,5.52,5.49,5.54,0.0,0.0,209930
06/25/2019,5.51,5.5,5.49,5.52,0.0,0.0,125086
06/24/2019,5.51,5.51,5.49,5.53,0.0,0.0,266553
06/21/2019,5.49,5.49,5.46,5.51,0.0,0.0,151326
06/20/2019,5.51,5.5,5.46,5.53,0.0,0.0,280131
06/19/2019,5.46,5.46,5.44,5.48,0.0,0.0,189498
06/18/2019,5.45,5.43,5.42,5.47,0.0,0.0,345848
06/17/2019,5.41,5.41,5.3764,5.42,0.0,0.0,141657
06/14/2019,5.41,5.41,5.39,5.41,0.0,0.0,130960
06/13/2019,5.46,5.43,5.41,5.47,0.0,0.0,263902
06/12/2019,5.48,5.47,5.44,5.4982,0.0,0.0,803317
06/11/2019,5.49,5.48,5.48,5.52,0.0,0.0,153322
06/10/2019,5.45,5.47,5.44,5.47,0.0,0.0,181986
06/07/2019,5.4,5.43,5.38,5.43,0.0,0.0,157991
06/06/2019,5.37,5.36,5.35,5.4,0.0,0.0,224451
06/05/2019,5.4,5.38,5.35,5.44,0.0,0.0,244797
06/04/2019,5.36,5.38,5.35,5.4,0.0,0.0,270686
06/03/2019,5.34,5.33,5.33,5.38,0.0,0.0,154298
05/31/2019,5.36,5.34,5.3201,5.36,0.0,0.0,156804
05/30/2019,5.36,5.38,5.36,5.38,0.0,0.0,240272
05/29/2019,5.38,5.35,5.35,5.38,0.0,0.0,183268
05/28/2019,5.43,5.41,5.4,5.46,0.0,0.0,237213
05/24/2019,5.42,5.45,5.42,5.47,0.0,0.0,168032
05/23/2019,5.4,5.4,5.38,5.4152,0.0,0.0,174308
05/22/2019,5.39,5.41,5.39,5.46,0.0,0.0,409490
05/21/2019,5.42,5.42,5.41,5.45,0.0,0.0,178336
05/20/2019,5.41,5.41,5.4,5.43,0.0,0.0,54894
05/17/2019,5.38,5.42,5.38,5.44,0.0,0.0,214539
05/16/2019,5.42,5.44,5.42,5.46,0.0,0.0,209413
05/15/2019,5.36,5.42,5.36,5.45,0.0,0.0,340711
05/14/2019,5.35,5.41,5.35,5.43,0.0,0.0,200948
05/13/2019,5.47,5.38,5.36,5.5,0.0,0.0,421462
05/10/2019,5.51,5.54,5.48,5.54,0.0,0.0,95051
05/09/2019,5.5,5.51,5.48,5.53,0.0,0.0,125483
05/08/2019,5.57,5.54,5.54,5.61,0.0,0.0,126215
05/07/2019,5.59,5.56,5.54,5.63,0.0,0.0,187091
05/06/2019,5.6,5.62,5.58,5.62,0.0,0.0,98139
05/03/2019,5.63,5.64,5.61,5.64,0.0,0.0,108649
05/02/2019,5.61,5.61,5.6,5.63,0.0,0.0,154021
05/01/2019,5.64,5.63,5.61,5.65,0.0,0.0,216659
04/30/2019,5.67,5.64,5.61,5.6787,0.0,0.0,232205
04/29/2019,5.65,5.64,5.63,5.67,0.0,0.0,131490
04/26/2019,5.6,5.64,5.58,5.66,0.0,0.0,317082
04/25/2019,5.62,5.57,5.55,5.635,0.0,0.0,214423
04/24/2019,5.62,5.63,5.6,5.68,0.0,0.0,334928
04/23/2019,5.63,5.62,5.6,5.65,0.0,0.0,194025
04/22/2019,5.64,5.63,5.62,5.66,0.0,0.0,174383
04/18/2019,5.69,5.68,5.66,5.7,0.0,0.0,295692
04/17/2019,5.7,5.7,5.67,5.7,0.0,0.0,187795
04/16/2019,5.71,5.67,5.67,5.73,0.0,0.0,138344
04/15/2019,5.7,5.7,5.68,5.74,0.0,0.0,204934
04/12/2019,5.65,5.74,5.6,5.74,0.0,0.0,358691
