Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,24.87,25.04,24.87,25.145,0.0,0.0,140934
07/11/2019,25.06,24.77,24.64,25.16,0.0,0.0,413597
07/10/2019,25.07,25.06,24.85,25.27,0.0,0.0,147599
07/09/2019,24.71,24.84,24.48,24.88,0.0,0.0,311727
07/08/2019,25,24.83,24.71,25.16,0.0,0.0,211610
07/05/2019,24.95,25.08,24.67,25.17,0.0,0.0,270858
07/03/2019,25.05,25.1,24.99,25.34,0.0,0.0,96129
07/02/2019,25.38,24.95,24.78,25.38,0.0,0.0,156058
07/01/2019,25.59,25.35,25.17,25.78,0.0,0.0,241386
06/28/2019,24.83,25.12,24.57,25.18,0.0,0.0,905101
06/27/2019,24.62,24.75,24.38,24.85,0.0,0.0,241214
06/26/2019,24.28,24.64,24.28,24.81,0.0,0.0,272161
06/25/2019,24.19,24.15,24.11,24.47,0.0,0.0,355093
06/24/2019,24.15,24.18,24.13,24.478,0.0,0.0,299182
06/21/2019,24.19,24.14,24.04,24.515,0.0,0.0,402107
06/20/2019,24.42,24.31,24.15,24.48,0.0,0.0,225102
06/19/2019,24.11,24.12,24.03,24.41,0.0,0.0,550203
06/18/2019,23.63,23.99,23.585,24.045,0.0,0.0,202766
06/17/2019,23.39,23.44,23.13,23.695,0.0,0.0,262714
06/14/2019,23.69,23.39,23.27,23.69,0.0,0.0,195478
06/13/2019,23.61,23.87,23.53,23.9,0.0,0.0,220551
06/12/2019,23.46,23.48,23.3,23.62,0.0,0.0,179390
06/11/2019,23.84,23.62,23.43,23.89,0.0,0.0,317623
06/10/2019,23.21,23.63,23.21,23.7042,0.0,0.0,294392
06/07/2019,22.94,23.02,22.8,23.12,0.0,0.0,238980
06/06/2019,23,22.9,22.56,23.01,0.0,0.0,186120
06/05/2019,23.25,22.88,22.55,23.26,0.0,0.0,203542
06/04/2019,22.72,23.12,22.71,23.13,0.0,0.0,195436
06/03/2019,22.05,22.45,22.05,22.56,0.0,0.0,272781
05/31/2019,22.42,22.09,21.94,22.43,0.0,0.0,291179
05/30/2019,22.84,22.69,22.5,23.0434,0.0,0.0,218564
05/29/2019,22.78,22.8,22.77,23.025,0.0,0.0,233014
05/28/2019,23.26,23.07,22.97,23.44,0.0,0.0,282387
05/24/2019,23.63,23.25,23.23,23.66,0.0,0.0,290039
05/23/2019,23.67,23.45,23.25,23.77,0.0,0.0,236222
05/22/2019,24.22,23.99,23.86,24.25,0.0,0.0,212871
05/21/2019,24.24,24.34,24.18,24.51,0.0,0.0,237935
05/20/2019,23.9,24.05,23.71,24.21,0.0,0.0,225148
05/17/2019,24.61,24.19,24.14,24.77,0.0,0.0,596276
05/16/2019,25.21,24.92,24.78,25.22,0.0,0.0,262881
05/15/2019,24.66,25.12,24.63,25.24,0.0,0.0,232283
05/14/2019,24.79,24.9,24.66,25.1,0.0,0.0,388883
05/13/2019,25.78,24.67,24.57,25.78,0.0,0.0,349138
05/10/2019,26.18,26.15,25.73,26.3,0.0,0.0,444154
05/09/2019,26.09,26.28,25.84,26.38,0.0,0.0,216996
05/08/2019,26.71,26.45,26.42,26.84,0.0,0.0,270985
05/07/2019,27.2,26.71,26.51,27.2,0.0,0.0,212794
05/06/2019,26.65,27.23,26.48,27.28,0.0,0.0,273110
05/03/2019,26.79,27.19,26.5,27.24,0.0,0.0,278997
05/02/2019,26.99,26.6,26.28,27.16,0.0,0.0,276017
05/01/2019,27.07,27.02,26.7901,27.32,0.0,0.0,481307
04/30/2019,27.09,27.03,26.685,27.13,0.0,0.0,372709
04/29/2019,27.48,27.23,27.1,27.65,0.0,0.0,375509
04/26/2019,26.93,27.38,26.93,27.48,0.0,0.0,314925
04/25/2019,26.48,27.04,26.44,27.925,0.0,0.0,514961
04/24/2019,29.57,30.03,29.52,30.23,0.0,0.0,343592
04/23/2019,29.3,29.61,29.19,29.685,0.0,0.0,289183
04/22/2019,29.49,29.23,29.12,29.55,0.0,0.0,232974
04/18/2019,29.54,29.55,29.43,29.73,0.0,0.0,211708
04/17/2019,29.86,29.79,29.5,29.86,0.0,0.0,240891
04/16/2019,29.38,29.72,29.35,29.82,0.0,0.0,312427
04/15/2019,29.37,29.31,29.08,29.42,0.0,0.0,318816
04/12/2019,29.15,29.38,28.97,29.39,0.0,0.0,280304
