Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,9.23,9.36,9.05,9.42,0.0,0.0,255277
07/11/2019,9.37,9.19,9.11,9.6154,0.0,0.0,362097
07/10/2019,9.75,9.35,9.31,9.85,0.0,0.0,327233
07/09/2019,9.5,9.38,9.33,9.5,0.0,0.0,157934
07/08/2019,9.51,9.51,9.405,9.59,0.0,0.0,131756
07/05/2019,9.44,9.51,9.34,9.59,0.0,0.0,128656
07/03/2019,9.72,9.47,9.43,9.76,0.0,0.0,60782
07/02/2019,9.56,9.68,9.5,9.76,0.0,0.0,176078
07/01/2019,10.01,9.55,9.45,10.01,0.0,0.0,155758
06/28/2019,9.78,9.9,9.75,10.03,0.0,0.0,390386
06/27/2019,9.36,9.78,9.235,9.78,0.0,0.0,211731
06/26/2019,9.56,9.48,9.43,9.72,0.0,0.0,237096
06/25/2019,9.59,9.56,9.5,9.76,0.0,0.0,196488
06/24/2019,9.8,9.58,9.52,9.92,0.0,0.0,210636
06/21/2019,9.89,9.8,9.44,10,0.0,0.0,698116
06/20/2019,10.05,9.98,9.92,10.13,0.0,0.0,155689
06/19/2019,9.92,10.03,9.89,10.09,0.0,0.0,155578
06/18/2019,10.13,9.99,9.78,10.23,0.0,0.0,291040
06/17/2019,10.13,10.05,9.95,10.21,0.0,0.0,152868
06/14/2019,10.34,10.08,10.06,10.38,0.0,0.0,145011
06/13/2019,10.21,10.37,10.09,10.37,0.0,0.0,198002
06/12/2019,10.48,10.17,10.16,10.48,0.0,0.0,227002
06/11/2019,10.48,10.4,10.33,10.67,0.0,0.0,203492
06/10/2019,10.14,10.34,10.03,10.4,0.0,0.0,182967
06/07/2019,10.06,10.09,9.9,10.22,0.0,0.0,177580
06/06/2019,10.11,10.05,9.85,10.24,0.0,0.0,184762
06/05/2019,10.11,10.11,9.91,10.2099,0.0,0.0,179501
06/04/2019,10.18,10.08,10,10.31,0.0,0.0,148446
06/03/2019,10.4,10.17,9.88,10.4,0.0,0.0,269188
05/31/2019,10.75,10.44,10.36,10.75,0.0,0.0,183273
05/30/2019,11.31,10.82,10.76,11.32,0.0,0.0,212854
05/29/2019,11.92,11.29,11.2,11.9935,0.0,0.0,232361
05/28/2019,12.08,12.05,11.88,12.27,0.0,0.0,310734
05/24/2019,12.19,12.06,11.91,12.27,0.0,0.0,64210
05/23/2019,12.09,12.09,12.01,12.15,0.0,0.0,80533
05/22/2019,12.34,12.21,12.11,12.36,0.0,0.0,69406
05/21/2019,12.34,12.3,12.21,12.44,0.0,0.0,95693
05/20/2019,12.54,12.31,12.31,12.5725,0.0,0.0,129420
05/17/2019,12.85,12.58,12.52,12.96,0.0,0.0,92169
05/16/2019,13.01,12.95,12.85,13.11,0.0,0.0,106075
05/15/2019,12.73,12.99,12.665,13.09,0.0,0.0,265671
05/14/2019,12.62,12.74,12.33,12.77,0.0,0.0,276217
05/13/2019,12.91,12.69,12.61,13,0.0,0.0,120119
05/10/2019,12.96,13.02,12.76,13.08,0.0,0.0,95536
05/09/2019,13.17,13.05,13.01,13.35,0.0,0.0,141437
05/08/2019,13.37,13.22,13.21,13.45,0.0,0.0,74187
05/07/2019,13.53,13.36,13.28,13.76,0.0,0.0,233017
05/06/2019,13.44,13.59,13.427,13.86,0.0,0.0,193535
05/03/2019,13.02,13.48,13.02,13.54,0.0,0.0,98173
05/02/2019,13.02,13.09,12.65,13.41,0.0,0.0,177550
05/01/2019,13.61,13.27,12.65,13.64,0.0,0.0,418977
04/30/2019,13.92,13.9,13.82,14.02,0.0,0.0,121312
04/29/2019,13.95,13.94,13.87,14.03,0.0,0.0,144256
04/26/2019,13.41,13.85,13.41,13.87,0.0,0.0,180091
04/25/2019,13.43,13.42,13.25,13.5,0.0,0.0,58328
04/24/2019,13.44,13.46,13.35,13.59,0.0,0.0,107708
04/23/2019,13.23,13.42,13.2,13.49,0.0,0.0,102586
04/22/2019,13.4,13.19,13.12,13.41,0.0,0.0,131513
04/18/2019,13.37,13.41,13.16,13.46,0.0,0.0,57721
04/17/2019,13.33,13.4,13.13,13.43,0.0,0.0,126010
04/16/2019,13.13,13.27,13,13.31,0.0,0.0,114701
04/15/2019,13.07,13.07,12.92,13.17,0.0,0.0,128405
04/12/2019,13.2,13.12,12.98,13.2,0.0,0.0,184658
