Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,27.036,27.0012,26.9754,27.0638,0.0,0.0,1905
07/15/2019,26.9821,26.9395,26.9191,27.0399,0.0,0.0,4508
07/12/2019,26.96,27.06,26.9416,27.1,0.0,0.0,4156
07/11/2019,26.9905,26.894,26.8649,26.9905,0.0,0.0,1812
07/10/2019,26.95,26.84,26.84,26.96,0.0,0.0,9190
07/09/2019,26.59,26.65,26.58,26.723,0.0,0.0,8015
07/08/2019,26.55,26.66,26.55,26.7786,0.0,0.0,1471
07/05/2019,26.8301,27.022,26.8301,27.022,0.0,0.0,987
07/03/2019,26.79,26.88,26.79,26.88,0.0,0.0,763
07/02/2019,26.88,26.91,26.85,26.97,0.0,0.0,12840
07/01/2019,27.2034,27.02,26.9901,27.2034,0.0,0.0,48927
06/28/2019,26.9036,26.88,26.825,26.9036,0.0,0.0,4965
06/27/2019,26.73,26.9211,26.72,27.05,0.0,0.0,11626
06/26/2019,26.7,26.79,26.7,26.8163,0.0,0.0,11745
06/25/2019,26.706,26.4448,26.4313,26.706,0.0,0.0,1275
06/24/2019,26.8793,26.9139,26.83,26.9139,0.0,0.0,1218
06/21/2019,26.86,26.86,26.83,26.9299,0.0,0.0,3626
06/20/2019,27.16,26.85,26.85,27.16,0.0,0.0,12118
06/19/2019,26.3848,26.43,26.3217,26.43,0.0,0.0,3199
06/18/2019,26.04,26.41,26.04,26.56,0.0,0.0,8955
06/17/2019,25.9699,25.8944,25.84,25.9699,0.0,0.0,2162
06/14/2019,26.05,25.9699,25.9357,26.0812,0.0,0.0,3247
06/13/2019,26.3592,26.17,26.17,26.3592,0.0,0.0,4371
06/12/2019,26.28,26.22,26.0943,26.3029,0.0,0.0,3877
06/11/2019,26.3675,26.5,26.3446,26.5,0.0,0.0,2111
06/10/2019,25.9813,26.04,25.9813,26.12,0.0,0.0,3041
06/07/2019,26.0672,25.9117,25.9117,26.0672,0.0,0.0,1591
06/06/2019,25.71,25.8225,25.66,25.93,0.0,0.0,5039
06/05/2019,25.885,25.9,25.873,25.91,0.0,0.0,901
06/04/2019,25.9,25.99,25.76,26.0001,0.0,0.0,1723
06/03/2019,26.04,25.9,25.85,26.0504,0.0,0.0,10422
05/31/2019,25.6361,25.7674,25.6361,25.794,0.0,0.0,5261
05/30/2019,25.74,25.69,25.69,25.7995,0.0,0.0,1560
05/29/2019,25.54,25.5343,25.39,25.5828,0.0,0.0,8932
05/28/2019,25.75,25.5518,25.5518,25.75,0.0,0.0,1787
05/24/2019,25.49,25.4,25.36,25.52,0.0,0.0,6862
05/23/2019,25.22,25.19,25.1475,25.3399,0.0,0.0,4459
05/22/2019,25.6554,25.57,25.48,25.6554,0.0,0.0,3881
05/21/2019,25.411,25.5502,25.4,25.5991,0.0,0.0,1925
05/20/2019,25.23,25.28,25.23,25.29,0.0,0.0,6551
05/17/2019,25.3,25.1,25.1,25.3362,0.0,0.0,8149
05/16/2019,25.72,25.72,25.72,25.7596,0.0,0.0,5004
05/15/2019,25.37,25.766,25.37,25.766,0.0,0.0,3215
05/14/2019,25.52,25.5897,25.52,25.5897,0.0,0.0,317
05/13/2019,25.28,25.4,25.245,25.4,0.0,0.0,1958
05/10/2019,25.9,26.29,25.9,26.29,0.0,0.0,8648
05/09/2019,25.98,26.39,25.76,26.4,0.0,0.0,22819
05/08/2019,26.64,26.64,26.55,26.66,0.0,0.0,4312
05/07/2019,26.75,26.4033,26.39,26.75,0.0,0.0,8962
05/06/2019,26.76,27.12,26.75,27.18,0.0,0.0,27496
05/03/2019,27.535,27.5021,27.4896,27.59,0.0,0.0,23033
05/02/2019,27.45,27.35,27.29,27.45,0.0,0.0,1103
05/01/2019,27.55,27.3,27.29,27.7884,0.0,0.0,6150
04/30/2019,27.43,27.45,27.41,27.5296,0.0,0.0,4704
04/29/2019,27.64,27.52,27.49,27.71,0.0,0.0,5617
04/26/2019,27.56,27.44,27.42,27.56,0.0,0.0,13845
04/25/2019,27.13,27.35,27.13,27.35,0.0,0.0,5483
04/24/2019,27.52,27.31,27.31,27.52,0.0,0.0,12537
04/23/2019,27.7148,27.82,27.62,27.8912,0.0,0.0,3485
04/22/2019,27.5689,27.738,27.5478,27.738,0.0,0.0,690
04/18/2019,27.495,27.61,27.495,27.67,0.0,0.0,1359
04/17/2019,27.94,27.6687,27.6553,27.94,0.0,0.0,11642
04/16/2019,27.65,27.86,27.65,27.95,0.0,0.0,5381
