Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,1879.89,1888.9,1875.57,1897.22,0.0,0.0,259114
07/15/2019,1881.89,1881.91,1872.29,1885.24,0.0,0.0,284230
07/12/2019,1878.02,1882.48,1869.49,1884.98,0.0,0.0,268351
07/11/2019,1875.45,1874.17,1868.73,1879.1,0.0,0.0,270386
07/10/2019,1890.52,1869.39,1858.88,1892.99,0.0,0.0,319339
07/09/2019,1873,1877.87,1866.01,1889.74,0.0,0.0,360771
07/08/2019,1918.73,1875.76,1875,1922,0.0,0.0,343435
07/05/2019,1904.76,1924.75,1901.41,1928.61,0.0,0.0,170212
07/03/2019,1906.22,1919.65,1905,1924.61,0.0,0.0,172850
07/02/2019,1902.24,1907.99,1889.42,1910,0.0,0.0,221950
07/01/2019,1900,1898.42,1883.44,1906,0.0,0.0,461354
06/28/2019,1852.58,1874.71,1844.83,1877,0.0,0.0,613746
06/27/2019,1835,1845.17,1832.83,1858.745,0.0,0.0,427441
06/26/2019,1848.3,1830.22,1828.39,1868.15,0.0,0.0,277508
06/25/2019,1880.83,1845.47,1841.05,1884.99,0.0,0.0,322193
06/24/2019,1880.97,1870.81,1869.32,1889.33,0.0,0.0,351171
06/21/2019,1859.36,1880,1849.59,1883.19,0.0,0.0,755760
06/20/2019,1862.07,1861.31,1844.75,1871.93,0.0,0.0,544990
06/19/2019,1812,1842.06,1809.09,1844.41,0.0,0.0,420196
06/18/2019,1808.38,1808.99,1790.93,1821.7,0.0,0.0,412758
06/17/2019,1776,1781.41,1768,1787.41,0.0,0.0,281154
06/14/2019,1808.2,1775.5,1772.725,1811.68,0.0,0.0,325480
06/13/2019,1802.05,1809.52,1802.05,1839.34,0.0,0.0,319187
06/12/2019,1804.17,1798.9,1779.13,1814,0.0,0.0,212369
06/11/2019,1799.5,1803.63,1791.09,1812.66,0.0,0.0,350998
06/10/2019,1782.57,1781.12,1778.3,1814.41,0.0,0.0,298692
06/07/2019,1765.25,1778.29,1756.31,1789.685,0.0,0.0,337706
06/06/2019,1766.01,1754.86,1746.39,1766.63,0.0,0.0,335724
06/05/2019,1755.75,1765,1736.085,1767.19,0.0,0.0,389027
06/04/2019,1673.5,1747.03,1673.5,1748.31,0.0,0.0,648023
06/03/2019,1658.5,1650.46,1648.3779,1692.21,0.0,0.0,462695
05/31/2019,1650.1,1656.22,1640.5352,1662.14,0.0,0.0,366472
05/30/2019,1687,1673.06,1670.27,1693.505,0.0,0.0,265889
05/29/2019,1676.93,1685.92,1662.21,1689.52,0.0,0.0,317498
05/28/2019,1707.59,1685.8,1685.38,1728.98,0.0,0.0,390836
05/24/2019,1731.52,1708.48,1707.59,1731.575,0.0,0.0,269346
05/23/2019,1746.95,1716.93,1705.15,1746.95,0.0,0.0,483765
05/22/2019,1757.35,1745.02,1742.91,1775,0.0,0.0,367987
05/21/2019,1762.34,1772.19,1757.2309,1783.515,0.0,0.0,340555
05/20/2019,1769.73,1752.23,1746.18,1770,0.0,0.0,352043
05/17/2019,1786.37,1787.29,1785,1819.42,0.0,0.0,346325
05/16/2019,1790,1803.31,1790,1816.8,0.0,0.0,304970
05/15/2019,1778.6,1789.43,1760.01,1801.59,0.0,0.0,380798
05/14/2019,1787.12,1793.67,1781.695,1814.8,0.0,0.0,410389
05/13/2019,1800,1777.26,1770,1814.29,0.0,0.0,493005
05/10/2019,1825,1829.85,1765.6188,1859.995,0.0,0.0,1168406
05/09/2019,1729.43,1736.03,1715.005,1751.1,0.0,0.0,627853
05/08/2019,1765.01,1751.63,1746,1771.62,0.0,0.0,464587
05/07/2019,1781.45,1785,1771.21,1800.58,0.0,0.0,477187
05/06/2019,1798.96,1800.51,1782.03,1811.7,0.0,0.0,540145
05/03/2019,1816.17,1824.07,1814.25,1829.96,0.0,0.0,496096
05/02/2019,1824.66,1808,1800.18,1830.43,0.0,0.0,529046
05/01/2019,1857.57,1829.52,1828.19,1865.49,0.0,0.0,407485
04/30/2019,1872,1854.99,1852.2,1889.1,0.0,0.0,419252
04/29/2019,1869.81,1876.32,1865.62,1885,0.0,0.0,432461
04/26/2019,1868.1,1868,1850.01,1883.5,0.0,0.0,523686
04/25/2019,1870.65,1866.26,1856.93,1884.81,0.0,0.0,363999
04/24/2019,1887.14,1867.28,1863.6,1893.98,0.0,0.0,504089
04/23/2019,1849.23,1887.73,1847.34,1895.28,0.0,0.0,542318
04/22/2019,1833.93,1844.17,1831.04,1853.2,0.0,0.0,315864
04/18/2019,1847.64,1844.31,1839.84,1854.23,0.0,0.0,335240
04/17/2019,1848.63,1839.79,1837.61,1856.23,0.0,0.0,322740
04/16/2019,1851.8,1841.7,1839.135,1863.3,0.0,0.0,416482
