Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,82.59,83.94,82.3,86.5,0.0,0.0,421305
07/11/2019,81.75,82.25,80.42,82.25,0.0,0.0,189793
07/10/2019,82.14,81.67,81.38,82.4,0.0,0.0,394017
07/09/2019,81.74,81.75,81.05,82.62,0.0,0.0,121274
07/08/2019,81.15,81.92,80.7,82.29,0.0,0.0,372221
07/05/2019,81.79,81.5,80.11,82.09,0.0,0.0,141075
07/03/2019,81.46,82.12,81.05,82.54,0.0,0.0,165414
07/02/2019,81,81.19,80.44,81.35,0.0,0.0,218364
07/01/2019,83.45,81.02,80.64,83.66,0.0,0.0,300731
06/28/2019,80.46,82.76,80.365,83.47,0.0,0.0,414071
06/27/2019,77.89,80.55,77.89,80.56,0.0,0.0,183598
06/26/2019,78.09,77.66,76.78,78.39,0.0,0.0,230395
06/25/2019,79.09,78.11,77.25,79.54,0.0,0.0,430448
06/24/2019,78.06,78.61,77.225,79.99,0.0,0.0,359854
06/21/2019,78.28,77.67,76.5,78.645,0.0,0.0,441934
06/20/2019,78.44,78.9,77.6401,79.57,0.0,0.0,466786
06/19/2019,78.1,78.01,75.89,78.1,0.0,0.0,393471
06/18/2019,79.86,78.44,78.05,80.33,0.0,0.0,348088
06/17/2019,81.05,79.38,78.405,81.1,0.0,0.0,378500
06/14/2019,82.08,81.14,80.74,82.19,0.0,0.0,289513
06/13/2019,81.22,82.21,80.685,82.545,0.0,0.0,411454
06/12/2019,81.02,80.63,80.08,81.6,0.0,0.0,247993
06/11/2019,82.29,80.73,79.62,82.53,0.0,0.0,359048
06/10/2019,82.74,81.99,81.3,84.3756,0.0,0.0,211982
06/07/2019,80.69,82.72,80.43,82.95,0.0,0.0,236114
06/06/2019,81.17,80.05,79.93,81.625,0.0,0.0,223682
06/05/2019,81.96,81.44,80.71,82.68,0.0,0.0,253129
06/04/2019,80.4,81.62,79.92,81.72,0.0,0.0,392591
06/03/2019,79.63,79.99,79.15,80.975,0.0,0.0,314151
05/31/2019,77.47,79.27,77.18,79.44,0.0,0.0,295409
05/30/2019,77.59,78.26,76.94,78.465,0.0,0.0,187058
05/29/2019,77.99,77.11,76.66,78.45,0.0,0.0,459236
05/28/2019,80,78.4,77.5,80,0.0,0.0,473149
05/24/2019,78.89,79.7,78.74,79.95,0.0,0.0,392458
05/23/2019,80.89,78.34,78.04,81.3,0.0,0.0,362651
05/22/2019,80.55,81.22,80.09,81.93,0.0,0.0,320637
05/21/2019,80.5,81.22,80.45,81.9868,0.0,0.0,336941
05/20/2019,82.04,80.87,79.71,83.21,0.0,0.0,409269
05/17/2019,83.16,82.05,81.03,83.37,0.0,0.0,712151
05/16/2019,84.4,83.67,83.48,85.5045,0.0,0.0,255808
05/15/2019,85.13,86.34,85.07,86.96,0.0,0.0,186933
05/14/2019,84.61,85.75,83.12,85.85,0.0,0.0,365373
05/13/2019,83.53,84.58,82.75,85.21,0.0,0.0,421093
05/10/2019,81.71,83.56,81.585,84.15,0.0,0.0,439587
05/09/2019,79.15,81.88,79.01,82.26,0.0,0.0,319022
05/08/2019,80.67,79.52,77.75,81,0.0,0.0,334301
05/07/2019,77.92,80.38,77.92,81.975,0.0,0.0,648333
05/06/2019,73.03,73.8,72.99,73.93,0.0,0.0,245272
05/03/2019,73.01,74.32,72.345,74.52,0.0,0.0,343645
05/02/2019,71.26,72.55,71.26,73.23,0.0,0.0,313880
05/01/2019,71.57,71.2,70.95,72.81,0.0,0.0,457102
04/30/2019,70.24,71.23,70.24,71.72,0.0,0.0,261297
04/29/2019,69.75,70.39,69.29,70.71,0.0,0.0,170843
04/26/2019,69.73,69.68,68.83,70.34,0.0,0.0,328431
04/25/2019,71.23,69.6,68.23,71.38,0.0,0.0,313998
04/24/2019,71.45,71.55,71,72.23,0.0,0.0,217056
04/23/2019,70.26,71.4,70.23,72.57,0.0,0.0,364380
04/22/2019,73.44,70.06,69.57,73.44,0.0,0.0,423378
04/18/2019,72.31,73.71,71.65,73.93,0.0,0.0,263775
04/17/2019,72.63,72.05,71.62,73.005,0.0,0.0,223532
04/16/2019,72.56,72.18,71.82,72.65,0.0,0.0,438278
04/15/2019,72.14,72.25,71.42,72.61,0.0,0.0,201026
04/12/2019,71.38,71.81,71.07,71.94,0.0,0.0,242341
