Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,16.2,16.55,16.1,16.61,0.0,0.0,138860
07/15/2019,16.93,16.19,16.04,16.93,0.0,0.0,214558
07/12/2019,17.11,16.93,16.7405,17.15,0.0,0.0,139892
07/11/2019,17.15,17.24,16.88,17.35,0.0,0.0,140077
07/10/2019,18.27,17.27,16.87,18.31,0.0,0.0,219344
07/09/2019,17.94,18.15,17.09,18.3,0.0,0.0,300433
07/08/2019,15.96,18.21,15.72,18.33,0.0,0.0,653644
07/05/2019,15.76,15.71,15.52,16.03,0.0,0.0,146470
07/03/2019,16.67,15.7,15.57,16.7,0.0,0.0,162036
07/02/2019,17.4,16.71,16.36,17.4,0.0,0.0,186447
07/01/2019,17.2,17.39,17.01,17.8,0.0,0.0,202673
06/28/2019,16.3,16.95,16.09,17.04,0.0,0.0,1044934
06/27/2019,15.97,16.25,15.97,16.48,0.0,0.0,191253
06/26/2019,15.16,15.85,15.06,16.24,0.0,0.0,300080
06/25/2019,16.44,15.2,15.06,16.66,0.0,0.0,335185
06/24/2019,16.52,16.36,16.05,16.63,0.0,0.0,181709
06/21/2019,17.08,16.56,16.24,17.15,0.0,0.0,276253
06/20/2019,17.76,17.15,17.07,17.92,0.0,0.0,106228
06/19/2019,17.6,17.6,17.38,17.94,0.0,0.0,137330
06/18/2019,17.88,17.8,17.6,18.21,0.0,0.0,138002
06/17/2019,17.61,17.67,17.31,17.99,0.0,0.0,93285
06/14/2019,17.81,17.69,17.63,18.19,0.0,0.0,99944
06/13/2019,17.37,17.76,17.03,17.95,0.0,0.0,153787
06/12/2019,17.4,17.38,17.29,17.715,0.0,0.0,73579
06/11/2019,18.29,17.57,17.13,18.29,0.0,0.0,190408
06/10/2019,18.79,18.15,17.9,18.96,0.0,0.0,156510
06/07/2019,18.59,18.46,18.315,19.12,0.0,0.0,158904
06/06/2019,19.37,18.51,18.33,19.97,0.0,0.0,151332
06/05/2019,18.88,19.42,18.52,19.65,0.0,0.0,191861
06/04/2019,18.4,18.74,17.94,18.74,0.0,0.0,183340
06/03/2019,17.55,18.18,17.31,18.3499,0.0,0.0,196226
05/31/2019,17.44,17.73,17.12,17.94,0.0,0.0,115065
05/30/2019,17.5,17.69,17.295,18.37,0.0,0.0,180089
05/29/2019,16.73,17.54,16.37,17.55,0.0,0.0,233031
05/28/2019,17.55,16.76,16.75,18.14,0.0,0.0,179806
05/24/2019,17.82,17.53,17.28,17.82,0.0,0.0,79103
05/23/2019,18.4,17.63,17.415,18.5,0.0,0.0,190977
05/22/2019,18.34,18.54,17.95,18.72,0.0,0.0,131054
05/21/2019,18.79,18.39,18.35,20,0.0,0.0,267470
05/20/2019,18.07,18.69,17.86,18.71,0.0,0.0,95708
05/17/2019,17.68,18.22,17.5674,18.7,0.0,0.0,129539
05/16/2019,17.53,17.74,16.5,18.14,0.0,0.0,155344
05/15/2019,17.52,17.57,16.87,18.16,0.0,0.0,164102
05/14/2019,16.8,17.73,16.6,17.77,0.0,0.0,127606
05/13/2019,16.06,16.73,16.03,16.91,0.0,0.0,156678
05/10/2019,16.9,16.57,16.01,17.4,0.0,0.0,176068
05/09/2019,16.77,16.76,16.01,17.1,0.0,0.0,174202
05/08/2019,17.08,16.97,16.65,17.15,0.0,0.0,66800
05/07/2019,17.7,16.99,16.87,17.99,0.0,0.0,135809
05/06/2019,17.11,17.86,17.02,18.09,0.0,0.0,111331
05/03/2019,17.47,17.46,17.04,17.6446,0.0,0.0,58488
05/02/2019,17.11,17.23,16.905,17.61,0.0,0.0,65980
05/01/2019,16.77,17.18,16.42,17.24,0.0,0.0,61787
04/30/2019,17.19,16.74,16.53,17.26,0.0,0.0,179460
04/29/2019,16.9,17.29,16.4738,17.58,0.0,0.0,92877
04/26/2019,16.5,16.84,16.32,17.04,0.0,0.0,76901
04/25/2019,16.45,16.52,16.15,16.7735,0.0,0.0,97725
04/24/2019,16.28,16.52,16.02,16.95,0.0,0.0,145033
04/23/2019,16.2,16.2,16.08,17.08,0.0,0.0,198916
04/22/2019,16.35,16.26,16.02,16.85,0.0,0.0,101085
04/18/2019,16.44,16.36,15.8121,16.48,0.0,0.0,174856
04/17/2019,17.22,16.5,15.66,17.22,0.0,0.0,253417
04/16/2019,17.47,17.11,16.86,17.7353,0.0,0.0,196724
