Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,74.21,73.3,72.66,74.47,0.0,0.0,353016
07/11/2019,75.19,73.9,73.53,75.5,0.0,0.0,374195
07/10/2019,74.82,74.55,73.135,76.22,0.0,0.0,348609
07/09/2019,73.26,74.37,72.8,76.05,0.0,0.0,321209
07/08/2019,72.09,74,71.05,74.5,0.0,0.0,509633
07/05/2019,72.99,72.52,71.65,73.81,0.0,0.0,263001
07/03/2019,73.66,73.4,72.04,74.66,0.0,0.0,192477
07/02/2019,71.69,73.96,70.58,74.06,0.0,0.0,336805
07/01/2019,73.6,71.55,71.17,75.7,0.0,0.0,398617
06/28/2019,71.01,72.85,70.61,73.27,0.0,0.0,418616
06/27/2019,68.03,70.61,67.9501,72.28,0.0,0.0,567943
06/26/2019,69.8,67.88,67,70.615,0.0,0.0,303726
06/25/2019,67.35,69.33,66.96,69.67,0.0,0.0,472555
06/24/2019,66.44,67.26,65.05,67.4,0.0,0.0,388880
06/21/2019,66.62,66.46,65.5914,67.17,0.0,0.0,473004
06/20/2019,67.09,66.97,65.6414,67.8,0.0,0.0,311790
06/19/2019,67.75,65.35,65.035,68.35,0.0,0.0,326287
06/18/2019,66.44,67.56,66.24,68.62,0.0,0.0,498887
06/17/2019,65.49,64.94,64.5,66.27,0.0,0.0,503951
06/14/2019,68.1,65.76,64.88,68.705,0.0,0.0,644049
06/13/2019,68.49,68.43,63.32,68.7788,0.0,0.0,1071525
06/12/2019,61.84,68.55,60.51,69.2265,0.0,0.0,1380689
06/11/2019,58.47,61.8,58.19,61.82,0.0,0.0,1227407
06/10/2019,56.43,57.87,56.26,58.56,0.0,0.0,566597
06/07/2019,56.26,56.11,54.99,57.29,0.0,0.0,342041
06/06/2019,55.02,55.71,53.98,55.795,0.0,0.0,580989
06/05/2019,53.85,54.62,53.34,55.75,0.0,0.0,592388
06/04/2019,50.8,53.81,50.42,53.97,0.0,0.0,544129
06/03/2019,51.11,50.3,48.7,51.11,0.0,0.0,734837
05/31/2019,49.35,49.88,48.5101,51,0.0,0.0,589966
05/30/2019,48.58,49.85,48.58,51.405,0.0,0.0,713569
05/29/2019,48.47,48.28,45.14,48.595,0.0,0.0,989920
05/28/2019,50,48.81,48.09,52.52,0.0,0.0,7173733
05/24/2019,48.83,49.99,47.77,50.27,0.0,0.0,844974
05/23/2019,48.13,48.35,46.89,49.64,0.0,0.0,604230
05/22/2019,48.32,48.97,47.92,49.42,0.0,0.0,575877
05/21/2019,46.22,48.43,46.22,49,0.0,0.0,659353
05/20/2019,44.94,45.73,43.26,45.93,0.0,0.0,636359
05/17/2019,44.82,44.94,44.26,46.66,0.0,0.0,467553
05/16/2019,44.03,45.73,43.59,46.77,0.0,0.0,463835
05/15/2019,42.72,44.4,42.11,44.86,0.0,0.0,435582
05/14/2019,43.59,43.48,42.895,44.95,0.0,0.0,546032
05/13/2019,44.7,42.75,42.27,44.7,0.0,0.0,815389
05/10/2019,46.07,46.52,45.74,48.74,0.0,0.0,691843
05/09/2019,46,48.05,45.03,48.1133,0.0,0.0,518423
05/08/2019,46.23,46.9,46.15,48,0.0,0.0,428137
05/07/2019,47.18,45.7,45.17,47.2853,0.0,0.0,502451
05/06/2019,46.66,47.98,46.01,48.99,0.0,0.0,382152
05/03/2019,44.25,48.14,44.15,48.38,0.0,0.0,698485
05/02/2019,41.96,43.72,41.1925,43.96,0.0,0.0,334925
05/01/2019,40.53,41.84,40.22,41.99,0.0,0.0,455588
04/30/2019,39.89,40.58,39.87,40.77,0.0,0.0,567788
04/29/2019,41.01,39.73,39.43,41.42,0.0,0.0,481874
04/26/2019,41.9,40.82,40.2,42.855,0.0,0.0,669779
04/25/2019,41.24,41.19,37.39,42.3,0.0,0.0,1653780
04/24/2019,47.16,42.41,41.74,47.6899,0.0,0.0,792181
04/23/2019,47.59,47.09,46,47.68,0.0,0.0,328835
04/22/2019,46.7,47.02,46.25,48.325,0.0,0.0,259694
04/18/2019,50.81,46.98,46.25,51.04,0.0,0.0,309061
04/17/2019,49.28,50.83,47.64,51.83,0.0,0.0,513266
04/16/2019,49.26,48.5,48.12,50.9199,0.0,0.0,344278
04/15/2019,48.5,49.3,48.17,50.77,0.0,0.0,276480
04/12/2019,45.87,48.43,45.87,48.43,0.0,0.0,401428
