Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,25.66,25.64,25.64,25.758,0.0,0.0,17519
07/15/2019,25.68,25.65,25.65,25.75,0.0,0.0,44574
07/12/2019,25.66,25.651,25.651,25.75,0.0,0.0,3058
07/11/2019,25.65,25.75,25.65,25.7883,0.0,0.0,5154
07/10/2019,25.74,25.65,25.61,25.74,0.0,0.0,4571
07/09/2019,25.66,25.67,25.61,25.75,0.0,0.0,10565
07/08/2019,25.7285,25.7285,25.7285,25.7285,0.0,0.0,1633
07/05/2019,25.72,25.71,25.71,25.7221,0.0,0.0,1210
07/03/2019,25.6901,25.6901,25.6901,25.6901,0.0,0.0,593
07/02/2019,25.72,25.7314,25.72,25.83,0.0,0.0,2441
07/01/2019,25.98,25.69,25.68,25.98,0.0,0.0,2676
06/28/2019,25.95,26.03,25.81,26.03,0.0,0.0,33286
06/27/2019,25.75,25.9,25.75,25.9,0.0,0.0,8718
06/26/2019,25.67,25.75,25.65,25.75,0.0,0.0,7991
06/25/2019,25.725,25.67,25.65,25.7495,0.0,0.0,2953
06/24/2019,25.58,25.73,25.58,25.8,0.0,0.0,11974
06/21/2019,25.8,25.72,25.56,25.84,0.0,0.0,7842
06/20/2019,25.79,25.8,25.612,25.8,0.0,0.0,7543
06/19/2019,25.9,25.8,25.67,25.9,0.0,0.0,3473
06/18/2019,25.53,25.75,25.53,25.8,0.0,0.0,13407
06/17/2019,25.51,25.6195,25.51,25.6701,0.0,0.0,4738
06/14/2019,25.49,25.5206,25.44,25.7,0.0,0.0,7954
06/13/2019,25.65,25.52,25.4832,25.65,0.0,0.0,7093
06/12/2019,25.92,25.8259,25.8,25.92,0.0,0.0,4705
06/11/2019,25.89,25.78,25.77,25.9947,0.0,0.0,6491
06/10/2019,25.85,25.91,25.84,25.91,0.0,0.0,5349
06/07/2019,25.77,25.66,25.66,25.8222,0.0,0.0,7592
06/06/2019,25.77,25.579,25.5,25.8368,0.0,0.0,11474
06/05/2019,25.79,25.65,25.65,25.79,0.0,0.0,6450
06/04/2019,25.92,25.76,25.71,25.92,0.0,0.0,6727
06/03/2019,26,25.83,25.28,26.0493,0.0,0.0,6611
05/31/2019,25.67,25.89,25.6,25.95,0.0,0.0,22023
05/30/2019,25.75,25.76,25.65,25.8193,0.0,0.0,8804
05/29/2019,25.75,25.75,25.75,25.99,0.0,0.0,7871
05/28/2019,25.859,25.9,25.66,25.9,0.0,0.0,9265
05/24/2019,25.75,25.92,25.74,25.99,0.0,0.0,4980
05/23/2019,25.71,25.75,25.64,25.75,0.0,0.0,5064
05/22/2019,25.75,25.73,25.7,25.76,0.0,0.0,3468
05/21/2019,25.76,25.7,25.56,25.76,0.0,0.0,7364
05/20/2019,25.74,25.76,25.54,25.77,0.0,0.0,4950
05/17/2019,25.7,25.77,25.7,25.809,0.0,0.0,8845
05/16/2019,25.61,25.71,25.431,25.71,0.0,0.0,10697
05/15/2019,25.48,25.55,25.48,25.61,0.0,0.0,6594
05/14/2019,25.48,25.5,25.35,25.64,0.0,0.0,8381
05/13/2019,25.29,25.49,25.29,25.54,0.0,0.0,6135
05/10/2019,25.32,25.54,25.3,25.54,0.0,0.0,4745
05/09/2019,25.18,25.33,25.18,25.34,0.0,0.0,4213
05/08/2019,25.16,25.19,25.15,25.4866,0.0,0.0,8982
05/07/2019,25.36,25.22,25.15,25.5144,0.0,0.0,17063
05/06/2019,25.41,25.36,25.35,25.4809,0.0,0.0,8053
05/03/2019,25.64,25.45,25.41,25.64,0.0,0.0,7029
05/02/2019,25.7,25.4667,25.4667,25.7,0.0,0.0,10697
05/01/2019,25.68,25.72,25.55,25.72,0.0,0.0,9035
04/30/2019,25.38,25.72,25.38,25.72,0.0,0.0,41635
04/29/2019,25.42,25.46,25.3,25.46,0.0,0.0,5049
04/26/2019,25.66,25.32,25.32,25.66,0.0,0.0,2965
04/25/2019,25.41,25.53,25.4,25.57,0.0,0.0,11947
04/24/2019,25.4,25.54,25.4,25.54,0.0,0.0,7985
04/23/2019,25.4,25.4,25.26,25.4,0.0,0.0,13608
04/22/2019,25.44,25.4,25.3123,25.45,0.0,0.0,7976
04/18/2019,25.27,25.35,25.2284,25.35,0.0,0.0,10613
04/17/2019,25.28,25.2428,25.1701,25.28,0.0,0.0,6987
04/16/2019,25.16,25.25,25.16,25.28,0.0,0.0,3859
