Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,26.9216,26.7985,26.7985,26.97,0.0,0.0,3857
07/15/2019,26.79,26.8311,26.79,26.8466,0.0,0.0,1045
07/12/2019,27.17,26.89,26.76,27.17,0.0,0.0,4606
07/11/2019,27.2381,27.11,27.11,27.2381,0.0,0.0,409
07/10/2019,27.166,27.59,26.83,27.59,0.0,0.0,2074
07/09/2019,27.8203,27.69,27.2278,27.8203,0.0,0.0,2921
07/08/2019,27.08,27.89,27.08,27.89,0.0,0.0,1150
07/05/2019,27,27,27,27,0.0,0.0,279
07/03/2019,27,27,27,27,0.0,0.0,247
07/02/2019,29.06,27.25,27.25,31.9699,0.0,0.0,2979
07/01/2019,27.05,27.18,27,27.48,0.0,0.0,9927
06/28/2019,27.16,27.59,26.9231,27.59,0.0,0.0,34487
06/27/2019,26.98,27.12,26.98,27.12,0.0,0.0,4127
06/26/2019,26.79,26.91,26.79,26.95,0.0,0.0,9930
06/25/2019,26.97,26.8,26.75,26.97,0.0,0.0,8089
06/24/2019,26.8,26.87,26.75,26.89,0.0,0.0,10298
06/21/2019,26.89,26.88,26.88,26.89,0.0,0.0,743
06/20/2019,27,26.89,26.875,27,0.0,0.0,6723
06/19/2019,26.88,26.97,26.87,26.97,0.0,0.0,2227
06/18/2019,26.9025,26.89,26.89,26.91,0.0,0.0,1550
06/17/2019,26.77,26.8298,26.77,26.839,0.0,0.0,2790
06/14/2019,26.74,26.75,26.7119,26.8595,0.0,0.0,3006
06/13/2019,26.69,26.69,26.69,26.69,0.0,0.0,00
06/12/2019,26.67,26.69,26.6,26.78,0.0,0.0,3823
06/11/2019,26.9652,26.933,26.933,26.9652,0.0,0.0,1141
06/10/2019,27.1927,27.13,27.12,27.2153,0.0,0.0,4890
06/07/2019,27.3,26.9661,26.9661,27.3,0.0,0.0,1152
06/06/2019,26.85,26.85,26.85,26.85,0.0,0.0,2179
06/05/2019,26.7501,26.83,26.7379,27.5,0.0,0.0,6966
06/04/2019,26.88,26.79,26.79,26.9959,0.0,0.0,1933
06/03/2019,27.38,26.84,26.3678,28.5,0.0,0.0,15002
05/31/2019,26.88,27.03,26.73,27.84,0.0,0.0,24977
05/30/2019,27.79,26.9,26.65,27.79,0.0,0.0,11926
05/29/2019,26.98,26.89,26.89,28.15,0.0,0.0,18594
05/28/2019,26.69,26.99,26.69,26.99,0.0,0.0,3584
05/24/2019,26.89,26.89,26.75,26.89,0.0,0.0,2511
05/23/2019,26.7,26.89,26.7,26.89,0.0,0.0,5862
05/22/2019,26.748,26.89,26.64,26.89,0.0,0.0,3461
05/21/2019,26.74,26.79,26.65,26.89,0.0,0.0,10823
05/20/2019,26.79,26.71,26.52,26.79,0.0,0.0,15156
05/17/2019,26.63,26.92,26.5471,26.99,0.0,0.0,19547
05/16/2019,26.65,26.63,26.49,26.65,0.0,0.0,13676
05/15/2019,26.81,26.55,26.42,26.81,0.0,0.0,16179
05/14/2019,26.57,26.66,26.57,26.67,0.0,0.0,534
05/13/2019,26.64,26.6031,26.55,26.83,0.0,0.0,8523
05/10/2019,26.5989,26.89,26.5989,26.89,0.0,0.0,2290
05/09/2019,26.75,26.66,26.65,26.75,0.0,0.0,6086
05/08/2019,26.61,26.7473,26.61,26.7473,0.0,0.0,1227
05/07/2019,26.74,26.735,26.6788,26.74,0.0,0.0,6130
05/06/2019,26.5979,26.6171,26.5979,26.73,0.0,0.0,4227
05/03/2019,26.548,26.542,26.542,26.735,0.0,0.0,2320
05/02/2019,26.92,26.615,26.511,26.92,0.0,0.0,14781
05/01/2019,26.95,26.51,26.3511,26.95,0.0,0.0,5536
04/30/2019,26.42,26.95,26.42,26.95,0.0,0.0,47507
04/29/2019,26.46,26.4729,26.41,26.4751,0.0,0.0,10013
04/26/2019,26.45,26.42,26.42,26.5029,0.0,0.0,3643
04/25/2019,26.42,26.54,26.42,26.56,0.0,0.0,2038
04/24/2019,26.46,26.55,26.41,26.57,0.0,0.0,6061
04/23/2019,26.45,26.6,26.41,26.6,0.0,0.0,5007
04/22/2019,26.49,26.54,26.41,26.56,0.0,0.0,13000
04/18/2019,26.4862,26.7,26.4862,26.72,0.0,0.0,4148
04/17/2019,26.65,26.552,26.42,26.8,0.0,0.0,5827
04/16/2019,26.7,26.6,26.6,26.7,0.0,0.0,5983
