Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/12/2019,132.83,132.37,131.92,133.17,0.0,0.0,510177
07/11/2019,131.68,132.19,130.93,132.21,0.0,0.0,469697
07/10/2019,131.47,131.16,130.88,132.685,0.0,0.0,435324
07/09/2019,130.62,131.06,130.23,131.25,0.0,0.0,614803
07/08/2019,132.05,131.22,131.19,132.44,0.0,0.0,483863
07/05/2019,131.67,132.45,130.864,132.52,0.0,0.0,560215
07/03/2019,130.87,131.85,130.68,132.05,0.0,0.0,375008
07/02/2019,129.66,131.09,129.45,131.135,0.0,0.0,692418
07/01/2019,129.32,129.37,128.07,129.5,0.0,0.0,693981
06/28/2019,128.97,127.68,127.12,129.29,0.0,0.0,1255539
06/27/2019,127.78,128.7,126.9,129.55,0.0,0.0,1325730
06/26/2019,128.4,127.33,127.27,129.57,0.0,0.0,537326
06/25/2019,128.85,128.06,127.75,129.2999,0.0,0.0,605965
06/24/2019,129.36,128.44,127.95,129.66,0.0,0.0,576587
06/21/2019,130.55,128.72,128.59,130.55,0.0,0.0,1509040
06/20/2019,131.82,130.55,129.99,132.31,0.0,0.0,547111
06/19/2019,130.06,130.56,129.04,130.75,0.0,0.0,510869
06/18/2019,130.19,130.04,129.58,130.91,0.0,0.0,697441
06/17/2019,130.65,129.7,129.44,131.145,0.0,0.0,601003
06/14/2019,131.22,130.15,130.13,131.57,0.0,0.0,477988
06/13/2019,131.46,131.15,129.99,131.8,0.0,0.0,574918
06/12/2019,131.18,131.46,131.04,132.31,0.0,0.0,507776
06/11/2019,133.12,131.05,130.5,133.27,0.0,0.0,636482
06/10/2019,131.9,132.14,131.57,133.45,0.0,0.0,535861
06/07/2019,129.34,131.02,129.27,131.41,0.0,0.0,823635
06/06/2019,127.75,128.32,127.18,128.88,0.0,0.0,674410
06/05/2019,126.76,127.81,125.835,128.2,0.0,0.0,685862
06/04/2019,124.28,126.3,123.575,126.3,0.0,0.0,748252
06/03/2019,124.94,123.12,122.45,125.6,0.0,0.0,1852446
05/31/2019,123.52,124.87,123.52,125.56,0.0,0.0,995124
05/30/2019,123.85,124.62,123.73,124.82,0.0,0.0,710763
05/29/2019,123.08,123.79,122.54,124.59,0.0,0.0,1301721
05/28/2019,124.28,123.82,123.73,125.77,0.0,0.0,1410065
05/24/2019,123.71,123.9,122.79,124.42,0.0,0.0,916111
05/23/2019,122.27,122.94,121.7225,123.0718,0.0,0.0,693437
05/22/2019,123.61,123.17,123.05,124.72,0.0,0.0,778014
05/21/2019,123.08,123.89,122.87,124.33,0.0,0.0,782866
05/20/2019,120.83,122.16,120.57,122.26,0.0,0.0,654392
05/17/2019,121.23,121.64,121.23,122.85,0.0,0.0,640893
05/16/2019,121.09,122.43,121.09,123.46,0.0,0.0,908060
05/15/2019,118.09,120.65,117.93,121.01,0.0,0.0,946718
05/14/2019,117.94,118.71,117.47,119.64,0.0,0.0,1076341
05/13/2019,117.23,117.3,116.84,118.32,0.0,0.0,1389887
05/10/2019,116.56,119.2,115.98,119.77,0.0,0.0,1100147
05/09/2019,114.72,117.07,114.66,117.44,0.0,0.0,1158135
05/08/2019,115.07,115.78,114.71,117.01,0.0,0.0,735552
05/07/2019,117.77,115.23,114.53,117.77,0.0,0.0,1197845
05/06/2019,115.84,118.03,115.27,118.23,0.0,0.0,954423
05/03/2019,117.76,117.77,117.08,117.93,0.0,0.0,685167
05/02/2019,116.76,117,116.32,118.28,0.0,0.0,690663
05/01/2019,118.34,117.06,117.03,118.46,0.0,0.0,489225
04/30/2019,118.08,118.13,116.8225,118.65,0.0,0.0,815559
04/29/2019,118,117.77,117.5,118.09,0.0,0.0,592884
04/26/2019,117.24,117.93,116.7,117.98,0.0,0.0,438772
04/25/2019,116.68,117.06,115.57,117.21,0.0,0.0,752149
04/24/2019,115.63,116.95,114.9,117.58,0.0,0.0,1265258
04/23/2019,113.83,115.07,113.795,115.24,0.0,0.0,1075208
04/22/2019,112.42,113.39,112.11,113.45,0.0,0.0,498454
04/18/2019,113.68,112.79,112.1311,113.84,0.0,0.0,836371
04/17/2019,113.66,114,112.95,115.065,0.0,0.0,2418684
04/16/2019,112.56,113.25,112.4,113.275,0.0,0.0,1770428
04/15/2019,111.45,112.45,111.18,112.475,0.0,0.0,982480
04/12/2019,110.88,111.49,110.21,111.53,0.0,0.0,652781
