Date, Open  Price , Closing  Price ,Low,High,52Hi,52Lo,Volume
07/16/2019,10.151,10.29,10.151,10.29,0.0,0.0,20261
07/15/2019,10.35,10.29,10.2745,10.35,0.0,0.0,26879
07/12/2019,10.56,10.29,10.25,10.56,0.0,0.0,1501
07/11/2019,10.33,10.2,10.2,10.56,0.0,0.0,26283
07/10/2019,10.36,10.29,10.25,10.36,0.0,0.0,11287
07/09/2019,10.3,10.3,10.26,10.3,0.0,0.0,830927
07/08/2019,10.18,10.3,10.17,10.31,0.0,0.0,23600
07/05/2019,10,10.3,10,10.4001,0.0,0.0,16158
07/03/2019,9.76,10.05,9.76,10.16,0.0,0.0,19566
07/02/2019,10.2975,10.2637,10.2472,10.2975,0.0,0.0,5838
07/01/2019,10.28,10.2501,10.25,10.32,0.0,0.0,8856
06/28/2019,10.36,10.25,10.25,10.36,0.0,0.0,23834
06/27/2019,10.3415,10.3137,10.27,10.7831,0.0,0.0,32073
06/26/2019,10.2785,10.3099,10.26,10.625,0.0,0.0,53849
06/25/2019,10.4,10.316,10.2601,10.45,0.0,0.0,16246
06/24/2019,10.3,10.81,10.26,10.81,0.0,0.0,14932
06/21/2019,10.28,10.2401,10.2,10.3,0.0,0.0,35449
06/20/2019,10.29,10.28,10.22,10.3,0.0,0.0,53671
06/19/2019,10.3,10.28,10.265,10.3,0.0,0.0,10089
06/18/2019,10.3,10.22,10.22,10.3,0.0,0.0,1867
06/17/2019,10.21,10.22,10.21,10.33,0.0,0.0,2940
06/14/2019,10.345,10.3,10.3,10.345,0.0,0.0,959
06/13/2019,10.32,10.35,10.29,10.35,0.0,0.0,9400
06/12/2019,10.2,10.33,10.2,10.35,0.0,0.0,61600
06/11/2019,10.261,10.22,10.22,10.3499,0.0,0.0,50303
06/10/2019,10.32,10.33,10.32,10.33,0.0,0.0,10747
06/07/2019,10.33,10.32,10.31,10.33,0.0,0.0,46302
06/06/2019,10.26,10.32,10.26,10.32,0.0,0.0,355
06/05/2019,10.315,10.22,10.22,10.315,0.0,0.0,6600
06/04/2019,10.3024,10.3024,10.3024,10.3024,0.0,0.0,00
06/03/2019,10.3395,10.3024,10.3024,10.3395,0.0,0.0,1206
05/31/2019,10.3402,10.312,10.3063,10.35,0.0,0.0,4397
05/30/2019,10.312,10.312,10.312,10.312,0.0,0.0,00
05/29/2019,10.312,10.312,10.312,10.312,0.0,0.0,153
05/28/2019,10.28,10.35,10.2605,10.35,0.0,0.0,7483
05/24/2019,10.28,10.28,10.24,10.28,0.0,0.0,44899
05/23/2019,10.24,10.24,10.24,10.2688,0.0,0.0,12201
05/22/2019,10.235,10.24,10.23,10.24,0.0,0.0,17131
05/21/2019,10.23,10.22,10.22,10.23,0.0,0.0,5013
05/20/2019,10.23,10.23,10.23,10.24,0.0,0.0,2411
05/17/2019,10.24,10.24,10.24,10.24,0.0,0.0,00
05/16/2019,10.231,10.24,10.23,10.24,0.0,0.0,11982
05/15/2019,10.201,10.25,10.2,10.25,0.0,0.0,71528
05/14/2019,10.24,10.24,10.22,10.24,0.0,0.0,5227
05/13/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
05/10/2019,10.25,10.25,10.25,10.25,0.0,0.0,00
05/09/2019,10.2,10.25,10.2,10.25,0.0,0.0,26067
05/08/2019,10.22,10.25,10.22,10.25,0.0,0.0,265886
05/07/2019,10.23,10.2454,10.23,10.2454,0.0,0.0,100640
05/06/2019,10.21,10.24,10.2,10.24,0.0,0.0,108715
05/03/2019,10.2332,10.2332,10.2332,10.2332,0.0,0.0,250
05/02/2019,10.25,10.24,10.24,10.25,0.0,0.0,368126
05/01/2019,10.21,10.2495,10.21,10.25,0.0,0.0,1774422
04/30/2019,10.25,10.23,10.21,10.25,0.0,0.0,9497
04/29/2019,10.2007,10.2001,10.2,10.235,0.0,0.0,20501
04/26/2019,10.23,10.23,10.23,10.23,0.0,0.0,00
04/25/2019,10.23,10.23,10.212,10.23,0.0,0.0,400
04/24/2019,10.2,10.2,10.2,10.2113,0.0,0.0,9947
04/23/2019,10.231,10.223,10.22,10.231,0.0,0.0,2603
04/22/2019,10.2515,10.2515,10.25,10.2515,0.0,0.0,6333
04/18/2019,10.215,10.215,10.215,10.215,0.0,0.0,00
04/17/2019,10.215,10.215,10.215,10.215,0.0,0.0,111028
04/16/2019,10.23,10.2597,10.22,10.26,0.0,0.0,6464
